,Полное наименование учреждения,Полное наименование учреждения 2,Муниципальное образование, Тип населённого пункта,Наименование населенного пункта, Адрес учреждения,Широта,Долгота,Тип подключения (сущ.),"Скорость подключения (сущ.), Мбит/с",Провайдер (сущ.),Тип подключения (план),"Скорость подключения (план), Мбит/с",Дата планируемого подключения,Unnamed: 14
130,МКОУ ДОРГЕЛИНСКАЯ СОШ №2,,,,,,,,,,,,,,
131,МКОУ ДСОШ,,,,,,,,,,,,,,
132,МКОУ ДСОШ ИМЕНИ С. РАБАДАНОВА,,,,,,,,,,,,,,
133,МКОУ ДСОШ,,,,,,,,,,,,,,
134,МКОУ Дубкинская СОШ им. Салимханова,,,,,,,,,,,,,,
135,МКОУ ДУБРИМАХИНСКАЯ СОШ,"МОУ ""Дубримахинская СОШ""",Акушинский район,Село,Дубри,"Республика Дагестан, Акушинский район, с. Дубри","42,263511","47,290903",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
136,МКОУ ДУЧИНСКАЯ СОШ №1,МОУ Дучинская СОШ №1,Новолакский район,Село,Дучи,"Республика Дагестан, Новолакский район, с. Дучи","43,129167","47,463333",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
137,МКОУ ДЮБЕКСКАЯ СОШ ИМ. Ю БАЗУТАЕВА,,,,,,,,,,,,,,
138,МКОУ Зареченская СОШ Киз-ляр. рай,"МОУ ""Зареченская СОШ""",Кизлярский район,Село,Заречное,"Республика Дагестан, Кизлярский район, с. Заречное","43,762629","46,582843",Другое,1.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
139,МКОУ ЗЕЛЕНОМОРСКАЯ СОШ,,,,,,,,,,,,,,
140,МКОУ ЗИЗИКСКАЯ СОШ,"МОУ ""Зизикская СОШ""",Сулейман-Стальский район,Село,Зизик,"Республика Дагестан, Сулейман-стальский район, с. Зизик","41,725556","48,061389",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
141,МКОУ ЗИЛОВСКАЯ СОШ,МОУ Зиловская СОШ,Ботлихский район,Село,Зило,"Республика Дагестан, Ботлихский район с. Зило","42,731915","46,319445",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
142,МКОУ ЗИЛЬМУКМАХИНСКАЯ ООШ,"МОУ ""Зильмукмахинская ООШ""",Акушинский район,Село,Зильмук,"Республика Дагестан, Акушинский район, с. Зильмук","42,284511","47,395887",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
143,МКОУ ЗИЛЬСКАЯ СОШ,МОУ Зильская СОШ,Табасаранский район,Село,Зиль,"Республика Дагестан, Табасаранский район, с. Зиль","41,995539","48,034378",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
144,МКОУ Зиранинская СОШ,МОУ Зиранинская СОШ,Унцукульский район,Село,Зирани,"Республика Дагестан, Унцукульский район, с. Зирани","42,616944","46,945964",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
145,МКОУ ЗИУРИБСКАЯ ООШ,"МОУ ""Зиурибская ООШ""",Шамильский район,Село,Зиуриб,"Республика Дагестан, Шамильский район, с. Зиуриб","42,417435","46,704481",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
146,МКОУ ЗСОШ ИМЕНИ АМИРА ГАЗИ,,,,,,,,,,,,,,
