,Полное наименование учреждения,Полное наименование учреждения 2,Муниципальное образование, Тип населённого пункта,Наименование населенного пункта, Адрес учреждения,Широта,Долгота,Тип подключения (сущ.),"Скорость подключения (сущ.), Мбит/с",Провайдер (сущ.),Тип подключения (план),"Скорость подключения (план), Мбит/с",Дата планируемого подключения,Unnamed: 14
227,МКОУ КУРКЛИНСКАЯ СОШ,МОУ Курклинская СОШ,Лакский район,Село,Куркли,"Республика Дагестан, Лакский район, с. Куркли.","42,282751","47,127189",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
228,МКОУ КУТИШИНСКАЯ СОШ,"МОУ ""Кутишинская СОШ""",Левашинский район,Село,Кутиша,"Республика Дагестан, Левашинский район с. Кутиша","42,423511","47,281759",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
229,МКОУ КУТЛАБСКАЯ СОШ,МОУ Кутлабская СОШ,Тляратинский район,Село,Кутлаб,"Республика Дагестан, Тляратинский район, с. Кутлаб","42,096451","46,329863",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
230,МКОУ КУТУЛЬСКАЯ ООШ,"МОУ ""Кутульская ООШ""",Курахский район,Село,Кутул,"Республика Дагестан, Курахский район, с. Кутул","41,545124","47,966161",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
231,МКОУ КУЧХЮРСКАЯ СОШ,"МОУ ""Кучхюрская СОШ""",Курахский район,Село,Кучхюр,"Республика Дагестан, Курахский район, с. Кучхюр","41,522944","47,865237",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
232,МКОУ КУШТИЛЬСКАЯ СОШ,"МБОУ""КУШТИЛЬСКАЯ СОШ им.С.ШАХСИНОВА""",Хивский район,Село,Куштиль,"Республика Дагестан, Хивский район, с. Куштиль","41,830846","47,885829",Спутник,1.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
233,МКОУ КЮРЯГСКАЯ СОШ,,,,,,,,,,,,,,
234,МКОУ ЛЕНИНКЕНТСКАЯ СОШ,МОУ Ленинкентская СОШ,Карабудахкентский район,Село,Ленинкент,"Республика Дагестан, Карабудахкентский район, с. Ленинкент","42,484282","47,753398",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
235,МКОУ ЛИЦЕЙ,"МОУ ""Лицей №51""",Городской округ город Махачкала,Город,Махачкала,"Республика Дагестан, г. Махачкала, ул. Островского,18","42,998434","47,458289",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
236,МКОУ ЛИЩИНСКАЯ ООШ,,,,,,,,,,,,,,
237,МКОУ ЛСОШ 1,,,,,,,,,,,,,,
238,МКОУ ЛСОШ 2,,,,,,,,,,,,,,
239,МКОУ ЛСОШ_1,,,,,,,,,,,,,,
240,МКОУ ЛЯХЛИНСКАЯ СОШ,"МБОУ""ЛЯХЛИНСКАЯ СОШ""",Хивский район,Село,Ляхля,"Республика Дагестан, Хивский район, с. Ляхля","41,882623","47,879227",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
241,МКОУ МАДЖАЛИССКАЯ МЕЖРАЙОННАЯ СОШ,,,,,,,,,,,,,,
242,МКОУ МАЛЛАКЕНТСКАЯ ООШ,,,,,,,,,,,,,,
243,МКОУ Малоарешевская СОШ,"МОУ ""Малоарешевская СОШ""",Кизлярский район,Село,Малая Арешевка,"Республика Дагестан, Кизлярский район, с. Малая Арешевка","44,021906","46,821466",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
244,МКОУ МАММАУЛЬСКАЯ СОШ,"МОУ ""Маммаульская СОШ""",Сергокалинский район,Село,Мамааул,"Республика Дагестан, Сергокалинский район, с. Мамааул","42,316864","47,755321",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
245,МКОУ МАРАГИНСКАЯ СОШ №1,МОУ Марагинская СОШ №1,Табасаранский район,Село,Марага,"Республика Дагестан, Табасаранский район, с. Марага","41,962778","48,117778",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
246,МКОУ МАРАГИНСКАЯ СОШ №2,МОУ Марагинская СОШ №2,Табасаранский район,Село,Марага,"Республика Дагестан, Табасаранский район, с. Марага","41,962778","48,117778",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
247,МКОУ МАЦЕЕВСКАЯ СОШ,МОУ Мацеевская СОШ,Кизилюртовский район,Село,Мацеевка,"Республика Дагестан, Кизилюртовский район, с. Мацеевка","43,271044","46,982114",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
248,МКОУ МАШАТДИНСКАЯ ООШ,,,,,,,,,,,,,,
249,МКОУ МЕГЕБСКАЯ СОШ,МОУ Мегебская СОШ,Гунибский район,Село,Мегеб,"Республика Дагестан, Гунибский район, с. Мегеб","42,252091","47,044883",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
250,МКОУ МЕЖГЮЛЬСКАЯ СОШ,"МБОУ""МЕЖГЮЛЬСКАЯ СОШ""",Хивский район,Село,Межгюль,"Республика Дагестан, Хивский район, с. Межгюль","41,805992","48,007123",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
251,МКОУ МИАРСИНСКАЯ СОШ,МОУ Миарсинская СОШ,Ботлихский район,Село,Миаросо,"Республика Дагестан, Ботлихский район с. Миаросо","42,654384","46,174995",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
252,МКОУ МИАТЛИНСКАЯ СОШ,МОУ Миатлинская СОШ,Кизилюртовский район,Село,Миатли,"Республика Дагестан, Кизилюртовский район, с. Миатли","43,082867","46,828418",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
253,МКОУ МИГЛАКАСИМАХИНСКАЯ СОШ,"МОУ ""Миглакасимахинская СОШ""",Сергокалинский район,Село,Миглакасимахи,"Республика Дагестан, Сергокалинский район, с. Миглакасимахи","42,339331","47,556718",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
254,МКОУ МИЖИГЛИНСКАЯ ООШ,,,,,,,,,,,,,,
255,МКОУ МИТЛИУРИБСКАЯ ООШ,"МОУ ""Митлиурибская ООШ""",Шамильский район,Село,Митлиуриб,"Республика Дагестан, Шамильский район, с. Митлиуриб","42,437886","46,688843",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
256,МКОУ Михеевская СОШ,"МОУ ""Михеевская СОШ""",Кизлярский район,Село,Михеевка,"Республика Дагестан, Кизлярский район, с. Михеевка","43,927620","46,667389",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
257,МКОУ МОГИЛЕВСКАЯ СОШ,,,,,,,,,,,,,,
258,МКОУ МОГОХСКАЯ ООШ,,,,,,,,,,,,,,
259,МКОУ Могохская СОШ,"МОУ ""Могохская СОШ""",Гергебильский район,Село,Могох,"Республика Дагестан, Гергебильский район, с. Могох","42,561096","46,917076",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
260,МКОУ МОКСОБСКАЯ СОШ,,,,,,,,,,,,,,
261,МКОУ МОЛЛАКЕНТСКАЯ СОШ,,,,,,,,,,,,,,
262,МКОУ МООШ,МОУ ОШ №23,Городской округ город Махачкала,Остров,Чечень,"Республика Дагестан, г. Махачкала, остров Чечень","43,961101","47,643398",Спутник,1,"ПАО ""Ростелеком""",БШПД,50.0,,
263,МКОУ МПЛ_2,МОУ МПЛ №2,Городской округ город Кизляр,Город,Кизляр,"Республика Дагестан, г. Кизляр, ул. Набережная, 1","43,853613","46,724737",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
264,МКОУ МСОШ №1,,,,,,,,,,,,,,
265,МКОУ МУЖУКАЙСКИЙ АГРОТЕХ. ЛИЦЕЙ,,,,,,,,,,,,,,
266,МКОУ МУЖУКАЙСКИЙ АГРОТЕХН. ЛИЦЕЙ,,,,,,,,,,,,,,
267,МКОУ Мурадинская СОШ Герг-й район,"МОУ ""Мурадинская СОШ""",Гергебильский район,Село,Мурада,"Республика Дагестан, Гергебильский район, с. Мурада","42,444709","46,954828",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
268,МКОУ МУРГУКСКАЯ СОШ,"МОУ ""Мургукская СОШ""",Сергокалинский район,Село,Мургук,"Республика Дагестан, Сергокалинский район, с. Мургук","42,265676","47,695754",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
269,МКОУ МУЦАЛАУЛЬСКАЯ СОШ № 1,МОУ Муцалаульская СОШ №1,Хасавюртовский район,Село,Муцалаул,"Республика Дагестан, Хасавюртовский район, с. Муцалаул","43,268952","46,731299",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
270,МКОУ МУЦАЛАУЛЬСКАЯ СОШ № 2,МОУ Муцалаульская СОШ №2,Хасавюртовский район,Село,Муцалаул,"Республика Дагестан, Хасавюртовский район, с. Муцалаул","43,268952","46,731299",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
271,МКОУ НАЧ. ШКОЛА ЮНЫЙ ПАХАРЬ,,,,,,,,,,,,,,
272,МКОУ НАЧАДИНСКАЯ СОШ,МОУ Начадинская СОШ,Тляратинский район,Село,Начада,"Республика Дагестан, Тляратинский район, с. Начада","42,198272","46,448959",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
273,МКОУ Нижнебатлухская СОШ,,,,,,,,,,,,,,
274,МКОУ НИЖНЕМАХАРГИНСКАЯ СОШ,"МОУ ""Нижнемахаргинская СОШ им.Сулейманова Х.Г.""",Сергокалинский район,Село,Н.Махарги,"Республика Дагестан, Сергокалинский район, с. Н.Махарги","42,329761","47,634957",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
275,МКОУ НИЖНЕМУЛЕБКИНСКАЯ СОШ,"МОУ ""Нижнемулебкинская СОШ""",Сергокалинский район,Село,Н.Мулебки,"Республика Дагестан, Сергокалинский район, с. Н.Мулебки","42,328128","47,567686",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
276,МКОУ НИЖНЕ-УБЕКИНСКАЯ ООШ,"МОУ ""Нижне - Убекинская ООШ""",Левашинский район,Село,Нижнее-Убеки,"Республика Дагестан, Левашинский район с. Нижнее-убеки","42,391667","47,209722",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
277,МКОУ НИЧРАСКАЯ СОШ,,,,,,,,,,,,,,
278,МКОУ НОВО-БАРШИНСКАЯ ООШ,,,,,,,,,,,,,,
279,МКОУ Новобирюзякская СОШ,"МОУ ""Новобирюзякская СОШ""",Кизлярский район,Село,Н.Бирюзяк,"Республика Дагестан, Кизлярский район, с. Н.-Бирюзяк","43,770802","47,309402",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
280,МКОУ Нововладимировская СОШ,"МОУ ""Нововладимировская СОШ""",Кизлярский район,Село,Нововладимировка,"Республика Дагестан, Кизлярский район, Черняевская с/а, с. Нововладимировка","43,913419","46,950694",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
281,МКОУ НОВОГАГАТЛИНСКАЯ СОШ,МОУ Новогагатлинская СОШ,Хасавюртовский район,Село,Новогагатли,"Республика Дагестан, Хасавюртовский район, с. Новогагатли","43,458912","46,480919",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
282,МКОУ Ново-Георгиевская СОШ,,,,,,,,,,,,,,
283,МКОУ Ново-Дмитриевская СОШ,,,,,,,,,,,,,,
284,МКОУ НОВОЗУБУТЛИНСКАЯ СОШ,МОУ Ново-Зубутлинская СОШ,Кизилюртовский район,Село,Зубутли-Миатли,"Республика Дагестан, Кизилюртовский район, с. Зубутли-Миатли","43,071357","46,836838",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
285,МКОУ НОВОКАРИНСКАЯ СОШ,,,,,,,,,,,,,,
286,МКОУ НОВОКАЯКЕНТСКАЯ НШ ДЕТ.-САД 1,,,,,,,,,,,,,,
287,МКОУ НОВОКОСИНСКАЯ СОШ,,,,,,,,,,,,,,
288,МКОУ НОВОКОСТЕКСКАЯ СОШ,МОУ Новокостекская СОШ,Хасавюртовский район,Село,Ново-Костек,"Республика Дагестан, Хасавюртовский район, с. Ново-Костек","43,340336","46,852240",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
289,МКОУ Новокрестьяновская СОШ,"МОУ ""Новокрестьяновская СОШ""",Кизлярский район,Село,Новокрестьяновка,"Республика Дагестан, Кизлярский район, с. Новокрестьяновка","43,883166","46,569093",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
290,МКОУ Новокулинская СОШ 2 Новалак район,,,,,,,,,,,,,,
291,МКОУ НОВОКУЛИНСКАЯ СОШ №1,МОУ Новокулинская СОШ №1,Новолакский район,Село,Новокули,"Республика Дагестан, Новолакский район, с. Новокули","43,163611","46,522222",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
292,МКОУ Новомонастырская СОШ,"МОУ ""Новомонастырская СОШ""",Кизлярский район,Село,Новомонастырское,"Республика Дагестан, Кизлярский район, с. Новомонастырское","43,865856","46,607824",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
293,МКОУ НОВОМУГРИНСКАЯ СОШ,"МОУ ""Новомугринская СОШ""",Сергокалинский район,Село,Новомугри,"Республика Дагестан, Сергокалинский район, с. Новомугри","42,474302","47,754936",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
294,МКОУ НОВОПОСЕЛКОВАЯ СОШ,,,,,,,,,,,,,,
295,МКОУ Новоромановская СОШ,МОУ Ново-Романовская СОШ,Тарумовский район,Село,Ново-Романовка,"Республика Дагестан, Тарумовский район, с. Ново-Романовка","43,957780","46,644322",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
296,МКОУ НОВОСАСИТЛИНСКАЯ СОШ,МОУ Новосаситлинская СОШ,Хасавюртовский район,Село,Новосаситли,"Республика Дагестан, Хасавюртовский район, с. Новосаситли","43,385126","46,584937",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
297,МКОУ НОВОСЕЛЬСКАЯ СОШ,МОУ Новосельская СОШ,Хасавюртовский район,Село,Новосельское,"Республика Дагестан, Хасавюртовский район, с. Новосельское","43,432499","46,471826",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
298,МКОУ Новосеребряковская СОШ,"МОУ ""Новосеребряковская СОШ""",Кизлярский район,Село,Новая Серебряковка,"Республика Дагестан, Кизлярский район, с. Новая Серебряковка","43,991103","46,978289",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
299,МКОУ НОВОУРКАРАХСКАЯ СОШ,"МБОУ ""Новоуркарахская СОШ""",Дахадаевский район,Село,Новоуркарах,"Республика Дагестан, Дахадаевский район, с. Новоуркарах","42,159778","47,633985",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
300,МКОУ НОВО-ФРИГСКАЯ СОШ,"МБОУ""НОВО-ФРИГСКАЯ СОШ""",Хивский район,Село,Н.-Фриг,"Республика Дагестан, Хивский район, с. Н.- Фриг","41,852686","48,356357",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
301,МКОУ НОВОЧИРКЕЙСКАЯ СОШ №1,МОУ Новочиркейская СОШ№1,Кизилюртовский район,Село,Новый Чиркей,"Республика Дагестан, Кизилюртовский район, с. Новый Чиркей","43,165965","47,057893",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
302,МКОУ НОВОЧИРКЕЙСКАЯ СОШ №2,МОУ Новочиркейская СОШ №2,Кизилюртовский район,Село,Новый Чиркей,"Республика Дагестан, Кизилюртовский район, с. Новый Чиркей","43,158512","47,047556",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
303,МКОУ НЮТЮГСКАЯ СОШ,"МОУ ""Нютюгская СОШ""",Сулейман-Стальский район,Село,Нютюг,"Республика Дагестан, Сулейман-стальский район, с. Нютюг","41,613056","48,191667",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
304,МКОУ ОБОХСКАЯ СОШ,МОУ Обохская СОШ,Гунибский район,Село,Обох,"Республика Дагестан, Гунибский район, с. Обох","42,283740","47,037711",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
305,МКОУ Огузерская СОШ,"МОУ ""Огузерская СОШ""",Кизлярский район,Село,Огузер,"Республика Дагестан, Кизлярский район, с. Огузер","44,049468","47,060844",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
306,МКОУ ОКТЯБРЬСКАЯ СОШ,МОУ Октябрьская СОШ,Хасавюртовский район,Село,Октябрьское,"Республика Дагестан, Хасавюртовский район, с. Октябрьское","43,484808","46,436643",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
307,МКОУ ООШ БЕЛИДЖИ,,,,,,,,,,,,,,
308,МКОУ ОРТАКОЛИНСКАЯ СОШ,,,,,,,,,,,,,,
309,МКОУ ОРТАТЮБИНСКАЯ СОШ,МОУ Орта-Тюбинская СОШ,Ногайский район,Село,Орта-Тюбе,"Республика Дагестан, Ногайский район, с. Орта-Тюбе","44,242523","45,280111",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
310,МКОУ ОСМАНЮРТОВСКАЯ СОШ,МОУ Османюртовская СОШ,Хасавюртовский район,Село,Османюрт,"Республика Дагестан, Хасавюртовский район, с. Османюрт","43,305114","46,527755",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
311,МКОУ ПИЛИГСКАЯ СОШ,МОУ Пилигская СОШ,Табасаранский район,Село,Пилиг,"Республика Дагестан, Табасаранский район, с. Пилиг","41,972585","47,865555",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
312,МКОУ ПОБЕДОВСКАЯ СОШ,"МОУ ""Победовская СОШ""",Кизлярский район,Село,Южное,"Республика Дагестан, Кизлярский район, с. Южное","43,816136","46,724534",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
313,МКОУ ПОКРОВСКАЯ СОШ,МОУ Покровская СОШ,Хасавюртовский район,Село,Покровское,"Республика Дагестан, Хасавюртовский район, с. Покровское","43,286676","46,665357",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
314,МКОУ ПРИВОЛЬНЕНСКАЯ СОШ,МОУ Привольненская СОШ,Тарумовский район,Поселок,Привольный,"Республика Дагестан, Тарумовский район, п. Привольный","44,101575","46,656678",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
315,МКОУ ПТИКЕНТСКАЯ ООШ,"МОУ ""Птикентская ООШ""",Сулейман-Стальский район,Село,Птикент,"Республика Дагестан, Сулейман-стальский район, с. Птикент","41,583611","48,108889",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
316,МКОУ ПЯТИЛЕТКИНСКАЯ СОШ,МОУ Пятилеткинская СОШ,Хасавюртовский район,Село,Пятилетка,"Республика Дагестан, Хасавюртовский район, с. Пятилетка","43,372584","46,966689",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
317,МКОУ РАССВЕТОВСКАЯ СОШ,МОУ Рассветовская СОШ,Тарумовский район,Село,Рассвет,"Республика Дагестан, Тарумовский район, с. Рассвет","43,981299","46,709581",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
318,МКОУ Ратлубская СОШ,"МОУ ""Ратлубская СОШ""",Шамильский район,Село,Ратлуб,"Республика Дагестан, Шамильский район, с. Ратлуб","42,358012","46,434517",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
319,МКОУ РД Мачадинская СОШ,,,,,,,,,,,,,,
320,МКОУ РИКВАНИНСКАЯ СОШ,МОУ Рикванинская СОШ,Ботлихский район,Село,Риквани,"Республика Дагестан, Ботлихский район с. Риквани","42,781727","46,319167",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
321,МКОУ РОДНИКОВАЯ СОШ,,,,,,,,,,,,,,
322,МКОУ Роздолевская СОШ,,,,,,,,,,,,,,
323,МКОУ Ругельдинская СОШ,"МОУ ""Ругельдинская СОШ""",Шамильский район,Село,Ругельда,"Республика Дагестан, Шамильский район, с. Ругельда","42,315906","46,524502",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
324,МКОУ РУГУДЖИНСКАЯ СОШ,МОУ Ругуджинская СОШ,Гунибский район,Село,Ругуджа,"Республика Дагестан, Гунибский район, с. Ругуджа","42,360312","46,918680",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
325,МКОУ РУКЕЛЬСКАЯ ООШ,,,,,,,,,,,,,,
326,МКОУ Рыбалкинская СОШ,"МОУ Рыбалкинская СОШ""",Кизлярский район,Село,Рыбалко,"Республика Дагестан, Кизлярский район, с. Рыбалко","43,782585","46,655888",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
327,МКОУ САДОВАЯ СОШ,МОУ Садовая СОШ,Хасавюртовский район,Село,Садовое,"Республика Дагестан, Хасавюртовский район, с. Садовое","43,340413","46,773193",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
328,МКОУ САИДКЕНТСКАЯ СОШ,,,,,,,,,,,,,,
329,МКОУ САЙТАРКЕНТСКАЯ ООШ,"МОУ ""Сайтаркентская ООШ""",Сулейман-Стальский район,Село,Сайтаркент,"Республика Дагестан, Сулейман-стальский район, с. Сайтаркент","41,586389","48,126944",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
330,МКОУ САЛТЫНСКАЯ СОШ,,,,,,,,,,,,,,
331,МКОУ Сангишинская ООШ,"МОУ ""Сангишинская ООШ""",Кизлярский район,Село,Сангиши,"Республика Дагестан, Кизлярский район, с. Сангиши","43,898957","47,032101",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
332,МКОУ САНЧИНСКАЯ СОШ,,,,,,,,,,,,,,
333,МКОУ САРДАРКЕНТСКАЯ СОШ,"МОУ ""Сардаркентская СОШ""",Сулейман-Стальский район,Село,Сардаркент,"Республика Дагестан, Сулейман-стальский район, с. Сардаркент","41,725556","48,061389",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
334,МКОУ Сар-Сарская СОШ,"МОУ ""Сар-Сарская СОШ""",Кизлярский район,Село,Сар-Сар,"Республика Дагестан, Кизлярский район, с. Сар-Сар","43,969443","47,077511",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
335,МКОУ СЕГЕЛЯРСКАЯ НАЧАЛЬНАЯ ШКОЛА,,,,,,,,,,,,,,
336,МКОУ СЕРТИЛЬСКАЯ СОШ,МОУ Сертильская СОШ,Табасаранский район,Село,Сертиль,"Республика Дагестан, Табасаранский район, с. Сертиль","41,924046","47,864541",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
337,МКОУ СИРАГИНСКАЯ СОШ,,,,,,,,,,,,,,
338,МКОУ Совхозная СОШ 6 с.Юбилейное,"МОУ ""Совхозная СОШ №6""",Кизлярский район,Поселок,Юбилейный,"Республика Дагестан, Кизлярский район, п. Юбилейный","43,874818","46,730352",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
339,МКОУ Совхозная СОШ,"МОУ ""Совхозная СОШ №6""",Кизлярский район,Поселок,Юбилейный,"Республика Дагестан, Кизлярский район, п. Юбилейный","43,874818","46,730352",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
340,МКОУ СОШ 5,МОУ СОШ № 5,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Нурадилова 53","43,251661","46,596387",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
341,МКОУ СОШ 1 г. Избербаш,МОУ СОШ №1,Городской округ город Кизилюрт,Город,Кизилюрт,"Республика Дагестан, г. Кизилюрт ул. Первомайская, 59б","43,203825","46,872964",Медь,4,"ПАО ""Ростелеком""",ВОЛС,100.0,,
342,МКОУ СОШ 10 г. Избербаш,МОУ СОШ № 10,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Датуева, 70","43,240517","46,601008",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
343,МКОУ СОШ 11 г.Кизляр,МОУ СОШ № 11,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, п. Мичурина, Автобусная ул, 1","43,251535","46,562296",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
344,МКОУ СОШ 11 г. Кизляр,МОУ СОШ № 11,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, п. Мичурина, Автобусная ул, 1","43,251535","46,562296",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
345,МКОУ СОШ 11 г.Избербаш,МОУ СОШ № 11,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, п. Мичурина, Автобусная ул, 1","43,251535","46,562296",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
346,МКОУ СОШ 12 г. Избербаш,МОУ СОШ № 12,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул.40 лет Октября","43,270317","46,591271",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
347,МКОУ СОШ 5 г. Кизляр,МОУ СОШ № 5,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Нурадилова 53","43,251661","46,596387",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
348,МКОУ СОШ № 1 БЕЛИДЖИ,МОУ СОШ №1,Городской округ город Кизилюрт,Город,Кизилюрт,"Республика Дагестан, г. Кизилюрт ул. Первомайская, 59б","43,203825","46,872964",Медь,4,"ПАО ""Ростелеком""",ВОЛС,100.0,,
349,МКОУ СОШ № 10 г. Буйнакск,МОУ СОШ № 10,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Датуева, 70","43,240517","46,601008",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
350,МКОУ СОШ № 11 Г. ИЗБЕРБАШ,МОУ СОШ № 11,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, п. Мичурина, Автобусная ул, 1","43,251535","46,562296",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
351,МКОУ СОШ № 11,МОУ СОШ № 11,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, п. Мичурина, Автобусная ул, 1","43,251535","46,562296",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
352,МКОУ СОШ № 12 Г. ИЗБЕРБАШ,МОУ СОШ № 12,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул.40 лет Октября","43,270317","46,591271",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
353,МКОУ СОШ № 16,МОУ СОШ № 16,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Хизроева, 35","43,228458","46,608508",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
354,МКОУ СОШ № 5,МОУ СОШ № 5,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Нурадилова 53","43,251661","46,596387",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
355,МКОУ СОШ № 5 г. Буйнакск,МОУ СОШ № 5,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Нурадилова 53","43,251661","46,596387",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
