Район;Тип н п;Наименование нас пункта;Наименование;Адрес;ИНН;Контакты;Широта;Долгота;Тип учреждения;Тип подключения (сущ);Скорость подключения (сущ);Тип подключения (план);Скорость подключения (план)
Бабаюртовский район;Село;Львовское № 1;МКОУ ЛЬВОВСКАЯ СОШ ;Республика Дагестан, Бабаюртовский район, с. Львовское № 1, ул. Забитова, 99;;;43,386684;47,146982;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Гергебильский район;Село;Маали;МКОУ Маалинская СОШ ;Республика Дагестан, Гергебильский район, с. Маали, ул. Школьная, 9;;;42,29882;46,551306;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Магарамкентский район;Село;Магарамкент;МКОУ МАГАРАМКЕНТСКАЯ СОШ №1 ;Республика Дагестан, Магарамкентский район, с. Магарамкент, ул. Ленина, 7;;;41,617297;48,352359;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Магарамкентский район;Село;Магарамкент;МКОУ МАГАРАМКЕНТСКАЯ СОШ №2 ;Республика Дагестан, Магарамкентский район, с. Магарамкент, ул.Агасиева, 30;;;41,616094;48,344219;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Чародинский район;Село;Магар;МКОУ Магарская СОШ Чарод-ий район ;Республика Дагестан, Чародинский район, с. Магар;;;42,194987;46,843024;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Чародинский район;Село;Магар;МКОУ Магарская СОШ Чародинский ;Республика Дагестан, Чародинский район, с. Магар;;;42,194987;46,843024;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Кайтагский район;Село;Маджалис;МКОУ МАДЖАЛИССКАЯ СОШ ;Республика Дагестан, Кайтагский район, с. Маджалис, ул.Алисултанова, д.116;;;42,118445;47,829146;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Кизлярский район;Село;Малая Козырёвка;МКОУ Малокозыревская ООШ ;Республика Дагестан, Кизлярский район, с. Малая Козырёвка, ул. Ленина, 1;;;43,906177;46,816609;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Поселок;Мамедкала;МКОУ МАМЕДКАЛИНСКАЯ ГИМНАЗИЯ ;Республика Дагестан, Дербентский район, п. Мамедкала, ул. Школьная, 3;;;42,095731;48,065959;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Буйнакский район;Село;Манасаул;МКОУ Манасаульская СОШ ;Республика Дагестан, Буйнакский район, с. Манасаул.;;;42,758802;47,039666;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Левашинский район;Село;Мекеги;МКОУ МЕКЕГИНСКИЙ ЛИЦЕЙ ;Республика Дагестан, Левашинский район с. Мекеги, ул. Н.Гапизова, 1;;;42,396231;47,46003;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Меусиша;МКОУ МЕУСИШИНСКАЯ СОШ ;Республика Дагестан, Дахадаевский район, с. Меусиша;;;42,201061;47,59536;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Гумбетовский район;Село;Мехельта;МКОУ МЕХЕЛЬТИНСКАЯ ООШ ;Республика Дагестан, Гумбетовский район, с. Мехельта, ул. Сахрата Керимова, д.67;;;42,4758;46,3001;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Гумбетовский район;Село;Мехельта;МКОУ МЕХЕЛЬТИНСКАЯ СОШ ;Республика Дагестан, Гумбетовский район, с. Мехельта, ул. Школьная, 2;;;42,4716;46,3009;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Докузпаринский район;Село;Килер;МКОУ МИКРАХКАЗМАЛЯРСКАЯ СОШ ;Республика Дагестан, Докузпаринский район, с. Килер, ул. Килер, 10;;;41,224741;47,541928;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Докузпаринский район;Село;Микрах;МКОУ МИКРАХСКАЯ СОШ ;Республика Дагестан, Докузпаринский район, с. Микрах, ул. Гаджимурадова, 1;;;41,222495;47,531422;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Мирзидиты;МКОУ МИРЗИДТЫНСКАЯ ООШ ;Республика Дагестан, Дахадаевский район, с. Мирзидиты;;;42,130579;47,477821;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Докузпаринский район;Село;Мискинджа;МКОУ МИСКИНДЖИНСКАЯ СОШ ;Республика Дагестан, Докузпаринский район, с. Мискинджа, ул. М.Ахундова, 7а;;;41,252493;47,505279;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Агульский район;Село;Мисси;МКОУ МИССИНСКАЯ СОШ ;Республика Дагестан, Агульский район, с. Мисси;;;41,809167;47,603889;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Село;Митаги-Казмаляр;МКОУ МИТАГИ - КАЗМАЛЯРСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Митаги-Казмаляр;;;42,040822;48,200161;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Село;Митаги;МКОУ МИТАГИНСКАЯ ООШ ;Республика Дагестан, Дербентский район, с. Митаги;;;42,016506;48,190778;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Село;Мичурино;МКОУ МИЧУРИНСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Мичурино;;;42,179043;48,197768;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Морское;МКОУ МОРСКАЯ СОШ ;Республика Дагестан, Дахадаевский район, с. Морское;;;42,239217;48,142243;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Село;Мугарты;МКОУ МУГАРТЫНСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Мугарты;;;41,997356;48,16173;Общеобразовательная организация;Медь;1;ВОЛС;50.0
Магарамкентский район;Село;Мугерган;МКОУ МУГЕРГАНСКАЯ СОШ ;Республика Дагестан, Магарамкентский район, с. Мугерган, ул.  А.Садыкова, 45;;;41,522325;48,177546;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Акушинский район;Село;Муги;МКОУ МУГИНСКИЙ ЛИЦЕЙ ;Республика Дагестан, Акушинский район, с. Муги, ул. М.Гаджиева, д. 66;;;42,175866;47,252157;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Село;Музаим;МКОУ МУЗАИМСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Музаим;;;41,907913;48,293076;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Левашинский район;Село;Мусультемахи;МКОУ МУСУЛЬТЕМАХИНСКАЯ СОШ ;Республика Дагестан, Левашинский район с. Мусультемахи, ул. Школьная, 1;;;42,363334;47,188695;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Сергокалинский район;Село;Мюрего;МКОУ МЮРЕГИНСКАЯ СОШ ;Республика Дагестан, Сергокалинский район, с. Мюрего, ул. Школьная,д. 101;;;42,4057;47,6902;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Гунибский район;Село;Н. Кегер;МКОУ Н.КЕГЕРСКАЯ СОШ ;Республика Дагестан, Гунибский район, с. Нижний Кегер, ул. Заводская, 55;;;42,4024;46,97537;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ногайский район;Село;Нариман;МКОУ НАРИМАНСКАЯ СОШ ;Республика Дагестан, Ногайский район, с. Нариман, ул. Батырова, 7а;;;44,188969;45,839621;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Левашинский район;Село;Наскент;МКОУ НАСКЕНТСКАЯ СОШ ;Республика Дагестан, Левашинский район с. Наскент, ул. Расула Даудова, д. 22;;;42,377455;47,334965;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Кизлярский район;Село;Некрасовка;МКОУ Некрасовская СОШ ;Республика Дагестан, Кизлярский район, с. Некрасовка, ул. Школьная, д. 103;;;43,83037;46,957022;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Кизилюртовский район;Село;Нечаевка;МКОУ НЕЧАЕВСКАЯ СОШ №1 ;Республика Дагестан, Кизилюртовский район, с. Нечаевка, ул. Имама Шамиля, 6;;;43,270076;46,910955;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Кизилюртовский район;Село;Нечаевка;МКОУ НЕЧАЕВСКАЯ СОШ №2 ;Республика Дагестан, Кизилюртовский район, с. Нечаевка, ул. И.Гамзата, 35;;;43,269438;46,923153;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ботлихский район;Село;Нижнее Инхело;МКОУ НИЖНЕ-ИНХЕЛОВСКАЯ ООШ ;Республика Дагестан, Ботлихский район с. Инхело, ул. Саида Ободинского, д. 28;;;42,645152;46,254722;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Гумбетовский район;Село;Нижнее – Инхо;МКОУ НИЖНЕ-ИНХОВСКАЯ СОШ ;Республика Дагестан, Гумбетовский район, с. Нижнее – Инхо, ул.Центральная, д.74;;;42,4214;46,3028;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Буйнакский район;Село;Н.-Казанище;МКОУ Нижнеказанищенская СОШ 4 ;Республика Дагестан, Буйнакский район, с. Нижнее Казанище, ул.Бийболатова, 1;;;42,76578;47,15593;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Буйнакский район;Село;Н.-Казанище;МКОУ НИЖНЕКАЗАНИЩЕНСКАЯ СОШ № 2 ;Республика Дагестан, Буйнакский район, с. Нижнее Казанище,  улица Уллубия Буйнакского, 124.;;;42,76411;47,1603;Общеобразовательная организация;Медь;15;ВОЛС;50.0
Кизилюртовский район;Село;Нижний Чирюрт;МКОУ НИЖНЕЧИРЮРТОВСКАЯ СОШ ;Республика Дагестан, Кизилюртовский район, с. Нижний Чирюрт, ул. Арацханова, 2;;;43,174572;46,858534;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Левашинский район;Село;Нижнее-Чугли;МКОУ НИЖНЕ-ЧУГЛИНСКАЯ СОШ ;Республика Дагестан, Левашинский район с. Нижнее Чугли, ул. Саида Афанди, 267;;;42,463268;47,293161;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Буйнакский район;Село;Н.-Каранай;МКОУ Н-Каранайская ООШ ;Республика Дагестан, Буйнакский район, с. Н.-Каранай.;;;42,844088;46,940751;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Гумбетовский район;Село;Ново-Аргвани;МКОУ НОВО-АРГВАНИНСКАЯ СОШ ;Республика Дагестан, Гумбетовский район, с. Ново-Аргвани, ул.  Им Нурмагомеда Алиева, д. 97;;;42,4639;46,3624;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Магарамкентский район;Село;Новый Аул;МКОУ НОВОАУЛЬСКАЯ СОШ ;Республика Дагестан, Магарамкентский район, с. Новый Аул, ул. Школьная, 1;;;41,72718;48,23366;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Кизлярский район;Село;Новогладовка;МКОУ Новогладовская ООШ ;Республика Дагестан, Кизлярский район, с. Новогладовка, ул. Новая;;;43,848119;46,895022;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Докузпаринский район;Село;Новое Каракюре;МКОУ НОВОКАРАКЮРИНСКАЯ СОШ ;Республика Дагестан, Докузпаринский район, с. Новое Каракюре, ул. Абусаида Керимова, 34;;;41,263461;47,570413;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Каякентский район;Село;Новокаякент;МКОУ Новокаякентская СОШ ;Республика Дагестан, Каякентский район, с. Новокаякент, ул. Дахадаева, 39;;;42,3812;47,985;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Новолакский район;Село;Новолакское;МКОУ НОВОЛАКСКАЯ ГИМНАЗИЯ ;Республика Дагестан, Новолакский район, с. Новолакское, ул. Школьная, 1;;;43,079221;46,453499;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Новолакский район;Село;Новолакское;МКОУ Новолакская СОШ 1 Новолак. р-он ;Республика Дагестан, Новолакский район, с. Новолакское, ул. Воронежская, 51;;;43,127649;46,484861;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Табасаранский район;Село;Новое Лидже;МКОУ Новолидженская СОШ ;Республика Дагестан, Табасаранский район, с. Новое Лидже, ул. Школьная, 2;;;41,583681;48,029191;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Сулейман-Стальский район;Село;Новая Мака;МКОУ НОВОМАКИНСКАЯ СОШ ;Республика Дагестан, Сулейман-стальский район, с. Новая Мака, ул. Ленина, 6А;;;41,623;48,878;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Новолакский район;Село;Новомехельта;МКОУ НОВОМЕХЕЛЬТИНСКАЯ СОШ ;Республика Дагестан, Новолакский район, с. Новомехельта, ул. Хамидова, 14;;;43,252553;46,545029;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ахтынский район;Село;Ново-Усур;МКОУ НОВО-УСУРСКАЯ СОШ ;Республика Дагестан, Ахтынский район, с. Ново-Усур, ул. Малла-Прима, д. 41;;;41,697654;48,353338;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Новолакский район;Село;Новочуртах;МКОУ НОВОЧУРТАХСКАЯ СОШ №1 ;Республика Дагестан, Новолакский район, с. Новочуртах, ул. Центральная, д.46;;;43,21106;46,541698;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Новолакский район;Село;Новочуртах;МКОУ НОВОЧУРТАХСКАЯ СОШ №2 ;Республика Дагестан, Новолакский район, с. Новочуртах, ул. Школьная, д.1;;;43,201252;46,533775;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Новолакский район;Село;Новочуртах;МКОУ НОВОЧУРТАХСКАЯ СОШ ;Республика Дагестан, Новолакский район, с. Новочуртах, ул. Школьная, д.1;;;43,201252;46,533775;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Шамильский район;Село;Куаниб;МКОУ НОШ РАДОСТЬ ;Республика Дагестан, Шамильский район, с. Куаниб;;;42,50951;46,61102;Общеобразовательная организация;Отсутствует;0;ВОЛС;50.0
Дербентский район;Село;Нюгди;МКОУ НЮГДИНСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Нюгди;;;41,860166;48,435284;Общеобразовательная организация;Медь;1;ВОЛС;50.0
Дербентский район;Село;Джалган;МКОУ ООШ ИМ. Г.ДАВЫДОВОЙ ;Республика Дагестан, Дербентский район, с. Джалган;;;42,016404;48,296034;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Сулейман-Стальский район;Село;Ортастал;МКОУ ОРТАСТАЛЬСКАЯ СОШ ;Республика Дагестан, Сулейман-стальский район, с. Орта-Стал, ул. Альдерова, 12;;;41,702384;48,171194;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Магарамкентский район;Село;Оружба;МКОУ ОРУЖБИНСКАЯ СОШ ;Республика Дагестан, Магарамкентский район, с. Оружба, ул. М.Ярагского, д. 10;;;41,774466;48,436652;Общеобразовательная организация;Другое;1;ВОЛС;50.0
Левашинский район;Село;Охли;МКОУ ОХЛИНСКАЯ СОШ ;Республика Дагестан, Левашинский район с. Охли, ул. Хафиза Хаджи Омарова, д. 1;;;42,554195;47,206036;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Село;Падар;МКОУ ПАДАРСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Падар, ул. Центральная, 12/А;;;42,20207;48,05817;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Карабудахкентский район;Село;Параул;МКОУ ПАРАУЛЬСКАЯ СОШ № 1 ;Республика Дагестан, Карабудахкентский район, с. Параул, И.Устаза, 1;;;42,737091;47,345777;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Карабудахкентский район;Село;Параул;МКОУ ПАРАУЛЬСКАЯ СОШ № 3 ;Республика Дагестан, Карабудахкентский район, с. Параул, ул. Параульская, 17;;;42,8803;47,5501;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Каякентский район;Село;Первомайское;МКОУ ПЕРВОМАЙСКАЯ ГИМНАЗИЯ ;Республика Дагестан, Каякентский район, с. Первомайское, ул. Ленина, 74;;;42,4944;47,893;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Каякентский район;Село;Первомайское;МКОУ ПЕРВОМАЙСКАЯ СОШ №1 ;Республика Дагестан, Каякентский район, с. Первомайское, ул. Школьная, 82;;;42,4965;47,899;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Каякентский район;Село;Первомайское;МКОУ Первомайская СОШ ;Республика Дагестан, Каякентский район, с. Первомайское, ул. Школьная, 82;;;42,4965;47,899;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Хасавюртовский район;Село;Петраковск;МКОУ ПЕТРАКОВСКАЯ СОШ ;Республика Дагестан, Хасавюртовский район, с. Петраковск;;;43,252392;46,638176;Общеобразовательная организация;Медь;12;ВОЛС;50.0
Магарамкентский район;Село;Приморский;МКОУ ПРИМОРСКАЯ ООШ ;Республика Дагестан, Магарамкентский район, с. Приморский, ул. Школьная, 3;;;41,846642;48,586484;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Ботлихский район;Село;Рахата;МКОУ РАХАТИНСКАЯ СОШ ;Республика Дагестан, Ботлихский район с. Рахата, ул. Имама Шамиля, д. 49;;;42,689192;46,146869;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Агульский район;Село;Рича;МКОУ РИЧИНСКАЯ СОШ ;Республика Дагестан, Агульский район, с. Рича, ;;;41,454184;47,301445;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Меусиша;МКОУ РТС-АУЛЬСКАЯ ООШ ;Республика Дагестан, Дахадаевский район, с. Меусиша;;;42,086111;47,5575;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Дербентский район;Село;Рубас;МКОУ РУБАССКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Рубас, ул.Центральная, 89;;;41,53;48,19;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Село;Рукель;МКОУ РУКЕЛЬСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Рукель;;;41,98597;48,228497;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Табасаранский район;Село;Рушуль;МКОУ РУШУЛЬСКАЯ СОШ ;Республика Дагестан, Табасаранский район, с. Рушуль, ул. Рушульская, 369А;;;41,573269;48,040312;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Шамильский район;Село;Сомода;МКОУ С;Республика Дагестан, Шамильский район, с. Сомода, ул Магомеда Тайгибова, 16;;;42,305992;46,53478;Общеобразовательная организация;Отсутствует;0;ВОЛС;50.0
Дербентский район;Село;Сабнова;МКОУ САБНАВИНСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Сабнова, ул. Школьная, 4;;;42,03564;48,152108;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Каякентский район;Село;Сагаси Дейбук;МКОУ САГАСИДЕЙБУКСКАЯ СОШ ;Республика Дагестан, Каякентский район, с. Сагаси Дейбук;;;42,510004;47,843432;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Село;Салик;МКОУ САЛИКСКАЯ СОШ ИМ.КУРБАНОВА Я. ;Республика Дагестан, Дербентский район, с. Салик, ул. Школьная, 9;;;42,102252;48,051693;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Магарамкентский район;Село;Самур;МКОУ САМУРСКАЯ СОШ ;Республика Дагестан, Магарамкентский район, с. Самур, ул. Родниковая, 4;;;41,827081;48,488507;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Сергокалинский район;Село;Сергокала;МКОУ СЕРГОКАЛИНСКАЯ СОШ №1 ;Республика Дагестан, Сергокалинский район, с. Сергокала, ул. С. Стальского, 8;;;42,4492;47,6594;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Сергокалинский район;Село;Сергокала;МКОУ СЕРГОКАЛИНСКАЯ СОШ №2 ;Республика Дагестан, Сергокалинский район, с. Сергокала, ул. Х. Мустафаева , д.15;;;42,4549;47,6678;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Хасавюртовский район;Село;Сивух;МКОУ СИВУХСКАЯ СОШ ;Республика Дагестан, Хасавюртовский район, с. Сивух, ул. И.Шамиля, 20;;;43,410352;46,602428;Общеобразовательная организация;Медь;12;ВОЛС;50.0
Табасаранский район;Село;Сиртич;МКОУ СИРТИЧСКАЯ СОШ ;Республика Дагестан, Табасаранский район, с. Сиртич, ул. Ленина, 33;;;41,49577;48,133862;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ахтынский район;Село;Смугул;МКОУ СМУГУЛЬСКАЯ СОШ ;Республика Дагестан, Ахтынский район, с. Смугул;;;41,38039;47,632165;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Магарамкентский район;Село;Советское;МКОУ СОВЕТСКАЯ СОШ  ;Республика Дагестан, Магарамкентский район, с. Советское, туп. Ялджугская, д. 6;;;41,726137;48,330978;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Магарамкентский район;Село;Советское;МКОУ СОВЕТСКАЯ СОШ ИМ.Ш.Т.АМАЧИЕВА ;Республика Дагестан, Магарамкентский район, с. Советское, туп. Ялджугская, д. 6;;;41,726137;48,330978;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Магарамкентский район;Село;Советское;МКОУ СОВЕТСКАЯ СОШ ;Республика Дагестан, Магарамкентский район, с. Советское, туп. Ялджугская, д. 6;;;41,726137;48,330978;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Гунибский район;Село;Согратль;МКОУ СОГРАТЛИНСКАЯ ГИМНАЗИЯ ;Республика Дагестан, Гунибский район, с. Согратль;;;42,28269;46,98869;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Хасавюртовский район;Село;Солнечное;МКОУ СОЛНЕЧНАЯ СОШ ;Республика Дагестан, Хасавюртовский район, с. Солнечное, ул. Нурадилова, 4;;;43,1638;46,3016;Общеобразовательная организация;Медь;12;ВОЛС;50.0
Городской округ город Южно-Сухокумск;Город;Южно-сухокумск;МКОУ СОШ 2 г. Избербаш ;Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3;;;44,657653;45,659281;Общеобразовательная организация;Медь;15;ВОЛС;100.0
Городской округ город Южно-Сухокумск;Город;Южно-сухокумск;МКОУ СОШ 2 г. Кизилюрт ;Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3;;;44,657653;45,659281;Общеобразовательная организация;Медь;15;ВОЛС;100.0
Городской округ город Кизилюрт;Поселок городского типа;Бавтугай;МКОУ СОШ 3 г.Кизляр ;Республика Дагестан, г. Кизилюрт, пгт. Бавтугай, Интернатская, 10;;;43,1711;46,8403;Общеобразовательная организация;Медь;4;ВОЛС;100.0
Городской округ город Кизилюрт;Поселок городского типа;Бавтугай;МКОУ СОШ 3 г. Избербаш ;Республика Дагестан, г. Кизилюрт, пгт. Бавтугай, Интернатская, 10;;;43,1711;46,8403;Общеобразовательная организация;Медь;4;ВОЛС;100.0
Городской округ город Кизилюрт;Поселок городского типа;Бавтугай;МКОУ СОШ 3 г. Кизилюрт ;Республика Дагестан, г. Кизилюрт, пгт. Бавтугай, Интернатская, 10;;;43,1711;46,8403;Общеобразовательная организация;Медь;4;ВОЛС;100.0
Городской округ город Кизилюрт;Поселок городского типа;Бавтугай;МКОУ СОШ 3 г. Кизляр ;Республика Дагестан, г. Кизилюрт, пгт. Бавтугай, Интернатская, 10;;;43,1711;46,8403;Общеобразовательная организация;Медь;4;ВОЛС;100.0
Городской округ город Южно-Сухокумск;Город;Южно-сухокумск;МКОУ СОШ 4 г.Кизляр ;Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 8;;;44,65634;45,654839;Общеобразовательная организация;Медь;15;ВОЛС;100.0
Городской округ город Южно-Сухокумск;Город;Южно-сухокумск;МКОУ СОШ 4 г.Кизилюрт ;Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 8;;;44,65634;45,654839;Общеобразовательная организация;Медь;15;ВОЛС;100.0
Городской округ город Южно-Сухокумск;Город;Южно-сухокумск;МКОУ СОШ 4 г. Кизляр ;Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 8;;;44,65634;45,654839;Общеобразовательная организация;Медь;15;ВОЛС;100.0
Городской округ город Кизилюрт;Город;Кизилюрт;МКОУ СОШ 7 город Кизилюрт ;Республика Дагестан, г. Кизилюрт, ул. Гамзата - Цадаса, 40А;;;43,1975;46,8735;Общеобразовательная организация;Медь;4;ВОЛС;100.0
Городской округ город Кизилюрт;Город;Кизилюрт;МКОУ СОШ 8 г. Избербаш ;Республика Дагестан, г. Кизилюрт, ул. Гамзата - Цадаса, 73Б;;;43,197268;46,878804;Общеобразовательная организация;Медь;4;ВОЛС;100.0
Городской округ город Кизилюрт;Город;Кизилюрт;МКОУ СОШ 8 г. Кизилюрт ;Республика Дагестан, г. Кизилюрт, ул. Гамзата - Цадаса, 73Б;;;43,197268;46,878804;Общеобразовательная организация;Медь;4;ВОЛС;100.0
Городской округ город Кизилюрт;Город;Кизилюрт;МКОУ СОШ 9 г.Кизляр ;Республика Дагестан, г. Кизилюрт, ул. Вишневского, 145Б;;;43,2014;46,8804;Общеобразовательная организация;Медь;4;ВОЛС;100.0
Городской округ город Кизилюрт;Город;Кизилюрт;МКОУ СОШ 9 им. Гайдара г. Кизляр ;Республика Дагестан, г. Кизилюрт, ул. Вишневского, 145Б;;;43,2014;46,8804;Общеобразовательная организация;Медь;4;ВОЛС;100.0
Городской округ город Кизилюрт;Город;Кизилюрт;МКОУ СОШ 9 г.Кзилюрт ;Республика Дагестан, г. Кизилюрт, ул. Вишневского, 145Б;;;43,2014;46,8804;Общеобразовательная организация;Медь;4;ВОЛС;100.0
Дербентский район;Село;Белиджи;МКОУ СОШ № 1  ;Республика Дагестан, Дербентский район, с. Белиджи;;;41,875094;48,390573;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Село;Белиджи;МКОУ СОШ № 1 ;Республика Дагестан, Дербентский район, с. Белиджи;;;41,875094;48,390573;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Поселок;Мамедкала;МКОУ СОШ № 2  ;Республика Дагестан, Дербентский район, п. Мамедкала ул. Н.Алиева, 42/А;;;42,100871;48,072993;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Городской округ город Южно-Сухокумск;Город;Южно-сухокумск;МКОУ СОШ № 2 БЕЛИДЖИ;Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3;;;44,657653;45,659281;Общеобразовательная организация;Медь;15;ВОЛС;100.0
Городской округ город Южно-Сухокумск;Город;Южно-сухокумск;МКОУ СОШ № 2 МАМЕДКАЛА;Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3;;;44,657653;45,659281;Общеобразовательная организация;Медь;15;ВОЛС;100.0
Городской округ город Южно-Сухокумск;Город;Южно-сухокумск;МКОУ СОШ № 2 БЕЛИДЖИ;Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3;;;44,657653;45,659281;Общеобразовательная организация;Медь;15;ВОЛС;100.0
Дербентский район;Поселок;Мамедкала;МКОУ СОШ № 2 ;Республика Дагестан, Дербентский район, п. Мамедкала ул. Н.Алиева, 42/А;;;42,100871;48,072993;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Городской округ город Кизилюрт;Поселок городского типа;Бавтугай;МКОУ СОШ № 3 Г. ЮЖНО-СУХОКУМСК ;Республика Дагестан, г. Кизилюрт, пгт. Бавтугай, Интернатская, 10;;;43,1711;46,8403;Общеобразовательная организация;Медь;4;ВОЛС;100.0
Городской округ город Кизилюрт;Поселок городского типа;Бавтугай;МКОУ СОШ № 3 ИМ. С.А.ДЖАНХУВАТОВА ;Республика Дагестан, г. Кизилюрт, пгт. Бавтугай, Интернатская, 10;;;43,1711;46,8403;Общеобразовательная организация;Медь;4;ВОЛС;100.0
