Район;Тип н п;Наименование нас пункта;Наименование;Адрес;ИНН;Контакты;Широта;Долгота;Тип учреждения;Тип подключения (сущ);Скорость подключения (сущ);Тип подключения (план);Скорость подключения (план)
Хивский район;Село;Ашага-Архит;МКОУ АРХИТСКАЯ СОШ ;Республика Дагестан, Хивский район, с. Ашага-Архит, ул. Манатилова, 1;;;41,441159;47,582145;Общеобразовательная организация;Спутник;1.0;ВОЛС;50.0
Хивский район;Село;Арчуг;МКОУ АРЧУГСКАЯ НОШ ;Республика Дагестан, Хивский район, с. Арчуг;;;41,784211;47,859876;Общеобразовательная организация;Отсутствует;0.0;ВОЛС;50.0
Хивский район;Село;Асакент;МКОУ АС;Республика Дагестан, Хивский район, с. Асакент;;;41,756205;48,008772;Общеобразовательная организация;Отсутствует;0.0;ВОЛС;50.0
Хивский район;Село;Атрик;МКОУ АТРИКСКАЯ НОШ ;Республика Дагестан, Хивский район, с. Атрик;;;41,881532;47,779737;Общеобразовательная организация;Отсутствует;0.0;ВОЛС;50.0
Левашинский район;Село;Ахкент;МКОУ АХКЕНТСКАЯ СОШ ;Республика Дагестан, Левашинский район с. Ахкент, ул. Мира, д. 2;;;42,572923;47,187344;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Ахтынский район;Село;Ахты;МКОУ АХТЫНСКАЯ ООШ ;Республика Дагестан, Ахтынский район, с. Ахты, ул.Байрамова,11;;;41,459167;47,749167;Общеобразовательная организация;Медь;15.0;ВОЛС;50.0
Ахтынский район;Село;Ахты;МКОУ АХТЫНСКАЯ СОШ № 2 ;Республика Дагестан, Ахтынский район, с. Ахты, ул.Байрамова,пер.8 д.№16;;;41,45679;47,74456;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Ахтынский район;Село;Ахты;МКОУ АХТЫНСКАЯ СОШ №1 ;Республика Дагестан, Ахтынский район, с. Ахты, ул. А. Аливердиева, 12;;;41,45676;47,74159;Общеобразовательная организация;Медь;15.0;ВОЛС;50.0
Карабудахкентский район;Село;Ачи;МКОУ АЧИНСКАЯ СОШ №1 ;Республика Дагестан, Карабудахкентский район, с.  Ачи, ул. Школьная, 1;;;42,6617;47,7159;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Сулейман-Стальский район;Село;Ашагасталказмаляр;МКОУ АШАГАСТАЛКАЗМАЛЯРСКАЯ СОШ ;Республика Дагестан, Сулейман-стальский район, с. Ашагасталказмаляр, ул. Школьная 2;;;41,259;48,463;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Унцукульский район;Село;Ашильта;МКОУ АШИЛЬТИНСКАЯ СОШ ;Республика Дагестан, Унцукульский район, с. Ашильта, ул. М.Амирханова, 32;;;42,772157;46,729753;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Бабаюртовский район;Село;Бабаюрт;МКОУ БАБАЮРТОВСКАЯ СОШ №2 ;Республика Дагестан, Бабаюртовский район, с. Бабаюрт, ул. Герейханова, 13/А;;;43,601111;46,779167;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Бабаюртовский район;Село;Бабаюрт;МКОУ БАБАЮРТОВСКАЯ СОШ №3 ;Республика Дагестан, Бабаюртовский район, с. Бабаюрт, ул. И.Казака, 80;;;43,595972;46,763427;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Дахадаевский район;Село;Бакни;МКОУ БАКНИНСКАЯ ООШ ;Республика Дагестан, Дахадаевский район, с. Бакни;;;42,116131;47,530421;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Цунтинский район;Село;Балакури;МКОУ Балакуринская СОШ ;Республика Дагестан, Цунтинский район, с. Балакури, ул Ленина, 26;;;42,159002;46,120671;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
