,Район,Тип н п,Наименование нас пункта,Наименование,Адрес,ИНН,Контакты,Широта,Долгота,Тип учреждения,Тип подключения (сущ),Скорость подключения (сущ),Тип подключения (план),Скорость подключения (план)
685,Кизилюртовский район,Село,Стальское,МКОУ СТАЛЬСКАЯ СОШ № 3,"Республика Дагестан, Кизилюртовский район, с. Стальское",516008204.0,,"43,191389","46,966944",,Медь,4.0,ВОЛС,50.0
686,Кизлярский район,Поселок,Степной,МКОУ Степновская ООШ,"Республика Дагестан, Кизлярский район, п. Степной",547006158.0,,"43,894619","46,491071",,Медь,4.0,ВОЛС,50.0
687,Кизилюртовский район,Село,Султанянгиюрт,МКОУ СУЛТАНЯНГИЮРТОВСКАЯ СОШ №2,"Республика Дагестан, Кизилюртовский район, с. Султанянгиюрт, ул. Школьная",516008388.0,,"43,216868","46,868814",,Медь,4.0,ВОЛС,50.0
688,Кизилюртовский район,Село,Султанянгиюрт,МКОУ Султанянгиюртовская СОШ,"Республика Дагестан, Кизилюртовский район, с. Султанянгиюрт, ул. Школьная",516008388.0,,"43,216868","46,868814",,Медь,4.0,ВОЛС,50.0
689,Тарумовский район,Село,Таловка,МКОУ Таловская СОШ,"Республика Дагестан, Тарумовский район, с. Таловка",531004927.0,,"44,238027","46,590346",,Медь,4.0,ВОЛС,50.0
690,Ботлихский район,Село,Тандо,МКОУ ТАНДОВСКАЯ СОШ,"Республика Дагестан, Ботлихский район с. Тандо",506006247.0,,"42,707244","46,176134",,Медь,4.0,ВОЛС,50.0
691,Хунзахский район,Село,Тануси,МКОУ Танусинская СОШ им. Шамхалова,"Республика Дагестан, Хунзахский район, с. Тануси",,,"42,581389","46,694352",,Медь,4.0,ВОЛС,50.0
692,Ботлихский район,Село,Тасута,МКОУ ТАСУТИНСКАЯ ООШ,"Республика Дагестан, Ботлихский район с. Тасута",506006166.0,,"42,71613","46,225773",,Медь,4.0,ВОЛС,50.0
693,Хасавюртовский район,Село,Темираул,МКОУ ТЕМИРАУЛЬСКАЯ СО,"Республика Дагестан, Хасавюртовский район, с. Темираул",534011680.0,,"43,253443","46,824796",,Медь,12.0,ВОЛС,50.0
694,Хасавюртовский район,Село,Темираул,МКОУ ТЕМИРАУЛЬСКАЯ СОШ,"Республика Дагестан, Хасавюртовский район, с. Темираул",534011680.0,,"43,253443","46,824796",,Медь,12.0,ВОЛС,50.0
695,Хасавюртовский район,Село,Теречное,МКОУ ТЕРЕЧНАЯ СОШ,"Республика Дагестан, Хасавюртовский район, с. Теречное",534029951.0,,"43,431957","46,398632",,Медь,12.0,ВОЛС,50.0
696,Шамильский район,Село,Тидиб,МКОУ Тидибская СОШ,"Республика Дагестан, Шамильский район, с. Тидиб",528008167.0,,"42,388444","46,572397",,Медь,4.0,ВОЛС,50.0
