,Район,Тип н п,Наименование нас пункта,Наименование,Адрес,ИНН,Контакты,Широта,Долгота,Тип учреждения,Тип подключения (сущ),Скорость подключения (сущ),Тип подключения (план),Скорость подключения (план)
0,Каякентский район,Село,Утамыш,МКОУ УТАМЫШСКАЯ СОШ  ,"Республика Дагестан, Каякентский район, с. Утамыш",515013120.0,,"42,407795","47,751609",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
1,Докузпаринский район,Село,Авадан,МКОУ Аваданская СОШ ,"Республика Дагестан, Докузпаринский район, с. Авадан, Ленина, 32 ",553212350.0,,"41,555987","48,201969",Общеобразовательная организация,Медь,5.0,ВОЛС,50.0
2,Кизлярский район,Село,Аверьяновка,МКОУ Аверьяновская СОШ Кизляр. р-он ,"Республика Дагестан, Кизлярский район, с. Аверьяновка,ул. Пархоменко, д. 2",517000102.0,,"43,844395","46,757935",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
3,Карабудахкентский район,Село,Агачаул,МКОУ АГАЧАУЛЬСКАЯ СОШ ,"Республика Дагестан, Карабудахкентский район, с. Агачаул, ул. 1-Линия, 88",,,"42,9254","47,4633",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
4,Буйнакский район,Село,Агачкала,МКОУ Агачкалинская СОШ ,"Республика Дагестан, Буйнакский район, с. Агачкала.",507019792.0,,"42,767825","47,075226",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
5,Дербентский район,Село,Аглоби,МКОУ АГЛОБИНСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Аглоби, ул. Школьная, 8",,,"41,54","48,2",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
6,Карабудахкентский район,Село,Аданак,МКОУ АДАНАКСКАЯ СОШ ,"Республика Дагестан, Карабудахкентский район, с. Аданак, ул. Ленина, 23А",,,"42,752772","47,455345",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
7,Кумторкалинский район,Село,Аджидада,МКОУ АДЖИДАДИНСКАЯ СОШ ,"Республика Дагестан, Кумторкалинский район, с. Аджидада",552002511.0,,"43,284804","47,076661",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
8,Хасавюртовский район,Село,Адильотар,МКОУ АДИЛЬОТАРСКАЯ СОШ ,"Республика Дагестан, Хасавюртовский район, с. Адильотар, ул. Гусейнова, 2",,,"43,462724","46,675329",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
9,Буйнакский район,Село,Акайтала,МКОУ Акайталинская СОШ ,"Республика Дагестан, Буйнакский район, с. Акайтала",507004281.0,,"43,031405","46,925637",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
10,Табасаранский район,Село,Акка,МКОУ АККИНСКАЯ СОШ ,"Республика Дагестан, Табасаранский район, с. Акка, ул. Аккинская, 97",530007932.0,,"41,551447","47,561098",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
11,Хасавюртовский район,Село,Аксай,МКОУ АКСАЕВСКАЯ ШКОЛА - ИНТЕРНАТ ,"Республика Дагестан, Хасавюртовский район, с. Аксай, ул. Интернатская, 1",,,"43,373812","46,44049",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
12,Хасавюртовский район,Село,Аксай,МКОУ АКСАЙСКАЯ СОШ №1 ,"Республика Дагестан, Хасавюртовский район, с. Аксай, ул. Виноградная, 1 ",534021511.0,,"43,367646","46,449188",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
13,Хасавюртовский район,Село,Аксай,МКОУ АКСАЙСКАЯ СОШ №2 ,"Республика Дагестан, Хасавюртовский район, с. Аксай, ул. А.Салаватова, 16",534011619.0,,"43,369113","46,445524",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
14,Акушинский район,Село,Акуша,МКОУ АКУШИНСКАЯ СОШ №2 ,"Республика Дагестан, Акушинский район, с. Акуша, ул. Алигаджи Акушинского, д. 71",502004432.0,,"42,16407","47,202481",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
15,Ботлихский район,Село,Алак,МКОУ АЛАКСКИЙ ЛИЦЕЙ ,"Республика Дагестан, Ботлихский район с. Алак, ул. Центральная, 71/1",506066020.0,,"42,636534","46,205833",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
16,Сулейман-Стальский район,Село,Алкадар,МКОУ АЛКАДАРСКАЯ СОШ ,"Республика Дагестан, Сулейман-стальский район, с. Алкадар, ул. Школьная, 5",529010592.0,,"41,713481","48,08512",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
17,Кумторкалинский район,Село,Алмало,МКОУ АЛМАЛИНСКАЯ СОШ ,"Республика Дагестан, Кумторкалинский район, с. Алмало, ул. Школьная, д. 1",552002462.0,,"43,092546","47,092546",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
18,Каякентский район,Село,Алхаджикент,МКОУ АЛХОДЖАКЕНТСКАЯ СОШ ,"Республика Дагестан, Каякентский район, с. Алхаджикент",515013716.0,,"42,340181","47,792408",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
19,Буйнакский район,Село,Апши,МКОУ Апшинская СОШ ,"Республика Дагестан, Буйнакский район, с. Апши, ул. Магомеда Гаджиева, д. 31",507009650.0,,"42,611219","47,174624",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
20,Дербентский район,Село,Араблинское,МКОУ АРАБЛИНСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Араблинcкое, ул. Вокзальная, 14",512011728.0,,"41,58","48,19",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
21,Буйнакский район,Село,Арахкент,МКОУ Арахкентская СОШ ,"Республика Дагестан, Буйнакский район, с. Арахкент",507020029.0,,"42,643699","47,197424",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
22,Гумбетовский район,Село,Аргвани,МКОУ АРГВАНИНСКАЯ СОШ ,"Республика Дагестан, Гумбетовский район, с. Аргвани, ул. Мухтарахмеда Курамагомедова, д. 2",509006615.0,,"42,4825","46,3449",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
23,Буйнакский район,Село,Аркас,МКОУ АРКАССКАЯ ООШ ,"Республика Дагестан, Буйнакский район, с. Аркаc, ул. И.Шамиля, 1",507019697.0,,"42,65045","47,13971",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
24,Табасаранский район,Село,Аркит,МКОУ АРКИТСКАЯ СОШ ,"Республика Дагестан, Табасаранский район, с. Аркит, ул. Аркитская, 107",,,"41,565081","48,05301",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
25,Агульский район,Село,Арсуг,МКОУ АРСУГСКАЯ СОШ ,"Республика Дагестан, Агульский район, с. Арсуг",,,"41,86461","47,650153",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
26,Хивский район,Село,Ашага-Архит,МКОУ АРХИТСКАЯ СОШ ,"Республика Дагестан, Хивский район, с. Ашага-Архит, ул. Манатилова, 1",535003882.0,,"41,441159","47,582145",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
27,Хивский район,Село,Арчуг,МКОУ АРЧУГСКАЯ НОШ ,"Республика Дагестан, Хивский район, с. Арчуг",,,"41,784211","47,859876",Общеобразовательная организация,Отсутствует,0.0,ВОЛС,50.0
28,Хивский район,Село,Асакент,МКОУ АС,"Республика Дагестан, Хивский район, с. Асакент",533009952.0,,"41,756205","48,008772",Общеобразовательная организация,Отсутствует,0.0,ВОЛС,50.0
29,Хивский район,Село,Атрик,МКОУ АТРИКСКАЯ НОШ ,"Республика Дагестан, Хивский район, с. Атрик",,,"41,881532","47,779737",Общеобразовательная организация,Отсутствует,0.0,ВОЛС,50.0
30,Левашинский район,Село,Ахкент,МКОУ АХКЕНТСКАЯ СОШ ,"Республика Дагестан, Левашинский район с. Ахкент, ул. Мира, д. 2",521008577.0,,"42,572923","47,187344",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
31,Ахтынский район,Село,Ахты,МКОУ АХТЫНСКАЯ ООШ ,"Республика Дагестан, Ахтынский район, с. Ахты, ул.Байрамова,11",504006379.0,,"41,459167","47,749167",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
32,Ахтынский район,Село,Ахты,МКОУ АХТЫНСКАЯ СОШ № 2 ,"Республика Дагестан, Ахтынский район, с. Ахты, ул.Байрамова,пер.8 д.№16",504006724.0,,"41,45679","47,74456",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
33,Ахтынский район,Село,Ахты,МКОУ АХТЫНСКАЯ СОШ №1 ,"Республика Дагестан, Ахтынский район, с. Ахты, ул. А. Аливердиева, 12",504006971.0,,"41,45676","47,74159",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
34,Карабудахкентский район,Село,Ачи,МКОУ АЧИНСКАЯ СОШ №1 ,"Республика Дагестан, Карабудахкентский район, с.  Ачи, ул. Школьная, 1",,,"42,6617","47,7159",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
35,Сулейман-Стальский район,Село,Ашагасталказмаляр,МКОУ АШАГАСТАЛКАЗМАЛЯРСКАЯ СОШ ,"Республика Дагестан, Сулейман-стальский район, с. Ашагасталказмаляр, ул. Школьная 2",529006934.0,,"41,259","48,463",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
36,Унцукульский район,Село,Ашильта,МКОУ АШИЛЬТИНСКАЯ СОШ ,"Республика Дагестан, Унцукульский район, с. Ашильта, ул. М.Амирханова, 32",,,"42,772157","46,729753",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
37,Бабаюртовский район,Село,Бабаюрт,МКОУ БАБАЮРТОВСКАЯ СОШ №2 ,"Республика Дагестан, Бабаюртовский район, с. Бабаюрт, ул. Герейханова, 13/А",505002810.0,,"43,601111","46,779167",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
38,Бабаюртовский район,Село,Бабаюрт,МКОУ БАБАЮРТОВСКАЯ СОШ №3 ,"Республика Дагестан, Бабаюртовский район, с. Бабаюрт, ул. И.Казака, 80",,,"43,595972","46,763427",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
39,Дахадаевский район,Село,Бакни,МКОУ БАКНИНСКАЯ ООШ ,"Республика Дагестан, Дахадаевский район, с. Бакни",511003178.0,,"42,116131","47,530421",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
40,Цунтинский район,Село,Балакури,МКОУ Балакуринская СОШ ,"Республика Дагестан, Цунтинский район, с. Балакури, ул Ленина, 26",538002340.0,,"42,159002","46,120671",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
41,Хасавюртовский район,Село,Бамматюрт,МКОУ Бамматюртовская СОШ ,"Республика Дагестан, Хасавюртовский район, с. Бамматюрт, ул. Школьная, 72 ",534029937.0,,"43,346163","46,608256",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
42,Кайтагский район,Село,Баршамай,МКОУ БАРШАМАЙСКАЯ СОШ ,"Республика Дагестан, Кайтагский район, с. Баршамай, ул.Центральная, 100",514900352.0,,"42,110395","47,849194",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
43,Шамильский район,Село,Нижний Батлух,МКОУ БАТЛУХСКАЯ НОШ ,"Республика Дагестан, Шамильский район, с. Нижний Батлух, ул Центральная, 124",,,"42,488462","46,524909",Общеобразовательная организация,Отсутствует,0.0,ВОЛС,50.0
44,Гунибский район,Село,Бацада,МКОУ БАЦАДИНСКАЯ СОШ ,"Республика Дагестан, Гунибский район, с. Бацада, ул. Бацадинская, 145а",510008688.0,,"42,30398","46,91213",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
45,Каякентский район,Село,Башлыкент,МКОУ БАШЛЫКЕНТСКАЯ СОШ ,"Республика Дагестан, Каякентский район, с. Башлыкент",515013610.0,,"42,259458","47,844283",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
46,Агульский район,Село,Бедюк,МКОУ БЕДЮКСКАЯ СОШ ,"Республика Дагестан, Агульский район, с. Бедюк",501001781.0,,"41,715948","47,526224",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
47,Цунтинский район,Село,Бежта,МКОУ Бежтинская СОШ Цунтинский р. ,"Республика Дагестан, Цунтинский район, с. Бежта, ул.Курбанова ,д.97",538001925.0,,"42,134121","46,12495",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
48,Дербентский район,Поселок,Белиджи,МКОУ БЕЛИДЖИНСКАЯ ГИМНАЗИЯ № 1  ,"Республика Дагестан, Дербентский район, п. Белиджи ул. А.Исрафилова, 28",512027277.0,,"41,52","48,22",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
49,Дербентский район,Поселок,Белиджи,МКОУ БЕЛИДЖИНСКАЯ ГИМНАЗИЯ № 1 ,"Республика Дагестан, Дербентский район, п. Белиджи ул. А.Исрафилова, 28",512027277.0,,"41,52","48,22",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
50,Дербентский район,Село,Берикей,МКОУ БЕРИКЕЙСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Берикей, ул. Р. Гамзатова, 4",512027245.0,,"42,20103","48,03056",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
51,Магарамкентский район,Село,Бильбиль-казмаляр,МКОУ БИЛБИЛЬСКАЯ СОШ ,"Республика Дагестан, Магарамкентский район, с. Бильбиль-казмаляр, ул. Школьная, 7",523000252.0,,"41,820342","48,32343",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
52,Дербентский район,Село,Бильгади,МКОУ БИЛЬГАДИНСКАЯ ООШ ,"Республика Дагестан, Дербентский район, с. Бильгади",512011598.0,,"42,086148","48,134996",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
53,Кизлярский район,Село,Большая Арешевка,МКОУ Большеарешевская СОШ Кизлярский р. ,"Республика Дагестан, Кизлярский район, с. Большая Арешевка, ул Корнеева б/н",517008616.0,,"44,108368","46,917621",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
54,Кизлярский район,Село,Большебредихинское,МКОУ Большебредихинская СОШ ,"Республика Дагестан, Кизлярский район, с. Большебредихинское, пер. Школьный, 4",517015797.0,,"43,899977","46,849831",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
55,Хасавюртовский район,Село,Борагангечув,МКОУ БОРАГАНГЕЧУВСКАЯ СОШ ,"Республика Дагестан, Хасавюртовский район, с. Борагангечув, ул. Первая, 42",534029479.0,,"43,183","46,265",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
56,Ботлихский район,Село,Ботлих,МКОУ БОТЛИХСКАЯ СОШ № 3 ,"Республика Дагестан, Ботлихский район с. Ботлих, ул. Адинча, д. 1",506005772.0,,"42,666944","46,210833",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
57,Ботлихский район,Село,Ботлих,МКОУ БОТЛИХСКАЯ СОШ №1 ,"Республика Дагестан, Ботлихский район с. Ботлих, ул. Центральная, 34",506005780.0,,"42,666944","46,210833",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
58,Ботлихский район,Село,Ботлих,МКОУ БОТЛИХСКАЯ СОШ №2 ,"Республика Дагестан, Ботлихский район с. Ботлих, ул. Имама Шамиля, д. 33",506006141.0,,"42,666944","46,210833",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
59,Акушинский район,Село,Бургимак,МКОУ БУРГИМАКМАХИНСКАЯ СОШ ,"Республика Дагестан, Акушинский район, с. Бургимак, ул. Бургимахинская, 2",502004880.0,,"42,174674","47,220321",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
60,Агульский район,Село,Буркихан,МКОУ БУРКИХАНСКАЯ СОШ ,"Республика Дагестан, Агульский район, с. Буркихан",501001809.0,,"41,805","47,538056",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
61,Казбековский район,Село,Буртунай,МКОУ Буртунайская СОШ ,"Республика Дагестан, Казбековский район, с. Буртунай, ул. Гаджиева Узайри , д. 2",,,"42,9902","46,6307",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
62,Агульский район,Село,Буршаг,МКОУ БУРШАГСКАЯ СОШ ,"Республика Дагестан, Агульский район, с. Буршаг",,,"41,895922","47,641161",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
63,Дахадаевский район,Село,Бускри,МКОУ БУСКРИНСКАЯ СОШ ,"Республика Дагестан, Дахадаевский район, с. Бускри",511003026.0,,"42,173118","47,667911",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
64,Магарамкентский район,Село,Бут-Казмаляр,МКОУ БУТ-КАЗМАЛЯРСКАЯ СОШ ,"Республика Дагестан, Магарамкентский район, с. Бут-Казмаляр, ул. Школьная, 44",523000630.0,,"41,700202","48,404832",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
65,Буйнакский район,Село,Ванаши,МКОУ Ванашинская ООШ ,"Республика Дагестан, Буйнакский район, с. Ванаши, ул. Ванашимахинская, д. 35",507004122.0,,"42,6334","47,2878",Общеобразовательная организация,Другое,1.0,ВОЛС,50.0
66,Кулинский район,Село,Вачи,МКОУ ВАЧИНСКАЯ СОШ ,"Республика Дагестан, Кулинский район, с. Вачи, ул. А.Султана, 33",,,"42,07265","47,214566",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
67,Дербентский район,Село,Великент,МКОУ ВЕЛИКЕНТСКАЯ ООШ ,"Республика Дагестан, Дербентский район, с. Великент, ул. Алиева, 49",512011735.0,,"42,112624","48,035526",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
68,Дербентский район,Село,Великент,МКОУ ВЕЛИКЕНТСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Великент , ул. Джавадова, 3",512011693.0,,"42,112813","48,041579",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
69,Гумбетовский район,Село,Верхнее Инхо,МКОУ ВЕРХНЕИНХОВСКАЯ ,"Республика Дагестан, Гумбетовский район, с. Верхнее  Инхо, ул. Магомедова Аслудина, 26",509006654.0,,"42,4223","46,3022",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
70,Буйнакский район,Село,В.-Казанище,МКОУ В-КАЗАНИЩЕНСКАЯ СОШ №1 ,"Республика Дагестан, Буйнакский район, с. В- Казанище, ул. З.Давудова, 38",507009674.0,,"42,72856","47,13194",Общеобразовательная организация,Медь,5.0,ВОЛС,50.0
71,Буйнакский район,Село,В.-Каранай,МКОУ В-КАРАНАЙСКАЯ СОШ ,"Республика Дагестан, Буйнакский район, с. В.-Каранай.",,,"42,825929","46,904863",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
72,Кизлярский район,Село,Вперед,МКОУ Впередовская СОШ ,"Республика Дагестан, Кизлярский район, с. Вперед, ул. Школьная, б/н",547006278.0,,"43,894333","46,71946",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
73,Дахадаевский район,Село,Бускри,МКОУ ГАДЖИ-КУТАНСКАЯ ООШ ,"Республика Дагестан, Дахадаевский район, с. Бускри",511004260.0,,"42,086235","47,557674",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
74,Новолакский район,Село,Гамиях,МКОУ ГАМИЯХСКАЯ СОШ №2 ,"Республика Дагестан, Новолакский район, с. Гамиях, ул. Четырнадцатая, 9",524007356.0,,"43,208069","46,486702",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
75,Новолакский район,Село,Гамиях,МКОУ ГАМИЯХСКАЯ СОШ ,"Республика Дагестан, Новолакский район, с. Гамиях, ул. Четырнадцатая, 9",524007356.0,,"43,208069","46,486702",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
76,Магарамкентский район,Село,Гапцах,МКОУ ГАПЦАХСКАЯ СОШ ,"Республика Дагестан, Магарамкентский район, с. Гапцах, ул. Школьная, д. 19а",523000365.0,,"41,673026","48,378827",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
77,Магарамкентский район,Село,Гарах,МКОУ ГАРАХСКАЯ ООШ ,"Республика Дагестан, Магарамкентский район, с. Гарах, ул. Самурского, 2",523004240.0,,"41,482002","48,04878",Общеобразовательная организация,Медь,1.0,ВОЛС,50.0
78,Ахтынский район,Село,Гдым,МКОУ ГДЫМСКАЯ ООШ ,"Республика Дагестан, Ахтынский район, с. Гдым",,,"41,309346","47,46602",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
79,Бабаюртовский район,Село,Геметюбе,МКОУ ГЕМЕТЮБИНСКАЯ СОШ ,"Республика Дагестан, Бабаюртовский район, с. Геметюбе, ул. Школьная, 3",505002850.0,,"43,574194","46,902453",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
80,Каякентский район,Село,Герга,МКОУ ГЕРГИНСКАЯ СОШ ,"Республика Дагестан, Каякентский район, с. Герга, ул. Ленина, 2",515013628.0,,"42,3536","47,9562",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
81,Бабаюртовский район,Село,Герменчик,МКОУ ГЕРМЕНЧИКСКАЯ СОШ ,"Республика Дагестан, Бабаюртовский район, с. Герменчик, ул. Исмаилова, 49",505002793.0,,"43,539876","46,726471",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
82,Чародинский район,Село,Гилиб,МКОУ Гилибская СОШ ,"Республика Дагестан, Чародинский район, с. Гилиб",539003026.0,,"42,116973","46,776263",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
83,Магарамкентский район,Село,Гильяр,МКОУ ГИЛЬЯРСКАЯ СОШ ,"Республика Дагестан, Магарамкентский район, с. Гильяр, ул. Нажмудина Самурского, 62",523000453.0,,"41,55962","48,25883",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
84,Городской округ город Хасавюрт,Город,Хасавюрт,МКОУ ГИМНАЗИЯ №3 ,"Республика Дагестан, г. Хасавюрт, ул. Махачкалинское ш. № 29.",560022141.0,,"43,2348","46,580886",Общеобразовательная организация,Медь,15.0,ВОЛС,100.0
85,Хасавюртовский район,Село,Нурадилово,МКОУ ГИМНАЗИЯ КУЛЬТУРЫ МИРА ,"Республика Дагестан, Хасавюртовский район, с. Нурадилово, ул. Адилсултанова, 15",534024760.0,,"43,175","46,2729",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
86,Ахтынский район,Село,Гогаз,МКОУ ГОГАЗСКАЯ СОШ ,"Республика Дагестан, Ахтынский район, с. Гогаз, ул.Центральная, 172",504006474.0,,"41,67766","48,20153",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
87,Агульский район,Село,Гоа,МКОУ ГОИНСКАЯ СОШ ,"Республика Дагестан, Агульский район, с. Гоа",,,"41,752751","47,703291",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
88,Шамильский район,Село,Голотль,МКОУ ГОЛОТЛИНСКАЯ СОШ  ,"Республика Дагестан, Шамильский район, с. Голотль, ул. Омарова, 3",528005800.0,,"42,491685","46,737635",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
89,Шамильский район,Село,Голотль,МКОУ Голотлинская СОШ ,"Республика Дагестан, Шамильский район, с. Голотль, ул. Омарова, 3",528005800.0,,"42,491685","46,737635",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
90,Хунзахский район,Село,Гоцатль,МКОУ Гоцатлинская СОШ ,"Республика Дагестан, Хунзахский район, с. Гоцатль, ул. Худанатил Мухаммада, д. 48",536007343.0,,"42,51307","46,883293",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
91,Чародинский район,Село,Гочоб,МКОУ Гочобская СОШ ,"Республика Дагестан, Чародинский район, с. Гочоб",539002576.0,,"42,238557","46,661738",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
92,Дахадаевский район,Село,Гуладты,МКОУ ГУЛАДТЫНСКАЯ СОШ ,"Республика Дагестан, Дахадаевский район, с. Гуладты",511002907.0,,"42,113145","47,452518",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
93,Дахадаевский район,Село,Гунакари,МКОУ ГУНАКАРИНСКАЯ ООШ ,"Республика Дагестан, Дахадаевский район, с. Гунакари",511003587.0,,"42,178926","47,690981",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
94,Карабудахкентский район,Село,Гурбуки,МКОУ ГУРБУКИНСКАЯ СОШ №2 ,"Республика Дагестан, Карабудахкентский район, с. Гурбуки, ул. Дагестанская, д.1",,,"42,610996","47,586663",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
95,Табасаранский район,Село,Гурхун,МКОУ ГУРХУНСКАЯ СОШ ,"Республика Дагестан, Табасаранский район, с. Гурхун, ул. Центральная, 40",530007636.0,,"42,1657","47,551286",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
96,Сулейман-Стальский район,Село,Даркушказмаляр,МКОУ ДАРКУШКАЗМАЛЯРСКАЯ СОШ ,"Республика Дагестан, Сулейман-стальский район, с. Даркушказмаляр, ул. А.Сайдумова, 11",529010401.0,,"41,077","48,755",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
97,Кумторкалинский район,Село,Дахадаевское,МКОУ ДАХАДАЕВСКАЯ ООШ ,"Республика Дагестан, Кумторкалинский район, с. Дахадаевское",552002550.0,,"43,10871","47,440444",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
98,Сергокалинский район,Село,Дегва,МКОУ ДЕГВИНСКАЯ СОШ ,"Республика Дагестан, Сергокалинский район, с. Дегва, ул. Дегвинская",527003085.0,,"42,4161","47,5424",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
99,Каякентский район,Село,Дейбук,МКОУ ДЕЙБУКСКАЯ ООШ ,"Республика Дагестан, Каякентский район, с. Дейбук",515014935.0,,"42,205885","47,517573",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
100,Дербентский район,Село,Деличобан,МКОУ ДЕЛИЧОБАНСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Деличобан",512027076.0,,"42,199831","48,094559",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
101,Каякентский район,Село,Джаванкент,МКОУ ДЖАВАНКЕНТСКАЯ СОШ ,"Республика Дагестан, Каякентский район, с. Джаванкент",515013593.0,,"42,254327","47,811161",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
102,Дербентский район,Село,Джемикент,МКОУ ДЖЕМИКЕНТСКАЯ НАЧАЛЬНАЯ ШКОЛА ,"Республика Дагестан, Дербентский район, с. Джемикент, ул. Курбанова С.Д., 3",,,"42,23218","48,03438",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
103,Дербентский район,Село,Джемикент,МКОУ ДЖЕМИКЕНТСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Джемикент, ул. Школьная, 17",512011679.0,,"42,24092","48,03955",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
104,Дахадаевский район,Село,Дзилебки,МКОУ ДЗИЛЕБКИНСКАЯ ООШ ,"Республика Дагестан, Дахадаевский район, с. Дзилебки",511003139.0,,"42,049074","47,555354",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
105,Дахадаевский район,Село,Дибгалик,МКОУ ДИБГАЛИКСКАЯ СОШ ,"Республика Дагестан, Дахадаевский район, с. Дибгалик, ул. Школьная 5",511003072.0,,"42,12422","47,653705",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
106,Дахадаевский район,Село,Дирбаг,МКОУ ДИРБАГСКАЯ ООШ ,"Республика Дагестан, Дахадаевский район, с. Дирбаг",511003121.0,,"41,914578","47,493154",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
107,Левашинский район,Село,Дитуншимахи,МКОУ ДИТУНШИМАХИНСКАЯ ООШ ,"Республика Дагестан, Левашинский район с. Дитуншимахи, ул. Махи, 21",521006900.0,,"42,380283","47,291663",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
