Наименование;ИНН;Адрес;
МКОУ СОШ № 5;0544020429;Российская Федерация,368006,Дагестан Респ,Хасавюрт г,УЛ ХАЧИЛАЕВА,53/А
МКОУ СОШ № 3 ИМЕНИ С.А.ДЖАНХУВАТОВА;0544020531;Российская Федерация,368006,Дагестан Респ,Хасавюрт г,УЛ ИМАМА ШАМИЛЯ,56
МКОУ СОШ № 15;0544020549;Российская Федерация,368006,Дагестан Респ,Хасавюрт г,УЛ БРИГАДНАЯ,ДОМ 15
МКОУ СОШ № 11;0544020524;Российская Федерация,368006,Дагестан Респ,Хасавюрт г,УЛ АВТОБУСНАЯ,ДОМ 1
МКОУ 'СОШ №10 ИМ. А.И. ИСМАИЛОВА ';0544020588;Российская Федерация,368006,Дагестан Респ,Хасавюрт г,УЛ ДАТУЕВА,70
МКОУ 'МЕХЕЛЬТИНСКАЯ СОШ';0509006358;Российская Федерация,368930,Дагестан Респ,Гумбетовский р-н,Мехельта с,УЛ ШКОЛЬНАЯ,ДОМ 2
МКОУ'КИЛЯТЛИНСКАЯ СОШ';0509105550;Российская Федерация,368936,Дагестан Респ,Гумбетовский р-н,Килятль с
МКОУ'ЗИЛОВСКАЯ СОШ';0506006110;Российская Федерация,368976,Дагестан Респ,Ботлихский р-н,Зило с,УЛ ШКОЛЬНАЯ,ДОМ 13
МКОУ 'ДИТУНШИМАХИНСКАЯ ООШ';0521006900;Российская Федерация,368320,Дагестан Респ,Левашинский р-н,Дитуншимахи с,УЛ МАХИ,ДОМ 21
МКОУ 'БОНДАРЕНОВСКАЯ ООШ';0517000092;Российская Федерация,368801,Дагестан Респ,Кизлярский р-н,Бондареновское с,ул ШКОЛЬНАЯ
МКОУ ЧАБАНМАХИНСКАЯ СОШ;0507004161;Российская Федерация,368211,Дагестан Респ,Буйнакский р-н,Чабанмахи с
МКОУ СИУХСКАЯ ООШ;0536006244;Российская Федерация,368264,Дагестан Респ,Хунзахский р-н,Сиух с,УЛ ДАЛГАТОВА,ДОМ 52
МКОУ ОРОТИНСКАЯ СОШ;0536006389;Российская Федерация,368265,Дагестан Респ,Хунзахский р-н,Орота с
МКОУ Н-КАРАНАЙСКАЯ ООШ;0507019993;Российская Федерация,368208,Дагестан Респ,Буйнакский р-н,Нижний Каранай с
МКОУ МАНАСАУЛЬСКАЯ СОШ;0507019873;Российская Федерация,368213,Дагестан Респ,Буйнакский р-н,Манасаул с,УЛИЦА ИМАМА ШАМИЛЯ,ДОМ 53
МКОУ Карамахинская СОШ;0507019985;Российская Федерация,368203,Дагестан Респ,Буйнакский р-н,Карамахи с,-,-,-
МКОУ ИШКАРТЫНСКАЯ СОШ;0507041903;Российская Федерация,368208,Дагестан Респ,Буйнакский р-н,Верхнее Ишкарты с
МКОУ 'ДУРАНГИНСКАЯ СОШ';0507019680;Российская Федерация,368209,Дагестан Респ,Буйнакский р-н,Дуранги с
МКОУ 'ПРОГИМНАЗИЯ №9 'РУЧЕЕК';0544001480;Российская Федерация,368006,Дагестан Респ,Хасавюрт г,УЛИЦА НАБЕРЕЖНАЯ,ДОМ 2
МКОУ 'КОЛИНСКАЯ НАЧАЛЬНАЯ ШКОЛА-ДЕТСКИЙ САД';0536006710;Российская Федерация,368267,Дагестан Респ,Хунзахский р-н,Коло с
МКОУ 'ГИМНАЗИЯ № 5';0546013900;Российская Федерация,368107,Дагестан Респ,Кизилюрт г,Новый Сулак пгт,УЛ ЗАВОДСКАЯ,1
МКОУ ГИМНАЗИЯ №3;0544020482;Российская Федерация,368006,Дагестан Респ,Хасавюрт г,Ш МАХАЧКАЛИНСКОЕ,ДОМ 29
