Муниципальное образование;Тип населённого пункта;Наименование населенного пункта;Адрес учреждения;Широта;Долгота;Полное наименование учреждения;Тип подключения (сущ.);Скорость подключения (сущ.), Мбит/с;Провайдер (сущ.);Тип подключения (план);Скорость подключения (план), Мбит/с
Городской округ город Дербент;Город;Дербент;Республика Дагестан, г. Дербент, ул. Кобякова, 88б;42,024023;48,184090;"МБОУ ""Прогимназия № 18""";Отсутствует;0;Отсутствует;ВОЛС;100
Городской округ город Дербент;Город;Дербент;Республика Дагестан, г. Дербент, ул. Сальмана, 43;42,025882;48,173078;"МБОУ ""Прогимназия №15""";Отсутствует;0;Отсутствует;ВОЛС;100
Городской округ город Каспийск;Город;Каспийск;Республика Дагестан, г. Каспийск, ул. Орджоникидзе,8;42,887763;47,633360;"МБОУ ""СОШ № 1""";Медь;10;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Махачкала;Село;Талги;Республика Дагестан, г. Махачкала, с. Талги, дом 50;42,870953;47,461548;"МБОУ ""СОШ № 24""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Каспийск;Город;Каспийск;Республика Дагестан, г. Каспийск, ул. Матросова, 3;42,870575;47,644658;"МБОУ ""СОШ № 4""";Медь;10;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Каспийск;Город;Кирпичный;Республика Дагестан, г. Каспийск, п. Кирпичный, ул. Учебная, 2/А;51,497187;40,280880;"МБОУ ""СОШ № 5""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Каспийск;Город;Каспийск;"Республика Дагестан, г. Каспийск ул. Буйнакского 100 ""а""";42,861353;47,651781;"МБОУ ""СОШ № 9 им. Героев России-пограничников""";Медь;10;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Махачкала;Город;Тарки;Республика Дагестан, г.Махачкала, пгт Тарки, ул.Муххамада-Мухтара, д.261;42,958500;47,491100;"МБОУ ""СОШ №19""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Буйнакск;Город;Буйнакск;Республика Дагестан, г. Буйнакск, ул. Аскерханова, 18;42,823080;47,117730;"МБОУ ""СОШ №2 города Буйнакска""";Медь;12;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Каспийск;Город;Каспийск;Республика Дагестан, г. Каспийск, ул Назарова, 3;42,884311;47,638013;"МБОУ ""СОШ №2""";Медь;10;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Махачкала;Город;Красноармейское;Республика Дагестан, г. Махачкала, с. Красноармейское, ул. Куйбышева 56;43,048536;47,244102;"МБОУ ""СОШ №25""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Махачкала;Город;Н.Кяхулай;Республика Дагестан, г. Махачкала п. Н. - Кяхулай,, ул. Производственная 9 проезд, д.11 ;42,926340;47,531313;"МБОУ ""СОШ №32""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Махачкала;Поселок;Загородний;Республика Дагестан, г. Махачкала, п. Загородный, ул. Школьная;43,007100;47,339300;"МБОУ ""СОШ №41""";Медь;15,000;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Махачкала;Город;Богатыревка;Республика Дагестан, г. Махачкала, с. Богатыревка, ул. Ленина, 33;43,656584;47,221203;"МБОУ ""СОШ №43""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Махачкала;Село;Шамхал-Термен;Республика Дагестан, г. Махачкала, с. Шамхал - Термен, ул. Победы, 6;43,035400;47,311100;"МБОУ ""СОШ №44""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Махачкала;Поселок городского типа;Шамхал;Республика Дагестан, г. Махачкала, пгт. Шамхал, ул. Ленина, 38;43,345976;47,201039;"МБОУ ""СОШ №45""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Махачкала;Поселок городского типа;Шамхал;Республика Дагестан, г. Махачкала, пгт. Шамхал, ул. Исаева, 1;43,330650;47,203106;"МБОУ ""СОШ №47""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Буйнакский район;Село;Н.-Казанище;Республика Дагестан, Буйнакский район, с. Нижнее Казанище, ул. Уллубия Буйнакского корп. 7;42,766240;47,164120;"МБОУ ""СОШ №5 с.Нижнее Казанище""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Дагестанские Огни;Город;Дагестанские Огни;"Республика Дагестан, г. Дагестанские Огни, ул. Революции, 9""б""";42,065322;48,113344;"МБОУ ""СОШ №5"" городского округа ""город Дагестанские Огни""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Махачкала;Поселок городского типа;Семендер;Республика Дагестан, г. Махачкала, пгт. Семендер, ул. Мусаева, 22;42,594437;47,235923;"МБОУ ""СОШ №58""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Махачкала;Город;Новый Хушет;Республика Дагестан, г. Махачкала, с. Новый Хушет, ул. Гагарина,1а;42,899800;47,554300;"МБОУ ""СОШ №6 им. Далгатова Д.М.""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Дагестанские Огни;Город;Дагестанские Огни;Республика Дагестан, г. Дагестанские Огни, ул. Горького, 55;42,062132;48,114630;"МБОУ ""СОШ №6"" городского округа ""город Дагестанские Огни""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Каспийск;Город;Каспийск;Республика Дагестан, г. Каспийск, ул. Ленина, 74;42,896985;47,627968;"МБОУ ""СОШ №6"" им. Омарова М.О.""";Медь;10;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Махачкала;Поселок городского типа;Новотарки;Республика Дагестан, г.Махачкала, пгт. Новотарки, ул. Морфлотная, 5;42,927700;47,515700;"МБОУ ""СОШ №60""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Дагестанские Огни;Город;Дагестанские Огни;Республика Дагестан, г. Дагестанские Огни, ул. Леваневского, 2а;42,072952;48,104580;"МБОУ ""СОШ №7"" городского округа ""город Дагестанские Огни""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Дагестанские Огни;Город;Дагестанские Огни;Республика Дагестан, г. Дагестанские Огни, ул. Козленко, 26;42,070965;48,120291;"МБОУ ""СОШ №8"" городского округа ""город Дагестанские Огни""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Ахвахский район;Село;Тадмагитль;Республика Дагестан, Ахвахский район, с. Тадмагитль, ул. Тад-Магитлинская, д. 134а;42,549562;46,347443;"МБОУ ""Тад-Магитлинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Новолакский район;Село;Тухчар;Республика Дагестан, Новолакский район, с. Тухчар, ул. Первая, 10;43,219312;46,410066;"МБОУ ""Тухчарская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Ахвахский район;Село;Цолода;Республика Дагестан, Ахвахский район, с. Цолода, ул. Цолодинская, д. 88б;42,637768;46,370655;"МБОУ ""Цолодинская СОШ""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;50
Магарамкентский район;Село;Картас-Казмаляр;Республика Дагестан, Магарамкентский район, с. Картас-Казмаляр;41,817985;48,396082;МБОУ «Картасказмалярская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Махачкала;Поселок городского типа;Ленинкент;Республика Дагестан, г.Махачкала пгт. Ленинкент, ул. 1МКР, 5линия, 2б;42,970349;47,353538;МБОУ «СОШ №2»;Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Карабудахкентский район;Село;Параул;Республика Дагестан, Карабудахкентский район, с. Параул, ул. Изиева, 34;42,741111;47,355692;"МБОУ Параульская СОШ №2 им. Насрутдинова И.Н.""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Дербент;Город;Дербент;Республика Дагестан, г. Дербент, пер. Красноармейский, 39;42,054501;48,300635;МБОУ Прогимназия 'Президент';Отсутствует;0;Отсутствует;ВОЛС;100
Городской округ город Махачкала;Город;Махачкала;Республика Дагестан, г. Махачкала, микрорайон Ак-Гёль;42,941808;47,553900;МБОУ СОШ №59;Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Хивский район;Село;Ашага-Ярак;Республика Дагестан, Хивский район, с. Ашага-Ярак;41,823414;47,951795;"МБОУ""АШАГА ЯРАКСКАЯ СОШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Кандик;Республика Дагестан, Хивский район, с. Кандик;41,798469;47,876442;"МБОУ""КАНДЫКСКАЯ СОШ им.М.МИТАРОВА""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Канциль;Республика Дагестан, Хивский район, с. Канциль;41,751912;48,017315;"МБОУ""КАНЦИЛЬСКАЯ СОШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Кашкент;Республика Дагестан, Хивский район, с. Кашкент;41,740667;48,044844;"МБОУ""Кашкентская средняя обшеобразовательная школа""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Куг;Республика Дагестан, Хивский район, с. Куг;41,770800;47,964243;"МБОУ""КУГСКАЯ СОШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Куштиль;Республика Дагестан, Хивский район, с. Куштиль;41,830846;47,885829;"МБОУ""КУШТИЛЬСКАЯ СОШ им.С.ШАХСИНОВА""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Ляхля;Республика Дагестан, Хивский район, с. Ляхля;41,882623;47,879227;"МБОУ""ЛЯХЛИНСКАЯ СОШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Межгюль;Республика Дагестан, Хивский район, с. Межгюль;41,805992;48,007123;"МБОУ""МЕЖГЮЛЬСКАЯ СОШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Н.-Фриг;Республика Дагестан, Хивский район, с. Н.- Фриг;41,852686;48,356357;"МБОУ""НОВО-ФРИГСКАЯ СОШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Урга;Республика Дагестан, Хивский район, с. Урга;41,869925;47,855307;"МБОУ""УРГИНСКАЯ СОШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Агульский район;Село;Фите;Республика Дагестан, Агульский район, с. Фите.;41,791425;47,740263;"МБОУ""Фитинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Хоредж;Республика Дагестан, Хивский район, с. Хоредж;41,748168;47,866935;"МБОУ""ХОРЕДЖСКАЯ СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Цинит;Республика Дагестан, Хивский район, с. Цинит;41,724092;48,009020;"МБОУ""ЦИНИТСКАЯ СОШ им.А.МАГОМЕДОВА""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Цнал;Республика Дагестан, Хивский район, с. Цнал;41,696253;47,998553;"МБОУ""ЦНАЛЬСКАЯ СОШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Чувек;Республика Дагестан, Хивский район, с. Чувек;41,807039;47,901790;"МБОУ""ЧУВЕКСКАЯ СОШ им.А.СЕФЕРБЕКОВА""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Цунтинский район;Село;Междуречье;Республика Дагестан, Цунтинский район, с. Междуречье;42,209922;45,843034;Междуреченская СОШ;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Цунтинский район;Село;Мекали;Республика Дагестан, Цунтинский район, с. Мекали;42,342161;45,924646;Мекалинская СОШ;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Ругельда-Хиндах;Республика Дагестан, Шамильский район, с. Ругельда-Хиндах;42,396893;46,516618;МКОУ  'Ругельдахиндахская НОШ';Отсутствует;0,000;Отсутствует;ВОЛС;50
Ботлихский район;Село;Алак;Республика Дагестан, Ботлихский район с. Алак, ул. Центральная, 71/1;42,636534;46,205833;"МКОУ  ""Алакский лицей""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Кизилюрт;Поселок городского типа;Новосулак;Республика Дагестан, г. Кизилюрт, пгт. Новосулак, ул. Заводская, 1;43,212500;46,819000;"МКОУ  ""Гимназия №5 им. А.А. Алиева""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Шамильский район;Село;Нижний Батлух;Республика Дагестан, Шамильский район, с. Нижний Батлух, ул Центральная, 124;42,488462;46,524909;МКОУ ' Батлухская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Шамильский район;Село;Генецуриб;Республика Дагестан, Шамильский район, с. Генецуриб;42,425555;46,706389;МКОУ ' Геницоробская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Хунзахский район;Село;Хиндах;Республика Дагестан, Хунзахский район, с. Хиндах, ул Школьная, 8;42,660921;46,572572;МКОУ ' Гоорхиндахская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Шамильский район;Село;Датуна;Республика Дагестан, Шамильский район, с. Датуна;42,475871;46,645255;МКОУ ' Датунатинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Карабудахкентский район;Село;Джанга;Республика Дагестан, Карабудахкентский район, с. Джанга;42,517000;47,765220;МКОУ ' Джангинская СОШ ';Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Заната;Республика Дагестан, Шамильский район, с. Заната, ул Центральная, 54;42,485125;46,552919;МКОУ ' Занатинская НОШ ';Отсутствует;0;Отсутствует;ВОЛС;50
Гергебильский район;Село;Гергебильский;Республика Дагестан, Гергебильский район, с. Ипута;42,479046;46,965777;МКОУ ' Ипутинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Шамильский район;Село;Накитль;Республика Дагестан, Шамильский район, с. Накитль;42,399935;46,604419;МКОУ ' Накитлинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Шамильский район;Село;Нитаб;Республика Дагестан, Шамильский район, с. Нитаб, ул Нитабская, 95;42,518588;46,631366;МКОУ ' Нитабская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Шамильский район;Село;Куаниб;Республика Дагестан, Шамильский район, с. Куаниб;42,509510;46,611020;МКОУ ' НОШ 'Радость ';Отсутствует;0;Отсутствует;ВОЛС;50
Шамильский район;Село;Сомода;Республика Дагестан, Шамильский район, с. Сомода, ул Магомеда Тайгибова, 16;42,305992;46,534780;МКОУ ' Сомодинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Шамильский район;Село;Тлезда;Республика Дагестан, Шамильский район, с. Тлезда, ул Назирбег Магомедова, 25;42,418611;46,715894;МКОУ ' Тлездинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Шамильский район;Хутор;Хамакал;Республика Дагестан, Шамильский район, х. Хамакал, ул. Хамакалинская, 5;42,428308;46,674754;МКОУ ' Хамакалинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Харада;Республика Дагестан, Тляратинский район, с. Харада, ул Харадинская, 4;42,222722;46,258676;МКОУ ' Харадинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Шамильский район;Село;Хонох;Республика Дагестан, Шамильский район, с. Хонох, ул Имама Шамиля, 8;42,315466;46,511795;МКОУ ' Хонохская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Шамильский район;Село;Хорода;Республика Дагестан, Шамильский район, с. Хорода;42,420046;46,677271;МКОУ ' Хородинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Шамильский район;Село;Цекоб;Республика Дагестан, Шамильский район, с. Цекоб, ул Имама Шамиля, 68;42,420638;46,447805;МКОУ ' Цекобская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Кайтагский район;Село;Кайтагский район;Республика Дагестан, Кайтагский район, с. Адага;42,009463;47,714293;МКОУ 'Адагинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Левашинский район;Село;Айникаб;Республика Дагестан, Левашинский район, с. Айникаб;42,369340;47,217783;МКОУ 'Айнакаб НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Тохота;Республика Дагестан, Тляратинский район, с. Тохота, ул Нурмагомеда Омарова, 109;42,017406;46,463927;МКОУ 'Албанская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Чародинский район;Село;Алчуниб;Республика Дагестан, Чародинский район, с. Алчуниб;42,052728;46,869711;МКОУ 'Алчунибская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Ахвахский район;Село;Арчо;Республика Дагестан, Ахвахский район, с. Арчо, ул. Арчинская, 76;42,597652;46,305589;МКОУ 'АРЧИНСКАЯ НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Хивский район;Село;Арчуг;Республика Дагестан, Хивский район, с. Арчуг;41,784211;47,859876;МКОУ 'Арчугская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Рутульский район;Село;Оттал;Республика Дагестан, Рутульский район, с. Оттал;41,667772;47,013103;МКОУ 'Атдальская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Хивский район;Село;Атрик;Республика Дагестан, Хивский район, с. Атрик;41,881532;47,779737;МКОУ 'Атрикская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Табасаранский район;Село;Афна;Республика Дагестан, Табасаранский район, с. Афна;41,902085;47,861385;МКОУ 'Афнинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Бежуда;Республика Дагестан, Тляратинский район, с. Бежуда, ул Имама Шамиля, 12;42,200234;46,479086;МКОУ 'Бежудинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Левашинский район;Село;Буртанимахи;Республика Дагестан, Левашинский район, с. Буртанимахи, ул Центральная, 8;42,370488;47,152227;МКОУ 'Буртанинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Сулейман-Стальский район;Село;Буткент;Республика Дагестан, Сулейман-Стальский район, с. Буткент;41,599864;48,179506;МКОУ 'БУТКЕНТСКАЯ НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Гумбетовский район;Село;Гумбетовский;Республика Дагестан, Гумбетовский район, с. Верхний Арадирих, ул Победы;42,671877;46,604936;МКОУ 'Верхнеарадерихская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Табасаранский район;Село;Вечрик;Республика Дагестан, Табасаранский район, с. Вечрик;41,915680;47,961439;МКОУ 'Вечрикская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Тохота;Республика Дагестан, Тляратинский район, с. Тохота, ул Нурмагомеда Омарова, 109;42,017406;46,463927;МКОУ 'ВТохотинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Чародинский район;Село;Гачада;Республика Дагестан, Чародинский район, с. Гачада;42,272419;46,764920;МКОУ 'Гачадинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Герель;Республика Дагестан, Тляратинский район, с. Герель, ул Абдулхамида Ибрагимова;41,944340;46,551816;МКОУ 'Герельская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Чародинский район;Село;Ириб;Республика Дагестан, Чародинский район, с. Ириб;42,166384;46,821034;МКОУ 'Гимитлинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Хорода;Республика Дагестан, Тляратинский район, с. Хорода, ул Лесная, 30;42,256331;46,421227;МКОУ 'Гозодинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Гергебильский район;Село;Гергебильский;Республика Дагестан, Гергебильский район, с. Гоцоб, ул Лесная, 23;42,589753;46,869519;МКОУ 'Гоцобская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Кайтагский район;Село;Дакниса;Республика Дагестан, Кайтагский район, с. Дакниса;42,088307;47,727763;МКОУ 'Дакнисинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Гергебильский район;Село;Гергебильский;республика Дагестан, Гергебильский район, с. Дарада;42,465795;46,936210;МКОУ 'Дарадинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Кайтагский район;Село;Джавгат;Республика Дагестан, Кайтагский район, с. Джавгат, ул Центральная, 35;42,049220;47,938320;МКОУ 'Джавгатская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Левашинский район;Село;Дитуншимахи;Республика Дагестан, Левашинский район с. Дитуншимахи, ул. Махи, 21;42,380283;47,291663;МКОУ 'Дитуншимахинская ООШ';Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Чародинский район;Село;Доронуб;Республика Дагестан, Чародинский район, с. Доронуб;42,124545;46,809645;МКОУ 'Доронубская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Кайтагский район;Село;Кайтагский район;Республика Дагестан, Кайтагский район, с. Дуреги;42,035967;47,765360;МКОУ 'Дурегинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Жажада;Республика Дагестан, Тляратинский район, с. Жажада, ул Дархаева Ибрагима, 2;42,196817;46,423027;МКОУ 'Жажадинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Хивский район;Село;Заза;Республика Дагестан, Хивский район, с. Заза;41,778011;48,045468;МКОУ 'Зазинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Ботлихский район;Село;Ботлихский;Республика Дагестан, Ботлихский район, с. Зибирхали;42,669918;46,072466;МКОУ 'Зибирхалинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Дахадаевский район;Село;Дахадаевский;Республика Дагестан, Дахадаевский район, с. Ицари;41,996868;47,583008;МКОУ 'Ицаринская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Сулейман-Стальский район;Село;Ичин;Республика Дагестан, Сулейман-стальский район, с. Ичин;41,682686;47,991389;МКОУ 'Ичинская ООШ';Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Гумбетовский район;Село;Гумбетовский;Республика Дагестан, Гумбетовский район, с. Ичичали, ул Лесная, 3;42,732571;46,405249;МКОУ 'Ичичалинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Кайтагский район;Село;Кайтагский район;Республика Дагестан, Кайтагский район, с. Карталай;42,088092;47,856342;МКОУ 'Карталайская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Кайтагский район;Село;Кайтагский район;Республика Дагестан, Кайтагский район, с. Кирки;41,970568;47,812993;МКОУ 'Киркинская НОШ ';Отсутствует;0;Отсутствует;ВОЛС;50
Чародинский район;Село;Кубатль;Республика Дагестан, Чародинский район, с. Кубатль;42,036685;46,859018;МКОУ 'Кубатлинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Хивский район;Село;Кувиг;Республика Дагестан, Хивский район, с. Кувиг;41,884865;47,886567;МКОУ 'Кувигская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Бочох;Республика Дагестан, Тляратинский район, с. Бочох, ул Бочохская, 2;42,219468;46,285372;МКОУ 'Куданская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Курахский район;Село;Кукваз;Республика Дагестан, Курахский район, с. Кукваз;41,599790;47,707213;МКОУ 'Куквазская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Кайтагский район;Село;Кайтагский район;Республика Дагестан, Кайтагский район, с. Кулегу;42,071443;47,882773;МКОУ 'Кулегинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Акушинский район;Село;Куркебимах;Республика Дагестан, Акушинский район, с. Куркебимах;42,213526;47,420382;МКОУ 'Куркебимахинская ООШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Кусур;Республика Дагестан, Рутульский район, с. Кусур;41,781810;46,948948;МКОУ 'Кусурская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Чародинский район;Село;Кутих;Республика Дагестан, Чародинский район, с. Кутих;42,126213;46,786684;МКОУ 'Кутихская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Магарамкентский район;Село;Мака-Казмаляр;Республика Дагестан, Магарамкентский район, с. Мака-Казмаляр, ул. Ярага Магадского, 31;41,475610;48,016650;МКОУ 'Макаказмалярская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Дахадаевский район;Село;Дахадаевский;Республика Дагестан, Дахадаевский район, с. Муркарах;42,062630;47,491570;МКОУ 'Муркарахская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Шамильский район;Село;Мусрух;Республика Дагестан, Шамильский район, с. Мусрух, ул Махмуда Гитинова, 22;42,329410;46,516618;МКОУ 'Мусрухская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Рутульский район;Село;Мухах;Республика Дагестан, Рутульский район, с. Мухах;41,700560;46,991158;МКОУ 'Мухахская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Рутульский район;Село;Мюхрек;Республика Дагестан, Рутульский район, с. Мюхрек;41,679722;47,293333;МКОУ 'Мюхрекская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Гунибский район;Село;Гунибский;Республика Дагестан, Гунибский район, с. Наказух;42,264504;46,914480;МКОУ 'Наказухская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Левашинский район;Село;Нижний Арши;Республика Дагестан, Левашинский район, с. Нижний Арши, ул Центральная, 1;42,389337;47,141468;МКОУ 'Нижне-Аршинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Левашинский район;Село;Нижнее Лабкомахи;Республика Дагестан, Левашинский район, с. Нижнее Лабкомахи;42,351190;47,419666;МКОУ 'Нижне-Лабкинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Никида;Республика Дагестан, Тляратинский район, с. Никлида, ул. Магомеда Магомедова, 16;42,200000;46,405556;МКОУ 'Никлидинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Нитилсух;Республика Дагестан, Тляратинский район, с. Нитилсух, ул Нитиисухская, 85;42,047501;46,429049;МКОУ 'Нитиицухская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Нурух;Республика Дагестан, Тляратинский район, с. Нурух;42,231944;46,264167;МКОУ 'Нурухская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Сулейман-Стальский район;Село;Пиперкент;Республика Дагестан, Сулейман-Стальский район, с. Пиперкент, ул Мира, 13;41,591556;48,146173;МКОУ 'Пиперкентская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Ахвахский район;Село;Рацитль;Республика Дагестан, Ахвахский район, с. Рацитль;42,638527;46,333072;МКОУ 'РАЦИТЛИНСКАЯ НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Чародинский район;Село;Ритляб;Республика Дагестан, Чародинский район, с. Ритляб;42,050925;46,719079;МКОУ 'Ритлябская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Салда;Республика Дагестан, Тляратинский район, с. Салда, ул Центральная, 1А;41,975079;46,510912;МКОУ 'Салдинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Акушинский район;Село;Акуша;Республика Дагестан, Акушинский район, с. Акуша, ул.А.Акушинского, д.9;42,172400;47,202544;"МКОУ 'Семгамахинская СОШ им.Магомедова М.М."" филиал ""Кертукмахинская НОШ""";Отсутствует;0;Отсутствует;ВОЛС;50
