Муниципальное образование;Тип населённого пункта;Наименование населенного пункта;Адрес учреждения;Широта;Долгота;Полное наименование учреждения;Тип подключения (сущ.);Скорость подключения (сущ.), Мбит/с;Провайдер (сущ.);Тип подключения (план);Скорость подключения (план), Мбит/с
Буйнакский район;Село;Н.-Казанище;Республика Дагестан, Буйнакский район, с. Нижнее Казанище,  улица Уллубия Буйнакского, 124.;42,764110;47,160300;" МКОУ ""Нижнеказанищенская СОШ№2 имени Наби Ханмурзаева""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;50
Кизилюртовский район;Село;Нижний Чирюрт;Республика Дагестан, Кизилюртовский район, с. Нижний Чирюрт, ул. Арацханова, 2;43,174572;46,858534;" МКОУ ""Нижнечирюртовская СОШ"" им. Абдуллаевой М.Г.";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Дербентский район;Село;Рубас;Республика Дагестан, Дербентский район, с. Рубас, ул.Центральная, 89;41,530000;48,190000;" МКОУ ""Рубасская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Тамазатюбе;Республика Дагестан, Бабаюртовский район, с. Тамазатюбе, ул. Школьная, 2;43,578954;47,152433;" МКОУ ""Тамазатюбинская СОШ им.А.Д.Байтемирова""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Дахадаевский район;Село;Уркарах;Республика Дагестан, Дахадаевский район, с. Уркарах, ул. Участников Войны, дом 79;42,157157;47,628618;" МКОУ ""УНШ-детский сад имени Рамазанова Р. С.""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Урхучимахи;Республика Дагестан, Акушинский район, с. Урхучимахи, Ул. А.Ахмедова, 23;42,182906;47,154069;" МКОУ ""Урхучимахинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Новолакский район;Село;Чапаево;Республика Дагестан, Новолакский район, с. Чапаево, ул. Школьная, 5;43,068469;46,448060;" МКОУ ""Чапаевская СОШ №2""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Буйнакский район;Село;Эрпели;Республика Дагестан, Буйнакский район, с. Эрпели, ул. И. Акаева 4;42,804420;46,972430;" МКОУ ""Эрпелинская СОШ им. Апашева М. Д.""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;50
Ахтынский район;Село;Ахты;Республика Дагестан, Ахтынский район, с. Ахты, ул. А. Аливердиева, 12;41,456760;47,741590; МКОУ «Ахтынская СОШ №1 им. Сулеймана Стальского»;Медь;15;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Ашагасталказмаляр;Республика Дагестан, Сулейман-стальский район, с. Ашагасталказмаляр, ул. Школьная 2;41,259000;48,463000; МКОУ «Ашагасталказмалярская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Цунтинский район;Село;Генух;Республика Дагестан, Цунтинский район, с. Генух, улица М.Гусенова, дом 56;42,103694;45,585809; МКОУ «Генухская СОШ имени Тагирова А.Р.»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Кандаураул;Республика Дагестан, Хасавюртовский район, с. Кандаураул, ул. Казиханова, 7;43,342823;46,566789; МКОУ «Кандаураульская СОШ им. О.К.Кандаурова»;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Дербентский район;Поселок;Белиджи;Республика Дагестан, Дербентский район, п. Белиджи, ул.Школьная 27 а;41,520000;48,230000; МКОУ «ООШ. им. Г. Лезгинцева» пос. Белиджи;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Цунтинский район;Село;Сагада;Республика Дагестан, Цунтинский район, с. Сагада, ул. Латипа Газиевича, 3а ;42,388738;45,918113; МКОУ «Сагадинская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Хамавюрт;Республика Дагестан, Хасавюртовский район, с. Хамавюрт, ул. им. Аджиева А.М., 34;43,164000;46,253800; МКОУ «Хамавюртовская СОШ им.Аджиева А.М.»;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Цунтинский район;Село;Шаури;Республика Дагестан, Цунтинский район, с. Шаури, ул. Гаджиева К.С., 74;42,270736;45,941083; МКОУ «Шауринская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Бабаюрт;Республика Дагестан, Бабаюртовский район, с. Бабаюрт, ул. Ирчи-Казака, 134;43,594361;46,763693;" МКОУ Прогимназия ""Орленок""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Цунтинский район;Село;Удок;Республика Дагестан, Цунтинский район, с. Удок;42,271525;45,796057;Асахская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Махачкала;Город;Махачкала;Республика Дагестан, г. Махачкала, ул. Гамидова, 52;42,952324;47,503685;"ГБОУ ""Лицей-интернат для одаренных детей""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Махачкала;Город;Махачкала;Республика Дагестан, г. Махачкала, ул. А. Алиева, пр. 4, 4;42,963300;47,490763;"ГБОУ РД ""Республиканский многопрофильный лицей-интернат для одаренных детей""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Цунтинский район;Село;Гениятли;Республика Дагестан, Цунтинский район, с. Гениятли;42,238056;46,036667;Гениятлинская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Бабаюрт;Республика Дагестан, Бабаюртовский район, с. Бабаюрт, ул. Шпигуна, 7;43,603861;46,780215;"ГКОУ ""Бабаюртовская СШИ №11""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Кизилюрт;Село; Бавтугай;Республика Дагестан, Городской округ город Кизилюрт, с. Бавтугай, ул. Интернатская, 1;43,172038;46,837711;"ГКОУ ""Бавтугайская специализированная школа-интернат им. М.Г.Гамзатова""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Буйнакск;Город;Буйнакск;Республика Дагестан, г. Буйнакск, ул. Дачная, 5;42,821442;47,116526;"ГКОУ ""Буйнакская санаторная ШИ №7""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Буйнакск;Город;Буйнакск;Республика Дагестан, г. Буйнакск, Комсомольское озеро, ул, Фрундзе, 3;42,822627;47,115299;"ГКОУ ""Буйнакская СШИ №3""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Буйнакский район;Село;Буглен;Республика Дагестан, Буйнакский район, с. Буглен;42,755597;47,196041;"ГКОУ ""Буйнакская школа-интернат со спортивным уклоном";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Кутан;Бутуш;Республика Дагестан, Хасавюртовский район, к. Бутуш ;43,492106;46,742864;"ГКОУ ""Бутушская средняя общеобразовательная школа""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Каспийск;Город;Каспийск;Республика Дагестан, г. Каспийск, ул. Орджоникидзе, 6;42,886035;47,633103;"ГКОУ ""Государственная гимназия- интернат музыкально-хореографического образования г.Каспийск""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Каспийск;Город;Каспийск;Республика Дагестан, г. Каспийск ул. Октябрьская, 9;42,880233;47,632462;"ГКОУ ""Государственная общеобразовательная школа-интернат №2""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Кумторкалинский район;Село;Аджидада;Республика Дагестан, Кумторкалинский район, с. Аджидада;43,259471;47,144334;"ГКОУ ""Дарада-Мурадинский агроэкологический лицей""";Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Дербент;Город;Дербент;Республика Дагестан, г. Дербент, ул. Х. Тагиева, 1а;42,079082;48,296646;"ГКОУ ""Дербентская школа-интернат № 2""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Карабудахкентский район;Село;Карабудахкент;Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Абдулаева, 12;42,712300;47,560500;"ГКОУ ""Карабудахкентская специальная (коррекционная) общеобразовательная школа-интернат""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Кизляр;Город;Кизляр;Республика Дагестан, г. Кизляр, ул. Циолковского, 1;43,838986;46,733152;"ГКОУ ""Кизлярская гимназия-интернат ""Культура мира""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Бабаюртовский район;Село;Новый Борч;Республика Дагестан, Бабаюртовский район, п/о Татаюрт, с. Новый Борч, ул. Школьный пер., 1;43,484892;47,048588;"ГКОУ ""Новоборчинская СОШ Рутульского района""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Дербент;Город;Дербент;Республика Дагестан, г. Дербент, ул. Советская, 8/14;42,065162;48,299658;"ГКОУ ""Общеобразовательная средняя школа-интернат №6""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Ботлихский район;Село;Ботлих;Республика Дагестан, Ботлихский район, с. Ботлих;42,667194;46,211050;"ГКОУ ""Общеобразовательная школа-интернат с.Ботлих""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Каспийск;Город;Каспийск;Республика Дагестан, г. Каспийск, Байрамова 10;42,886367;47,628997;"ГКОУ ""Специальный (коррекционный)детский дом VIII вида"" г.Каспийск";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Хасавюрт;Город;Хасавюрт;Республика Дагестан, г. Хасавюрт, ул. Школьный переулок, 2;43,250467;46,585129;"ГКОУ ""Спортивная школа-интернат""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Хасавюрт;Город;Хасавюрт;Республика Дагестан, г. Хасавюрт, пер. Школьный, 2;43,250467;46,585129;"ГКОУ ""Хасавюртовская школа-интернат №9"" (ТУО)";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Бабаюртовский район;Поселок;им. Чапаева;Республика Дагестан, Бабаюртовский район, п. им. Чапаева;43,713736;46,795581;ГКОУ Бюрукутанская  средняя общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Камышкутан;Республика Дагестан, Хасавюртовский район, с. Камышкутан;43,499817;46,621809;ГКОУ Гимназия;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;"колхоз  ""Амиштинский""";"Республика Дагестан, Бабаюртовский район, с. к/з ""Амиштинский""";43,560556;46,997222;ГКОУ Гондокоринская основная общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;колхоз им. М.Горького;Республика Дагестан, Хасавюртовский район, п/о Казмааул, с. к/з им М. Горького;43,429341;46,762700;ГКОУ Горьковская основная общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Ново-Цатаних;Республика Дагестан, Бабаюртовский район, с. Ново-Цатаних;43,677462;47,053441;ГКОУ Дахадаевская  средняя общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;"колхоз  ""Рикванинский""";"Республика Дагестан, Бабаюртовский район, с. Колхоз ""Рикванинский""";43,709021;46,866444;ГКОУ Джугутская основная общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Кизляр;Город;Кизляр;Республика Дагестан, г. Кизляр, главпочтамт а/я - 15;43,848408;46,723370;ГКОУ Камилухская основная общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Бабаюртовский район;Село;Арусси;Республика Дагестан, Бабаюртовский район, с. Арусси;43,578954;47,152433;ГКОУ Карашинская средняя общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;п.о Тушиловка;Республика Дагестан, Кизлярский район, с. п/о Тушиловка;44,309418;46,881245;ГКОУ Кикуни-кутанская основная общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Львовск № 3;Республика Дагестан, Бабаюртовский район, с. Львовск № 3;43,388333;47,189444;ГКОУ Кубинская средняя общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Хамзаюрт;Республика Дагестан, Бабаюртовский район, с. Хамзаюрт;43,451171;46,986327;ГКОУ Лицей;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;п.о Львовск;Республика Дагестан, Бабаюртовский район, с. п\о Львовск №1;43,388219;47,148473;ГКОУ Львовская начальная общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;колхоз  им. Тельмана;Республика Дагестан, Бабаюртовский район, с. колхоз им. Тельмана;43,661897;46,742597;ГКОУ Новогагарская основная общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;"колхоз  ""Знатные люди""";"Республика Дагестан, Бабаюртовский район, с. к/з ""Знатные люди""";43,560572;46,997286;ГКОУ Новотанусинская средняя общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Новохелетури;Республика Дагестан, Хасавюртовский район, п/о Сулевкент, с. Новохелетури;43,470000;46,754722;ГКОУ Новохелетуринская средняя общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизилюртовский район;Поселок;им. Чапаева;Республика Дагестан, Кизилюртовский район, п. им. Чапаева;43,221484;46,936309;ГКОУ Новохушдатинская средняя общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Новая-Цолода;Республика Дагестан, Хасавюртовский район, п/о Хамавюрт, с. Новая-Цолода;43,270374;46,427602;ГКОУ Новоцолодинская средняя общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кумторкалинский район;Село;Кумтоп;"Республика Дагестан, Кумторкалинский район, с. Кумтоп, агрофермы ""Шамгода"", Гунибского района";42,246903;46,999907;ГКОУ Новошангодинская средняя общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Поселок;"""Орджоникидзе""";"Республика Дагестан, Бабаюртовский район, п. ""Орджоникидзе""";43,638350;46,577072;ГКОУ основная общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Поселок;Алибекотар;Республика Дагестан, Бабаюртовский район, п. Алибекотар;43,640684;46,860904;ГКОУ основная общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Поселок;им. Дахадаева;Республика Дагестан, Бабаюртовский район, п. им. Дахадаева;43,646934;46,579530;ГКОУ основная общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Кособский;Республика Дагестан, Бабаюртовский район, с. Кособский;43,715557;46,665107;ГКОУ основная общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Нарыш;Республика Дагестан, Бабаюртовский район, п/о Герменчик, с. Нарыш;43,539956;46,726420;ГКОУ основная общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Учтюбе;Республика Дагестан, Бабаюртовский район, п/о Татаюрт, с. Учтюбе, Казбековского района;43,560572;46,997286;ГКОУ основная общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Карабудахкентский район;Село;Уйташ;Республика Дагестан, Карабудахкентский район, с. Уйташ;42,833377;47,584866;ГКОУ основная общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Кизилюртовский район;Село;Акаро;Республика Дагестан, Кизилюртовский район, с. Акаро;43,351360;46,977271;ГКОУ основная общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Новый Мегеб;Республика Дагестан, Кизлярский район, п/о Крайновка, с. Новый Мегеб, Гунибского района;42,252091;47,044883;ГКОУ основная общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Буденовка;Республика Дагестан, Хасавюртовский район, п/о Чагаротар, с. Буденовка;43,470093;46,536532;ГКОУ основная общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Поселок;им. Свердлова;Республика Дагестан, Бабаюртовский район, п. им. Свердлова;43,508107;47,094057;ГКОУ Прикутанская средняя общеобразовательная школа №3;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;п.о Ибрагимотар;Республика Дагестан, Бабаюртовский район, с. п/о Ибрагимотар, с. Ибрагимотар;43,578613;46,484965;"ГКОУ РД ""Ибрагимотарская СОШ Тляратинского района""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Ибрагимотар;Республика Дагестан, Бабаюртовский район, с. Ибрагимотар, ул. Богнодинская, 26;43,564520;46,470816;"ГКОУ РД ""Кировская СОШ Тляратинского района""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Гергебильский район;Село;Курми;Республика Дагестан, Гергебильский район, с. Курми, ул. Имама Шамиля, 12;42,275169;47,021962;"ГКОУ РД ""Курминская средняя школа - интернат""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Буйнакский район;Село;Халимбекаул;Республика Дагестан, Буйнакский район, с. Халимбекаул, ул.Халила Далгатова, д.17;42,852070;47,153650;"ГКОУ РД ""Общеобразовательная  спортивная школа-интернат ""Пять сторон света"" Гусейна и Ольги Магомаевых";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Магарамкентский район;Село;Магарамкент;Республика Дагестан, Магарамкентский район, с. Магарамкент, ул.Комсомольская 1;41,615351;48,350650;"ГКОУ РД ""Республиканская специальная (коррекционная) школа-интернат VIII вида""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;"""40 лет Октября""";"Республика Дагестан, Бабаюртовский район, с. ""40 лет Октября"", п/я Люксембург";43,675000;46,698056;ГКОУ Ретлобская  основная общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
