,Наименование,Адрес,Широта,Долгота,Unnamed: 4
44,"ГКОУ РД ""БАБАЮРТОВСКАЯ СШИ №11""","368060, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БАБАЮРТОВСКИЙ, СЕЛО БАБАЮРТ, УЛИЦА ШПИГУНА, ДОМ 7",46.779256,43.604184,
45,"ГКОУ РД ""БСШИ ИМ. М. Г. ГАМЗАТОВА""","368101, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, БАВТУГАЙ ПГТ, ИНТЕРНАТСКАЯ УЛ",46.840135,43.171442,
46,"ГКОУ РД ""БСШИ №3""","368222, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД БУЙНАКСК, УЛИЦА ЛЕСНАЯ",47.10071,42.79989,
47,"ГКОУ РД ""БСШИ №7""","368222, ДАГЕСТАН РЕСП, БУЙНАКСК Г, В.МАРИЕНКО УЛ, 5",47.117948,42.808072,
48,"ГКОУ РД ""ГГИМХО""","368300, ДАГЕСТАН РЕСП, КАСПИЙСК Г, ОРДЖОНИКИДЗЕ УЛ, 6",47.632467,42.886408,
49,"ГКОУ РД ""ГО ШИ №2""","368300, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД КАСПИЙСК, УЛИЦА ОКТЯБРЬСКАЯ, 9",47.632584,42.880231,
50,"ГКОУ РД ""ГОРЬКОВСКАЯ ООШ УНЦУКУЛЬСКОГО РАЙОНА""","368015, ДАГЕСТАН РЕСП, ХАСАВЮРТОВСКИЙ Р-Н, КАЗМААУЛ С, УЛ",46.7627,43.429341,
51,"ГКОУ РД ""ДЖУРМУТСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""","368425, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ГЕРЕЛЬ",46.551884,41.944384,
52,"ГКОУ РД ""КАЗИЮРТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА АХВАХСКОГО РАЙОНА""","368990, ДАГЕСТАН РЕСП, АХВАХСКИЙ Р-Н, КАРАТА С, БОКОХИНСКАЯ УЛ, ДОМ 35",46.335875,42.595806,
53,"ГКОУ РД ""КАЛЬЯЛСКАЯ СОШ РУТУЛЬСКОГО РАЙОНА""","368700, ДАГЕСТАН РЕСП, РУТУЛЬСКИЙ Р-Н, КАЛЬЯЛ С, ДОМ ВЕРХНЯЯ 1",47.003745,41.684417,
54,"ГКОУ РД ""КАРАТЮБИНСКАЯ ООШ ТЛЯРАТИНСКОГО РАЙОНА""","368422, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, ХИНДАХ С, ИМАМА ШАМИЛЯ УЛ, ДОМ 60",46.39175,42.297057,
55,"ГКОУ РД ""КАРАУЗЕКСКАЯ СОШ""","368410, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ЦУНТИНСКИЙ, СЕЛО КАРАОЗЕК",46.663284,43.687435,
56,"ГКОУ РД ""Качалайская СОШ Цунтинского района""","368066, ДАГЕСТАН РЕСП, ЦУНТИНСКИЙ Р-Н, КАЧАЛАЙ С, д",46.707984,43.704877,
57,"ГКОУ РД""КИКУНИКУТАНСКАЯ ООШ ГЕРГЕБИЛЬСКОГО РАЙОНА""","368241, ДАГЕСТАН РЕСП, ГЕРГЕБИЛЬСКИЙ Р-Н, КИКУНИ С, ЦЕНТРАЛЬНАЯ УЛ, ДОМ 7",47.035591,42.513883,
58,"ГКОУ РД ""КИРОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""","368425, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, ИБРАГИМОТАР НП, ГИНДИБСКАЯ УЛ, ДОМ 26",46.470191,43.564142,
59,"ГКОУ РД ""КСКОШИ""","368530, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН КАРАБУДАХКЕНТСКИЙ, СЕЛО КАРАБУДАХКЕНТ, УЛИЦА ВАЛЕНТИНЫ АБДУЛЛАЕВОЙ, 12",47.535674,42.716939,
60,"ГКОУ РД ""КУБИНСКАЯ СОШ ЛАКСКОГО РАЙОНА""","368362, ДАГЕСТАН РЕСП, ЛАКСКИЙ Р-Н, ТУРЗАН С, д",47.082321,42.14427,
61,"ГКОУ РД ""КУРМИНСКАЯ СШИ""","368253, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ГЕРГЕБИЛЬСКИЙ, СЕЛО КУРМИ, УЛИЦА ИМАМА ШАМИЛЯ, ДОМ 12",47.039947,42.46638,
62,"ГКОУ РД ""МАЗАДИНСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""","368422, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО МАЗАДА",46.390016,42.197917,
63,"ГКОУ РД ""НОВОБОРЧИНСКАЯ СОШ""","368700, ДАГЕСТАН РЕСП, РУТУЛЬСКИЙ Р-Н, НОВЫЙ БОРЧ С, ДОМ ПЕРЕУЛОК ШКОЛЬНЫЙ 1",47.048329,43.485004,
64,"ГКОУ РД ""НОВОГАГАРСКАЯ ООШ ТЛЯРАТИНСКОГО РАЙОНА""","368424, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ГАГАР, УЛИЦА ГАГАРСКАЯ, ДОМ 1",46.592479,41.999326,
65,"ГКОУ РД ""НОВОМЕГЕБСКАЯ ООШ ГУНИБСКОГО РАЙОНА""","368352, ДАГЕСТАН РЕСП, ГУНИБСКИЙ Р-Н, МЕГЕБ С, 0",47.045194,42.252999,
66,"ГКОУ РД ""НОВОМУСЛАХСКАЯ СОШ РУТУЛЬСКОГО РАЙОНА""","368700, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН РУТУЛЬСКИЙ, СЕЛО МУСЛАХ, УЛИЦА ЯХЬИ ФЕРЗАЛИЕВА, ДОМ 1",47.111903,41.658459,
67,"ГКОУ РД ""НОВОТАНУСИНСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА""","368025, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ХАСАВЮРТОВСКИЙ, СЕЛО ПЯТИЛЕТКА",46.966681,43.372546,
68,"ГКОУ РД ""НОВОТИНДИНСКАЯ СОШ ЦУМАДИНСКОГО РАЙОНА""","368067, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ЦУМАДИНСКИЙ, СЕЛО ШАВА",47.033273,43.723701,
69,"ГКОУ РД ""НОВОУРАДИНСКАЯ СОШ ШАМИЛЬСКОГО РАЙОНА""","368436, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ШАМИЛЬСКИЙ, СЕЛО УРАДА, УЛИЦА ИМ. ТАНКАЕВА, ДОМ 22",46.560058,42.38468,
70,"ГКОУ РД ""НОВОХЕЛЕТУРИНСКАЯ СОШ""","368989, ДАГЕСТАН РЕСП, БОТЛИХСКИЙ Р-Н, ХЕЛЕТУРИ С, д",46.225373,42.612662,
71,"ГКОУ РД ""НОВОЦАТАНИХСКАЯ СОШ УНЦУКУЛЬСКОГО РАЙОНА""","368946, ДАГЕСТАН РЕСП, УНЦУКУЛЬСКИЙ , С ЦАТАНИХ, Д",46.723902,42.66761,
72,"ГКОУ РД ""НОВОЦИЛИТЛИНСКАЯ СОШ ГУМБЕТОВСКОГО РАЙОНА ""","368939, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, ЦИЛИТЛЬ С, ЦЕНТРАЛЬНАЯ УЛ, ДОМ 3",46.415771,42.809759,
73,"ГКОУ РД ""ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА-ИНТЕРНАТ С.ЧЕРНЯЕВКА""","368812, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН КИЗЛЯРСКИЙ, СЕЛО ЧЕРНЯЕВКА",47.030416,43.942988,
74,"ГКОУ РД ""ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА-ИНТЕРНАТ С. БОТЛИХ""","368971, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БОТЛИХСКИЙ, СЕЛО БОТЛИХ 1 (МИКРОРАЙОН), УЛИЦА ИМАМА ГАЗИМАГОМЕДА, ДОМ 89",46.264989,42.761464,
75,"ГКОУ РД ""ОБЩЕОБРАЗОВАТЕЛЬНАЯ СРЕДНЯЯ ШКОЛА-ИНТЕРНАТ №6""","368608, ДАГЕСТАН РЕСП, ДЕРБЕНТ Г, ГЕЙДАРА АЛИЕВА УЛ, 8/14",48.289818,42.062596,
76,"ГКОУ РД ""ООШ БОТЛИХСКОГО РАЙОНА""","368984, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БОТЛИХСКИЙ, СЕЛО ГАГАТЛИ, 0",46.291489,42.80028,
77,"ГКОУ РД ""ОРДЖОНИКИДЗЕВСКАЯ ООШ ТЛЯРАТИНСКОГО РАЙОНА""","368420, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, ГВЕДЫШ С, Т. РАМАЗАНОВА УЛ, ДОМ 75",46.411953,42.137257,
78,"""ГКОУ РД ""ПЯТЬ СТОРОН СВЕТА"" ГУСЕЙНА И ОЛЬГИ МАГОМАЕВЫХ""","368215, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БУЙНАКСКИЙ, СЕЛО ХАЛИМБЕКАУЛ, УЛИЦА ХАЛИЛА ДАЛГАТОВА, ДОМ 17",47.150243,42.84828,
79,"ГКОУ РД ""РЕСПУБЛИКАНСКАЯ СПЕЦИАЛЬНАЯ (КОРРЕКЦИОННАЯ) ШКОЛА-ИНТЕРНАТ VIII ВИДА""","368780, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН МАГАРАМКЕНТСКИЙ, СЕЛО МАГАРАМКЕНТ, УЛИЦА КОМСОМОЛЬСКАЯ",48.343816,41.617331,
80,"ГКОУ РД ""Ретлобская СОШ Цунтинского района""","368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, МАЛАГУСЕЙНОВА УЛ, ДОМ 72, КВАРТИРА КАБИНЕТ №4",46.865665,43.20003,
81,"ГКОУ РД ""САМИЛАХСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА""","368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, Г.ЦАДАСА УЛ, ДОМ 14",46.868522,43.198381,
82,"ГКОУ РД ""САНГАРСКАЯ СОШ ЛАКСКОГО РАЙОНА""","368367, ДАГЕСТАН РЕСП, ЛАКСКИЙ Р-Н, КАМАХАЛ С, ул",46.999829,42.227394,
83,"ГКОУ РД ""САФАРАЛИНСКАЯ СОШ ГУНИБСКОГО РАЙОНА""","368350, ДАГЕСТАН РЕСП, ГУНИБСКИЙ Р-Н, ЧОХ С, д",47.031728,42.320914,
84,"ГКОУ РД ""СВЕРДЛОВСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""","368420, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, КУТЛАБ С, ШАМИЛЯ МАГОМЕДОВА УЛ, ДОМ 185",46.32982,42.096445,
85,"ГКОУ РД ""СОШ АХВАХСКОГО РАЙОНА""","368998, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН АХВАХСКИЙ, СЕЛО МЕСТЕРУХ",46.396161,42.57631,
86,"ГКОУ РД ""СОШ БОТЛИХСКОГО РАЙОНА""","368974, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БОТЛИХСКИЙ, СЕЛО АЛАК",46.20508,42.638275,
87,"ГКОУ РД ""СПОРТШКОЛА-ИНТЕРНАТ""","368000, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД ХАСАВЮРТ, Улица ВОЛЧАНОВСКИЙ САД, 1",46.573246,43.233005,
88,"ГКОУ РД ""ТЕЛЬМАНСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""","368424, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ГАГАР, УЛИЦА ГАГАРСКАЯ, ДОМ 1",46.592479,41.999326,
89,"ГКОУ РД ""ТЕРЕЧНАЯ ООШ ТЛЯРАТИНСКОГО РАЙОНА""","368424, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ЦИМГУДА, УЛИЦА ЦИМГУДИНСКАЯ, ДОМ 1",46.566598,42.012666,
90,"ГКОУ РД ""УЛЛУБИЕВСКАЯ СОШ ГУНИБСКОГО РАЙОНА""","368350, ДАГЕСТАН РЕСП, ГУНИБСКИЙ Р-Н, ЧОХ С, 0",47.031728,42.320914,
91,"ГКОУ РД ""УРГУЛАЙСКАЯ ООШ ЦУМАДИНСКОГО РАЙОНА""","368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, МАЛАГУСЕЙНОВА УЛ, ДОМ 72",46.882509,43.193898,
92,"ГКОУ РД ""ЦАДАХСКАЯ СОШ ЧАРОДИНСКОГО РАЙОНА""","368070, ДАГЕСТАН РЕСП, ЧАРОДИНСКИЙ Р-Н, ЦАДАХ С, д",46.777136,42.129327,
93,"ГКОУ РД ""РЦДОДИ""","367015, ДАГЕСТАН РЕСП, МАХАЧКАЛА Г, АСКЕРХАНОВА УЛ, 3",47.490408,42.967506,
94,"ГКОУ РД ""ЦУМИЛУХСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""","368424, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ЦУМИЛУХ, УЛИЦА ЦУМИЛЮХСКАЯ, ДОМ 285",46.412061,42.059691,
95,"ГКОУ РД ""ШАВИНСКАЯ СОШ ЦУМАДИНСКОГО РАЙОНА""","368067, ДАГЕСТАН РЕСП, ЦУМАДИНСКИЙ Р-Н, ШАВА С, д",47.033273,43.723701,
96,"ГКОУ РД ""ЩЕДРИНСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""","368427, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ШИДИБ, УЛИЦА ШИДИБСКАЯ, ДОМ 10",46.301092,42.214306,
97,"ГКОУ РД ""УЧТЮБИНСКАЯ ООШ КАЗБЕКОВСКОГО РАЙОНА""","368146, ДАГЕСТАН РЕСП, КАЗБЕКОВСКИЙ , С БУРТУНАЙ, Д",46.630217,42.989919,
98,"ГКОУ РД ""СОГ АХВАХСКОГО РАЙОНА""","368045, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ХАСАВЮРТОВСКИЙ, СЕЛО ТУКИТА",46.618629,43.491629,
99,"ГКОУ РД ""СОГРАТЛИНСКАЯ СОШ ГУНИБСКОГО РАЙОНА""","368354, ДАГЕСТАН РЕСП, ГУНИБСКИЙ, С СОГРАТЛЬ, Д",46.991915,42.280969,
100,"ГКОУ РД ""ТУРШУНАЙСКАЯ ООШ КАЗБЕКОВСКОГО РАЙОНА""","368085, ДАГЕСТАН РЕСП, КАЗБЕКОВСКИЙ Р-Н, АРТЛУХ С, Д",46.668782,42.862047,
101,"ГКОУ РД ""ХАМЗАЮРТОВСКИЙ ЛИЦЕЙ КАЗБЕКОВСКОГО РАЙОНА""","368146, ДАГЕСТАН РЕСП, КАЗБЕКОВСКИЙ Р-Н, БУРТУНАЙ С, ул",46.630217,42.989919,
102,"ГКОУ РД ""ШАНГОДИНСКО-ШИТЛИБСКАЯ СОШ ГУНИБСКОГО РАЙОНА""","368355, ДАГЕСТАН РЕСП, ГУНИБСКИЙ Р-Н, ШАНГОДА С, Д",46.999937,42.246953,
