Наименование;Адрес;Широта;Долгота;
"ГКОУ РД ""БУДЕНОВСКАЯ ООШ АХВАХСКОГО РАЙОНА""";368000, ДАГЕСТАН РЕСП, ХАСАВЮРТОВСКИЙ Р-Н, БУДЕНОВКА С, д
"ГКОУ РД ""ДАРАДА-МУРАДИНСКИЙ ЛИЦЕЙ ГЕРГЕБИЛЬСКОГО РАЙОНА""";368083, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН КУМТОРКАЛИНСКИЙ, СЕЛО АДЖИДАДА
"ГКОУ РД ""ДЖУГУТСКАЯ ООШ БОТЛИХСКОГО РАЙОНА""";368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, МАЛАГУСЕЙНОВА УЛ, ДОМ 72
"ГКОУ РД ""ИНДИРАНСКАЯ СОШ АХВАХСКОГО РАЙОНА""";368995, ДАГЕСТАН РЕСП, АХВАХСКИЙ Р-Н, АНЧИХ С, АНЧИХСКАЯ УЛ, ДОМ 2
"ГКОУ РД ""КАМИЛУХСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""";368425, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, КАМИЛУХ С, ДАЛГАТА ОМАРОВА УЛ, ДОМ 27
"ГКОУ РД ""КРАСНОСЕЛЬСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА""";368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, Г.ЦАДАСА УЛ, 4, А
"ГКОУ РД ""НАНИБИКАНСКАЯ СОШ ГУМБЕТОВСКОГО РАЙОНА""";368921, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, НАНИБИКА С, д
"ГКОУ РД ""НАРЫШСКАЯ ООШ ГУМБЕТОВСКОГО РАЙОНА""";368930, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, НАРЫШ С, ул
"ГКОУ РД ""НОВОБУХТЫНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГУНИБСКОГО РАЙОНА""";368355, ДАГЕСТАН РЕСП, ГУНИБСКИЙ Р-Н, БУХТЫ С, 0
"ГКОУ РД ""НОВОДАНУХСКАЯ СОШ ГУМБЕТОВСКОГО РАЙОНА""";368930, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, ДАНУХ С, д
