Наименование;Адрес;ИНН;Контакты
ГКОУ Нагуратлинская СОШ Гуниб ;;;
ГКОУ Первомайская СОШ Гумбет ;;;
ГКОУ Акаринская ООШ Хунзах ;;;
ГКОУ Арадинская СОШ Хунзах ;;;
ГКОУ Буденовская СОШ Ахвах ;;;
ГКОУ Дарада-мурадинский лицей Герг. р ;;;
ГКОУ Джугутская ООШ ;;;
ГКОУ Джугутская основная ООШ ;;;
ГКОУ Индиранская СОШ Ахвах ;;;
ГКОУ Камилухская СОШ Тлярата ;;;
ГКОУ Красносельская СОШ Хунзах ;;;
ГКОУ Нанибиканская СОШ Гумбет ;;;
ГКОУ Нарышская ООШ Гумбет ;;;
ГКОУ Новобухтынская СОШ Гуниб-ого ;;;
ГКОУ Новоданухская СОШ Гумбет-го ;;;
ГКОУ Новохуштадинская СОШ ;;;
ГКОУ Новоцолодинская СОШ ;;;
ГКОУ РД «КГИ Культура мира ;;;
ГКОУ РД «КСОШИ ;;;
ГКОУ РД Айтханская СОШ Ботлих ;;;
ГКОУ РД Аркидинская СОШ Хунзах ;;;
ГКОУ РД Бабаюртовская СШИ №11 ;;;
ГКОУ РД Бавтугайская спец. ШИ ;;;
ГКОУ РД БСШИ №3 ;;;
ГКОУ РД БСШИ №7 ;;;
ГКОУ РД ГГИМХО ;;;
ГКОУ РД ГО ШИ №2 ;;;
ГКОУ РД Горьковская ООШ Унцукуль ;;;
ГКОУ РД Джурмутская СОШ Тлярата ;;;
ГКОУ РД Казиюртовская СОШ ;;;
ГКОУ РД Кальялская СОШ Рутул ;;;
ГКОУ РД Каратюбинская ООШ Тлярата ;;;
ГКОУ РД Караузекская СОШ ;;;
ГКОУ РД Качалайская СОШ Цунт. р. ;;;
ГКОУ РД Качалайская СОШ Цунт. р. ФМС ФРДО ;;;
ГКОУ РД КГИ «Культура мира ;;;
ГКОУ РД Кикуникутанская ООШ Герг. р-н ;;;
ГКОУ РД Кикунинитанская ООШ Герг. ;;;
ГКОУ РД Кировская СОШ Тлярата ;;;
ГКОУ РД КСКОШИ Карабудахкент ;;;
ГКОУ РД КСОШИ ;;;
ГКОУ РД Кубинская СОШ Лак-го р-она ;;;
ГКОУ РД КУРМИНСКАЯ СШИ ;;;
ГКОУ РД Мазадинская СОШ Тлярата ;;;
ГКОУ РД Новоборчинская СОШ Рутул ;;;
ГКОУ РД Новогагарская ООШ Тлярата ;;;
ГКОУ РД Новоданухская СОШ Гумбет ;;;
ГКОУ РД Новомегебская ООШ ;;;
ГКОУ РД Новомегебская ООШ Гуниб. р-н ;;;
ГКОУ РД Новомуслахская СОШ Рутул ;;;
ГКОУ РД Новомуслахская СОШ Рутул;;;
ГКОУ РД Новотанусинская СОШ ;;;
ГКОУ РД Новотиндинская СОШ ;;;
ГКОУ РД Новоурадинская СОШ Шам-ий ;;;
ГКОУ РД Новохелетуринская СОШ ;;;
ГКОУ РД Новоцатанихская СОШ Унцукуль ;;;
ГКОУ РД Новоцилитлинская СОШ ;;;
ГКОУ РД Новоцилитлинская СОШ Гумбет ;;;
ГКОУ РД Общеобраз-ная ШИ с .Черняевка ;;;
ГКОУ РД Общеобраз-ная ШИ с. Ботлих ;;;
ГКОУ РД Общеобраз-ная ШИ с. Черняевка ;;;
ГКОУ РД Общеобразовател-ная ШИ с. Ботлих ;;;
ГКОУ РД Общеобразовательная СШИ №6 ;;;
ГКОУ РД ООШ Ботлихского района ;;;
ГКОУ РД Оржоникидзевская ООШ Тлярата ;;;
ГКОУ РД ПЯТЬ СТОРОН СВЕТА МАГОМАЕВЫХ ;;;
ГКОУ РД Респуб-кая СШИ VIII вида ;;;
ГКОУ РД Республиканская СШИ VIII вида ;;;
ГКОУ РД Ретлобская СОШ Цунта ;;;
ГКОУ РД Самилахская СОШ Хунзах. р-она ;;;
ГКОУ РД Сангарская СОШ ;;;
ГКОУ РД Сафаралинская СОШ Гуниб.р-она ;;;
ГКОУ РД Свердловская СОШ Тлярата ;;;
ГКОУ РД СОШ Ахвахского района ;;;
ГКОУ РД СОШ Ботлихского района ;;;
ГКОУ РД Спорт-школа интернат ;;;
ГКОУ РД Тельманская СОШ Тлярата ;;;
ГКОУ РД Теречная ООШ Тлярата ;;;
ГКОУ РД Уллубиевская СОШ Гуниб. р-она ;;;
ГКОУ РД Ургулайская ООШ Цумада ;;;
ГКОУ РД Цадахская СОШ ;;;
ГКОУ РД ЦДОДИ ;;;
ГКОУ РД Цумилухская СОШ ;;;
ГКОУ РД Шавинская СОШ Цумад. р-он ;;;
ГКОУ РД Щедринская СОШ Тлярата ;;;
ГКОУ РДУчтюбинская ООШ Казбек ;;;
ГКОУ РЦДОДИ ;;;
ГКОУ СОГ Ахвахского района ;;;
ГКОУ Согратлинская СОШ Гуниб ;;;
ГКОУ Туршунайская ООШ Каз-го р-на ;;;
ГКОУ Хамзаюртовский лицей ;;;
ГКОУ Шангодинско-Шитлибская СОШ ;;;
