,Наименование ДОО,Январь_x,Итог,Тип собственности,Январь_y
440,МБДОУ Детский сад №25 Аистенок с.Карабудахкент ,,,,
441,МБДОУ Детский сад №3 Бекенез с.Карабудахкент,283.0,,,
442,МБДОУ Детский сад №4 Улыбка с.Какашура,126.0,,,
443,МБДОУ Детский сад №6 Теремок с.Доргели,120.0,,,
444,МБДОУ Детский сад №7 Ласточка с.Параул,118.0,,,
445,МБДОУ Детский сад №8 Ручеек с.Гели,135.0,,,
446,МБДОУ ДС №12 Фиалка с.Уллубийаул,255.0,,,
447,МБДОУ ДС №13 Родничок с.Гурбуки,80.0,,,
448,МБДОУ ДС №14 Сказка с.Карабудахкент,89.0,,,
449,МБДОУ ДС №15  Счастливое детство пгт.Ачису,83.0,,,
450,МБДОУ ДС №15 Звездочка с.Агачаул,70.0,,,
451,МБДОУ ДС №16 Золушка с.Карабудахкент,69.0,,,
452,МБДОУ ДС №17 Анжи  с.Губден,60.0,,,
453,МБДОУ ДС №19 Карапуз с. Манаскент ,90.0,,,
454,МБДОУ ДС №2 Юлдуз с.Карабудахкент,254.0,,,
455,МБДОУ ДС №21 Волшебник с.Губден  ,60.0,,,
456,МБДОУ ДС №5 Лачин с.Зеленоморск,82.0,,,
457,МБДОУ ДС №9 Ромашка пгт.Манас,62.0,,,
458,МБОУ Гергинская СОШ ГКП деят.приост.,15.0,,,
459,МБОУ Дружбинская СОШ ГКП деят. приост.,0.0,,,
460,МБОУ Новокаякентская СОШ ГКП деят. приостан,0.0,,,
461, МБОУ Каякентская СОШ № 1 гкп,15.0,,,
462,МБДОУ №1 с.Алходжакент,67.0,,Муниципальная,67.0
463,МБДОУ №2 с.Алходжакент,35.0,,Муниципальная,35.0
464,МБДОУ Детский сад Радуга с.Первомайское  ,193.0,,,
465,МБДОУ с. Герга,59.0,,Муниципальная,59.0
466,МБДОУ с. Дружба,196.0,,Муниципальная,196.0
467,МБДОУ с. Первомайское,114.0,,Муниципальная,114.0
468,МБДОУ с. Утамыш,39.0,,Муниципальная,39.0
469,МБДОУ с.Башлыкент,132.0,,Муниципальная,132.0
470,МБДОУ с.Усемикент,117.0,,Муниципальная,117.0
471,МБДОУ Соколенок с.Каранайаул,177.0,,Муниципальная,177.0
472,МБДОУ Солнышко с.Каякент ,263.0,,,
473,МБДОУ Чебурашка с.Новокаякент,238.0,,Муниципальная,238.0
474,МБДОУ Юлдуз с.Каякент,455.0,,Муниципальная,455.0
475,МБОУ Новокаякентская начальная школадетский сад,84.0,,,
476,МКДОУ Василек с. Кульзеб  ,,,,
477,МКДОУ Детский сад Дюймовочка с.Султанянгиюрт,212.0,,,
478,МКДОУ Детский сад общеразвивающего вида  Ветерок с.Новочиркей ,105.0,,,
479,МКДОУ Детский сад общеразвивающего вида  Звездочка с.Нечаевка,84.0,,,
480,МКДОУ Детский сад общеразвивающего вида Малыш с.Чонтаул,51.0,,,
481,МКДОУ Детский сад общеразвивающего вида Радуга с. Кироваул,53.0,,,
482,МКДОУ Детский сад общеразвивающего вида Сказка с.Стальское,103.0,,,
483,МКДОУ Детский сад общеразвивающего вида Соколенок с.Комсомольское,90.0,,,
484,МКДОУ Детский сад общеразвивающего вида Теремок с.Новочиркей,74.0,,,
485,МКДОУ Детский сад общеразвивающего типа Ласточка с.Акнада,49.0,,,
486,МКДОУ ЦРР Детский сад общеразвивающего вида Тюльпан с ЗубутлиМиатли,102.0,,,
487,МКДОУ Аверьяновский детский сад,101.0,,,
488,МКДОУ Александрийский детский сад,100.0,,,
489,МКДОУ Большеарешевский детский сад,52.0,,,
490,МКДОУ Большезадоевский детский сад,40.0,,,
491,МКДОУ Журавлик с. им. Жданова ,109.0,,,
492,МКДОУ Кардоновский детский сад,80.0,,,
493,МКДОУ Коллективизаторский детский сад,19.0,,,
494,МКДОУ Косякинский детский сад,53.0,,,
495,МКДОУ Крайновский детский сад,45.0,,,
496,МКДОУ Малоарешевский детский сад,60.0,,,
497,МКДОУ Новокохановский детский сад,42.0,,,
498,МКДОУ Октябрьский детский сад,48.0,,,
499,МКДОУ Победовский детский сад,59.0,,,
500,МКДОУ Пролетарский детский сад,56.0,,,
501,МКДОУ Цветковский детский сад,104.0,,,
502,МКДОУ Черняевский детский сад,69.0,,,
503,МКДОУ Юбилейный детский сад,89.0,,,
504,МКДОУ Яснополянский детский сад,40.0,,,
505,МКОУ Канинская ООШ ГКП деят.приост.,6.0,,,
506,МКОУ Кулинская СОШ №2 гкп деят.приост.,2.0,,,
507,МКОУ Сумбатлинская ООШ ГКП деят. приостан.,1.0,,,
508,МКОУ Цыйшинская СОШ ГКП деят. приостан.,1.0,,,
509,МК ДОУ Хосрехский детский сад,30.0,,Муниципальная,30.0
510,МКДОУ Вачинский детский сад,32.0,,Муниципальная,32.0
511,МКДОУ Вихлинский детский сад,36.0,,Муниципальная,36.0
512,МКДОУ Кулинский детский сад,80.0,,Муниципальная,80.0
513,МКОУ Каялинская школасад №4 СОШ,16.0,,,
514,МКОУ Хайхинская школасад ООШ ,7.0,,,
515,МКОУ Тюбинская СОШ ГКП деят. приост,0.0,,,
516,МКДОУ детский сад Радость с.Коркмаскала,420.0,,,
517,МКДОУ Солнышко с.Коркмаскала ,196.0,,,
518,МКОУ Курахская СОШ №2 ГКП деят. приост,0.0,,,
519, МКОУ Аладашская СОШ ГКП ,9.0,,,
520, МКОУ Гельхенская школадетсад гкп ,10.0,,,
521, МКОУ Икринская СОШ  ГКП ,10.0,,,
522, МКОУ Икринская СОШинтернат им. З.Л.БатмановаГКП,,,,
523, МКОУ Моллакентская СОШ ГКП,10.0,,,
524, МКОУ Усугская СОШ ГКП,7.0,,,
525, МКОУ Хпеджская СОШ гкп ,,,,
526, МКОУ Хпюкская СОШ гкп,15.0,,,
527,МКДОУ Аладашский детский сад Аленушка,30.0,,Муниципальная,30.0
528,МКДОУ Ашарская СОШ  детский сад Радуга,14.0,,,
529,МКДОУ Гельхенская СОШ  детский сад Родничок,15.0,,,
530,МКДОУ Икринский детский сад Мечта,45.0,,Муниципальная,45.0
531,МКДОУ Кабирский детский сад Улыбка,39.0,,Муниципальная,39.0
532,МКДОУ Кумукская СОШ детский сад Кард,27.0,,,
533,МКДОУ Курахская СОШ №1детский сад Гияр №3,35.0,,,
534,МКДОУ Курахский детский сад №1 Солнышко,70.0,,Муниципальная,70.0
535,МКДОУ Курахский детский сад №2 Аленушка,70.0,,Муниципальная,70.0
536,МКДОУ Кучхюрская СОШ  детский сад Заря,23.0,,,
537,МКДОУ Моллакентский детский сад Ласточка,45.0,,Муниципальная,45.0
538,МКДОУ Хвереджская СОШ  детский сад Сказка,9.0,,,
539,МКДОУ Шимихюрская СОШ детский сад Орленок,30.0,,,
540,МКОУ Уринская ООШ ГКП деят. приост,0.0,,,
541, МКОУ Кубинская ООШ ГКП,8.0,,,
542, МКОУ Курклинская СОШ ГКП,6.0,,,
543, МКОУ Унчукатлинская СОШ гкп,8.0,,,
544, МКОУ Хурхинская СОШ ГКП,13.0,,,
545, МКОУ Чуртахская ООШ ГКП,8.0,,,
546, МКОУ Шаринская СОШ ГКП,8.0,,,
547,МКДОУ Детский сад Солнышко с.Кумух 60 м. ,60.0,,,
548,МКДОУ Кумухский дсад,109.0,,,
549,МКДОУ Детский сад Львенок с.Кутиша,79.0,,,
550,МКДОУ ДС  Журавлик с. Карлабко,45.0,,,
551,МКДОУ ДС  Золотой луг с.Леваши ,90.0,,,
552,МКДОУ ДС  Ласточка с.Н.Чугли 60 м.  ,40.0,,,
553,МКДОУ ДС  Ручеек с.Хахита ,55.0,,,
554,МКДОУ ДС №1 Солнышко с.Леваши,265.0,,,
555,МКДОУ ДС №2 Радуга  с.Леваши,162.0,,,
556,МКДОУ ДС №3 Сказка с.Леваши ,55.0,,,
557,МКДОУ ДС №4 Снежинка с.Леваши ,64.0,,,
558,МКДОУ ДС Березка с.АрадаЧугли,69.0,,,
559,МКДОУ ДС Дубурлан с.В.Лабкомахи 40 м. ,42.0,,,
560,МКДОУ ДС Звездочка с.Урма,80.0,,,
561,МКДОУ ДС Ласточка с.Мекеги   120 м. ,121.0,,,
562,МКДОУ ДС Непоседа с. Джангамахи 40 м. ,39.0,,,
563,МКДОУ ДС Орленок с. Урма,80.0,,,
564,МКДОУ ДС Радость с.Урма ,77.0,,,
565,МКДОУ ДС Райские птички с. Хахита ,74.0,,,
566,МКДОУ ДС Родничок с.Куппа 40 м. ,40.0,,,
567,МКДОУ ДС Ромашка с.Какамахи,60.0,,,
568,МКДОУ ДС Соколенок с.Кулецма,80.0,,,
569,МКДОУ ДС Теремок с.Кутиша,65.0,,,
570,МКДОУ ДС Улыбка с. Хаджалмахи ,157.0,,,
571,МКДОУ ДС Чебурашка с.Карекадани 40 м. ,35.0,,,
572,МКОУ Аялакабская СОШсад с. Аялакаб,17.0,,,
573,МКОУ Азадоглынская СОШ ГКП деят.приост.,18.0,,,
574,МКОУ Гарахская ООШ ГКП деят.приост,0.0,,,
575,МКОУ Картасказмалярская СОШ ГКП деят.приост.,19.0,,,
576,МКОУ Киркинская СОШ им. Аликберова Г.А. ГКП деят.приост.,8.0,,,
577,МКОУ Мугерганская СОШ ГКП деят.приост.,9.0,,,
578,МКОУ Оружбинская СОШ ГКП деят.приост.,24.0,,,
579,МКОУ Приморская ООШ ГКП  деят. приост.,0.0,,,
580,МКОУ Советская СОШ ГКП деят.приост.,30.0,,,
581,МКОУ Тагиркентская ООШ ГКП деят.приост.,7.0,,,
582,МКОУ Хорельская СОШ ГКП деят.приост.,10.0,,,
583,МКОУ Целегюнская СОШ ГКП деят.приост.,11.0,,,
584, МКОУ  Гапцахская СОШ им. Т.Н.Нагиева ГКП,23.0,,,
585, МКОУ Билбильская СОШ им. М.Абдуллаева ГКП,28.0,,,
586, МКОУ БутКазмалярская СОШ ГКП,32.0,,,
587, МКОУ Гильярская СОШ ГКП,21.0,,,
588, МКОУ Джепельская ООШ ГКП,9.0,,,
589, МКОУ Капирказмалярская СОШ ГКП,32.0,,,
590, МКОУ Кличханская ООШ ГКП,4.0,,,
591, МКОУ Куйсунская СОШ ГКП,28.0,,,
592, МКОУ Кчунказмалярская СОШ ГКП,15.0,,,
593, МКОУ Магарамкентская СОШ №1 им. М.Гаджиева гкп,44.0,,,
594, МКОУ Магарамкентская СОШ №2 ГКП,14.0,,,
595, МКОУ Новоаульская СОШ им. Исмаилова Т. ГКП,34.0,,,
596, МКОУ Самурская СОШ ГКП,45.0,,,
597, МКОУ Тагиркентказмалярская СОШ ГКП,28.0,,,
598, МКОУ Филялинская СОШ ГКП,21.0,,,
599, МКОУ Ходжаказмалярская СОШ им. М.К.Казиева ГКП,7.0,,,
600, МКОУ Хутунказмалярская ООШ ГКП,24.0,,,
601, МКОУ ЧахчахКазмалярская СОШ им. М.М.Мерзаметова ГКП,28.0,,,
602, МКОУ Ярагказмалярская СОШ им. М.Ярагского ГКП,42.0,,,
603, МКОУ Ярукваларская основная общеобразовательная школа ГКП,6.0,,,
604,МКДОУ ДС Алнушка с.Филя,91.0,,,
605,МКДОУ ДС Билбил с.Билбиль,43.0,,,
606,МКДОУ ДС Буратино с.Куйсун,60.0,,,
607,МКДОУ ДС Дюймовочка с.Картасказмаляр,50.0,,,
608,МКДОУ ДС Звездочка с.ТагиркентКазмаляр,20.0,,,
609,МКДОУ ДС Золушка с.Бут,65.0,,,
610,МКДОУ ДС Колобок с.Кирка,61.0,,,
611,МКДОУ ДС Красная шапочка с.Советское,65.0,,,
612,МКДОУ ДС Ласточка с.Советское,113.0,,,
613,МКДОУ ДС Лесная с.Самур,20.0,,,
614,МКДОУ ДС Радуга с.Гильяр,60.0,,,
615,МКДОУ ДС Родничок с.Азадоглы,25.0,,,
616,МКДОУ ДС Ромашка с.Новый Аул,26.0,,,
617,МКДОУ ДС Русалочка с.Приморское ,44.0,,,
618,МКДОУ ДС Сказка с.Гапцах,117.0,,,
619,МКДОУ ДС Соколенок с.ТагиркентКазмаляр,70.0,,,
620,МКДОУ ДС Солнышко с.Магарамкент,251.0,,,
621,МКДОУ ДС Теремок с.Магарамкент,83.0,,,
622,МКДОУ ДС Улыбка с.Ярагказмаляр,134.0,,,
623,МКДОУ ДС Чебурашка с.Оружба,62.0,,,
624,МКОУ Тухчарская СОШ №1 ГКП деят. приост.,0.0,,,
625, МКОУ Банайюртовская СОШ ГКП,21.0,,,
626, МКОУ Барчхойотарская СОШ ГКП,28.0,,,
627, МКОУ Гамияхская СОШ №2 ГКП,16.0,,,
628, МКОУ Гамияхская СОШ ГКП,4.0,,,
629, МКОУ Дучинская СОШ № 2 ГКП,10.0,,,
630, МКОУ Новокулинская СОШ №2 им Аметхана Султана ГКП,46.0,,,
631, МКОУ Новолакская СОШ №1 гкп,15.0,,,
632, МКОУ Новомехельтинская СОШ ГКП,1.0,,,
633, МКОУ Новочуртахская СОШ №1 ГКП,14.0,,,
634, МКОУ Новочуртахская СОШ №2 ГКП,24.0,,,
635, МКОУ Тухчарская ООШ ГКП,27.0,,,
636, МКОУ Чапаевская СОШ №1 ГКП,9.0,,,
637, МКОУ Чаравалинская СОШ ГКП,18.0,,,
638, МКОУ Шушинская СОШ ГКП,8.0,,,
639, МКОУ Ямансуйская СОШ ГКП,30.0,,,
640, МКОУ Ахарская СОШ ГКП,7.0,,,
641, МКОУ Гамияхская СОШ №1 ГКП,18.0,,,
642, МКОУ Новокулинская СОШ №1 гкп,13.0,,,
643, МКОУ Тухчарская СОШ ГКП,5.0,,,
644,МКДОУ Детский сад Дюймовочка с. Новокули дошк. гр. при  МОУ Новокули СОШ №1,54.0,,,
645,МБДОУ Детский сад Буратино с.Новолакское,215.0,,,
646,МКДОУ Детский сад Радуга №1 с.Новочуртах Новострой ,115.0,,,
647,МКДОУ Детский сад Радуга с.Новочуртах,85.0,,,
648,МКДОУ Детский сад Сказка с.Новолакское ,165.0,,,
649,МКДОУ Детский сад Солнышко с.Чапаево ,195.0,,,
650,МКДОУ ДС Айсылув с.ТереклиМектеб,98.0,,,
651,МКДОУ ДС Алтын Кус с.Карагас,78.0,,,
652,МКДОУ ДС Алтынай с.Кумли ,39.0,,,
653,МКДОУ ДС Карлыгашлар с.Кунбатар,81.0,,,
654,МКДОУ ДС Куьпелек с.Боранчи,24.0,,,
655,МКДОУ ДС Кызыл Гуьль с. Червленные Буруны,73.0,,,
656,МКДОУ ДС Лашын с.БатырМурза,18.0,,,
657,МКДОУ ДС Ногай Эл с.ТереклиМектеб ,398.0,,,
658,МКДОУ ДС Шолпан с.Нариман,76.0,,,
659,МКДОУ ДС Юлдуз  с. Ортатюбе,42.0,,,
660,МКДОУ ДС Юлдыз с.ТереклиМектеб,250.0,,,
661, МКОУ Амсарская СОШ гкп,4.0,,,
662, МКОУ Аракульская СОШ гкп,6.0,,,
663, МКОУ Аранская СОШ гкп,23.0,,,
664, МКОУ ВерхнеКатрухская СОШ гкп,5.0,,,
665, МКОУ Гельмецкая СОШ гкп,17.0,,,
666, МКОУ Дженыхская СОШ гкп,8.0,,,
667, МКОУ Джилихурская СОШ гкп,18.0,,,
668, МКОУ Ихрекская ООШ гкп,0.0,,,
669, МКОУ Ихрекская СОШ гкп.,22.0,,,
670, МКОУ Калинская СОШ гкп,20.0,,,
671, МКОУ Кининская СОШ гкп,19.0,,,
672, МКОУ Кичинская СОШ гкп,13.0,,,
673, МКОУ Курдульская ООШ гкп,5.0,,,
674, МКОУ Куфинская СОШ гкп,15.0,,,
675, МКОУ Лучекская СОШ гкп,9.0,,,
676, МКОУ Микикская СОШ гкп,4.0,,,
677, МКОУ Мишлешская СОШ гкп,55.0,,,
678, МКОУ Муслахская СОШ гкп,12.0,,,
679, МКОУ НижнеКатрухская СОШ гкп,6.0,,,
680, МКОУ Рутульская СОШ №1 им.Гусейнова гкп,39.0,,,
681, МКОУ Рутульская СОШ №2 им. Мирзоева гкп,6.0,,,
682, МКОУ Хлютская СОШ гкп,28.0,,,
683, МКОУ Цахурская СОШ гкп,10.0,,,
684, МКОУ Цудикская СОШ гкп,9.0,,,
685, МКОУ Шиназская СОШ гкп,19.0,,,
686,МКДОУ ДС Настенька с.Мишлеш,40.0,,,
687,МКДОУ ДС Орленок с.Ихрек,45.0,,,
688,МКДОУ ДС Радость с.Рутул,74.0,,,
689,МКДОУ ДС Солнышко с.Хлют,30.0,,,
690,МКДОУ ДС Улыбка с.Рутул,105.0,,,
691,МКОУ Мюрегинская СОШ гкп  деят. приост.,0.0,,,
692,МКДОУ  Детский сад с. Ванашимахи на реконстр,22.0,,,
693,МКДОУ  Детский сад с. Кадиркент на реконстр,23.0,,,
694,МКДОУ  Детский сад №1 с.Сергокала,127.0,,,
695,МКДОУ  Детский сад №2 с.Сергокала,69.0,,,
696,МКДОУ  Детский сад №3 с.Сергокала,116.0,,,
697,МКДОУ  Детский сад №4 с.Сергокала,93.0,,,
698,МКДОУ  Детский сад с. Бурдеки,31.0,,,
699,МКДОУ  Детский сад с. Дегва,17.0,,,
700,МКДОУ  Детский сад с. Миглакасимахи,20.0,,,
701,МКДОУ  Детский сад с. Нижнемахарги,23.0,,,
702,МКДОУ  Детский сад Теремок с. Новое Мугри,20.0,,,
703,МКДОУ Детский сад Олимпийский с.Сергокала ,204.0,,,
704,МКДОУ Детский сад с. Аялизимахи,23.0,,,
705,МКДОУ Детский сад с. Кичигамри,50.0,,,
706,МКДОУ Детский сад с. Краснопартизанск,30.0,,,
707,МКДОУ Детский сад с. Маммаул,30.0,,,
708,МКДОУ Детский сад с. Мюрего,123.0,,,
709,МКДОУ Детский сад с. Урахи,28.0,,,
710,МКДОУ Детский сад с.Мургук ,93.0,,,
711,МКДОУ  Ортастальский детский сад,78.0,,Муниципальная,78.0
712,МКДОУ Ашагастальский детский сад,62.0,,Муниципальная,62.0
713,МКДОУ Герейхановский детский сад,104.0,,Муниципальная,104.0
714,МКДОУ ДС Чубарук с.АшагаСталКазмаляр ,148.0,,,
715,МКДОУ Карчагский детский сад,61.0,,Муниципальная,61.0
716,МКДОУ Касумкентский детский сад №1,91.0,,Муниципальная,91.0
717,МКДОУ Касумкентский детский сад №2,264.0,,Муниципальная,264.0
718,МКДОУ Касумкентский детский сад №3,97.0,,Муниципальная,97.0
719,МКДОУ Куркентский детский сад,69.0,,Муниципальная,69.0
720,МКДОУ Новомакинский детский сад,119.0,,Муниципальная,119.0
721,МКДОУ Нютюгский детский сад,62.0,,Муниципальная,62.0
722,МКДОУ Сардаркентский детский сад Аманат ,48.0,,,
723,МКДОУ Юхаристальский детский сад,82.0,,Муниципальная,82.0
724,МКДОУ Бурганкентский детский сад Радуга на кап.рем.,0.0,,,
725,МБДОУ Урзигский детский сад Орленок ,25.0,,,
726,МКДОУ Аркитский детский сад Улдуз,50.0,,,
727,МКДОУ Гасикский детский сад Жемчужина,25.0,,,
728,МКДОУ Гелинбатанский детский сад Рассвет,26.0,,,
729,МКДОУ Гурикский детский сад Солнышко,50.0,,,
730,МКДОУ Гурхунский детский сад Радуга,25.0,,,
731,МКДОУ Гюхрягский детский сад Чебурашка,25.0,,,
732,МКДОУ Дагнинский детский сад Заря,24.0,,,
733,МКДОУ Дарвагский детский сад Улыбка ,150.0,,,
734,МКДОУ Джулджагский детский сад Радость,76.0,,,
735,МКДОУ Дюбекский детский сад Колокольчик,50.0,,,
736,МКДОУ Ерсинский детский сад Улдуз,50.0,,,
737,МКДОУ Кужникский детский сад Чебурашка,50.0,,,
738,МКДОУ Кюрягский детский сад Русалочка,25.0,,,
739,МКДОУ Марагинский детский сад Радуга,50.0,,,
740,МКДОУ Новолиджинский детский сад Солнышко,25.0,,,
741,МКДОУ Пилигский детский сад Ласточка,50.0,,,
742,МКДОУ Сиртичский детский сад Солнышко,100.0,,,
743,МКДОУ Татилский детский сад Радуга,75.0,,,
744,МКДОУ Тинитский детский сад Ручек,50.0,,,
745,МКДОУ Турагский детский сад Радуга,50.0,,,
746,МКДОУ Улузский детский сад Звезда,25.0,,,
747,МКДОУ Фиргильский детский сад Новичок,24.0,,,
748,МКДОУ Халагский детский сад Солнышко,50.0,,,
749,МКДОУ Ханагский детский сад Рубас,50.0,,,
750,МКДОУ Хапильский детский сад Улыбка,25.0,,,
751,МКДОУ Хилипенджикский детский сад Ласточка,50.0,,,
752,МКДОУ Хурикский детский сад Радуга,98.0,,,
753,МКДОУ Цалакский детский сад Теремок,50.0,,,
754,МКДОУ Цанакский детский сад Улыбка,25.0,,,
755,МКДОУ Чурдафский детский сад Ласточка,25.0,,,
756,МКДОУ Шиленский детский сад Радуга,25.0,,,
757,МКДОУ Ягдыгский детский сад Алнка,49.0,,,
758,МКДОУ Джугдильский детский сад Ласточка ,50.0,,,
759,МКДОУ Чулатский детский сад Огонек ,50.0,,,
760,МКОУ Гимназия Табасаранского района с. Хучни,318.0,,,
761,МКДОУ НовоРомановский дс Колокольчик на кап. рем.,0.0,,,
762,МКДОУ АлександроНевский дс Колокольчик,45.0,,,
763,МКДОУ Калиновский дс Теремок,21.0,,,
764,МКДОУ Карабаглинский дс Радуга,20.0,,,
765,МКДОУ Кочубейский дс Чебурашка,75.0,,,
766,МКДОУ Кочубейский дсСолнышко,75.0,,,
767,МКДОУ НовоГеоргиевский дс Аленка,26.0,,,
768,МКДОУ НовоДмитриевский дс Солнышко,40.0,,,
769,МКДОУ Раздольевский дс Аленушка,23.0,,,
770,МКДОУ Рассветовский дс Гнездышко,24.0,,,
771,МКДОУ Таловский дсИвушка,23.0,,,
772,МКДОУ Тарумовский дс Тополек,203.0,,,
773,МКОУ Коктюбейская ООШ дс Золотая рыбка,16.0,,,
774,МКДОУ Анцухский детский сад Тляратинского района,15.0,,,
775,МКДОУ Бетельдинский детский сад Тляратинского района,15.0,,,
776,МКДОУ Гведышинский детский сад Тляратинского района,15.0,,,
777,МКДОУ Генеколобский детский сад Тляратинского района,15.0,,,
778,МКДОУ Гиндибский детский сад Тляратинского района,15.0,,,
779,МКДОУ Гиндухский детский сад Тляратинского района,15.0,,,
780,МКДОУ Жажадинский детский сад Тляратинского района,15.0,,,
781,МКДОУ Камилюхский детский сад Тляратинского района,15.0,,,
782,МКДОУ Кардибский детский сад Тляратинского района,15.0,,,
783,МКДОУ Кособский детский сад Тляратинского района,15.0,,,
784,МКДОУ Кутлабский детский сад Тляратинского района,30.0,,,
785,МКДОУ Ландинский детский сад Тляратинского района,15.0,,,
786,МКДОУ Мазадинский детский сад Тляратинского района,15.0,,,
787,МКДОУ Никарский детский сад Тляратинского района,15.0,,,
788,МКДОУ Нитиицухский детский сад Тляратинского района ,15.0,,,
789,МКДОУ Нурухский детский сад Тляратинского района ,15.0,,,
790,МКДОУ Роснобский детский сад Тляратинского района ,30.0,,,
791,МКДОУ Саниортинский детский сад Тляратинского района,15.0,,,
792,МКДОУ Талцухский детский сад Тляратинского района,15.0,,,
793,МКДОУ Тлянадинский детский сад Тляратинского района,14.0,,,
794,МКДОУ Тляратинский яслисад  Тляратинского района Джурмут ,140.0,,,
795,МКДОУ Тохординский яслисад Тляратинского района,25.0,,,
796,МКДОУ Тохотинский детский сад Тляратинского района,15.0,,,
797,МКДОУ Укальский яслисад Тляратинского района,55.0,,,
798,МКДОУ Хадияльский детский сад Тляратинского района,14.0,,,
799,МКДОУ Хидибский детский сад Тляратинского района,15.0,,,
800,МКДОУ Хиндахский детский сад Тляратинского района,15.0,,,
801,МКДОУ Цумилюхский детский сад Тляратинского района,15.0,,,
802,МКДОУ Чадаколобский детский сад Тляратинского района,30.0,,,
803,МКДОУ Чилдинский детский сад Тляратинского района,12.0,,,
804,МКДОУ Чородинский детский сад Тляратинского района,15.0,,,
805,МКДОУ  ДС №8 Солнышко пгт.Шамилькала,141.0,,,
806,МКДОУ ДС №1 Ромашка с.Унцукуль,150.0,,,
807,МКДОУ ДС №10 Снежинка с.Кахабросо,50.0,,,
808,МКДОУ ДС №11 Сосна с.Ашильта,67.0,,,
809,МКДОУ ДС №12 Чебурашка с.Цатаних,34.0,,,
810,МКДОУ ДС №13 Колобок с. Гимры ,90.0,,,
811,МКДОУ ДС №2 Ласточка с. Унцукуль,232.0,,,
812,МКДОУ ДС №3 Фиалка с.Ирганай,109.0,,,
813,МКДОУ ДС №4 Теремок с. Гимры,192.0,,,
814,МКДОУ ДС №5 Соколенок с.Майданское,117.0,,,
815,МКДОУ ДС №6 Звездочка с.Балахани,50.0,,,
816,МКДОУ ДС №7 Улыбка с.Аракани,49.0,,,
817,МКДОУ ДС №9 Сказка пгт. Шамилькала ,289.0,,,
818, МКОУ Аджимажагатюртовская СОШ ГКП,10.0,,,
819, МКОУ Адильотарская СОШ ГКП,32.0,,,
820, МКОУ Акбулатюртовская СОШ ГКП,11.0,,,
821, МКОУ Аксайская СОШ № 1 им. З.Н.Батырмурзаева ГКП,31.0,,,
822, МКОУ Аксайская СОШ № 2 им. Х.Г.Магидова ГКП,14.0,,,
823, МКОУ Байрамаульская СОШ ГКП,47.0,,,
824, МКОУ Бамматюртовская СОШ ГКП,10.0,,,
825, МКОУ Борагангечувская СОШ ГКП,24.0,,,
826, МКОУ Боташюртовская СОШ им.Б.Т.Ахаева ГКП,51.0,,,
827, МКОУ Ботаюртовская СОШ им. Н.П.Жердева ГКП,34.0,,,
828, МКОУ Генжеаульская СОШ им. М.М.Зумаева ГКП,18.0,,,
829, МКОУ Гимназия Культуры мира им. А.Д.Адилсолтанова ГКП,53.0,,,
830, МКОУ Гоксувотарская СОШ ГКП,15.0,,,
831, МКОУ Дзержинская СОШ ГКП,19.0,,,
832, МКОУ Ичичалинская СОШ им. Б.Г.Битарова ГКП,15.0,,,
833, МКОУ Кадыротарская СОШ ГКП,8.0,,,
834, МКОУ Казмааульская СОШ ГКП,29.0,,,
835, МКОУ Кандаураульская СОШ им. О.К.Кандаурова ГКП,25.0,,,
836, МКОУ Карланюртовская СОШ им. А.Д.Шихалиева ГКП,60.0,,,
837, МКОУ Кемсиюртовская СОШ ГКП,20.0,,,
838, МКОУ Кокрекская СОШ ГКП,28.0,,,
839, МКОУ Костекская СОШ им. Б.Ш.Бакиева ГКП,3.0,,,
840, МКОУ Курушская СОШ № 1 им. А.Б.Айдунова ГКП,47.0,,,
841, МКОУ Курушская СОШ № 2 им. Я.С.Аскандарова ГКП,22.0,,,
842, МКОУ Могилевская СОШ им. Н.У.Азизова ГКП,55.0,,,
843, МКОУ Моксобская СОШ им. ОГ.М.Шахтаманова ГКП,7.0,,,
844, МКОУ Муцалаульская СОШ № 1 им.А.Я.Абдуллаева гкп,90.0,,,
845, МКОУ Муцалаульская СОШ № 2 ГКП,38.0,,,
846, МКОУ Новогагатлинская СОШ им. Х.С.Салимова ГКП,59.0,,,
847, МКОУ Новокостекская СОШ ГКП,75.0,,,
848, МКОУ Новосаситлинская СОШ ГКП,18.0,,,
849, МКОУ Новосельская СОШ ГКП,33.0,,,
850, МКОУ Октябрьская СОШ ГКП,33.0,,,
851, МКОУ Османюртовская СОШ ГКП,50.0,,,
852, МКОУ Первомайская СОШ им.И.Г.Исакова ГКП,30.0,,,
853, МКОУ Петраковская СОШ ГКП,37.0,,,
854, МКОУ Покровская СОШ ГКП,60.0,,,
855, МКОУ Пятилеткинская СОШ ГКП,21.0,,,
856, МКОУ Садовая СОШ ГКП,13.0,,,
857, МКОУ Сивухская СОШ ГКП,84.0,,,
858, МКОУ Советская СОШ им. Ш.Т.Амичева ГКП,21.0,,,
859, МКОУ Солнечная СОШ ГКП,48.0,,,
860, МКОУ Ст.Карланюртовская СОШ ГКП,22.0,,,
861, МКОУ Сулевкентская СОШ им.С.А.Абдулаева ГКП,31.0,,,
862, МКОУ Темираульская СОШ им. Б.Ш.Баймурзаева ГКП,50.0,,,
863, МКОУ Теречная СОШ ГКП,30.0,,,
