,Наименование ДОО,Январь_x,Итог,Тип собственности,Январь_y
96,МКДОУ ЦРР  ДС№ 17 города Буйнакска,193.0,,,
97,МКДОУ ЦРР  ДС№ 5 Ветерок г.Буйнакска,165.0,,,
98,МКДОУ ЦРР  ДС№ 6 Гнездышко г.Буйнакска,246.0,,,
99,МКДОУ ЦРР  ДС№ 8 г. Буйнакска ,283.0,,,
100,МКОУ СОШ №10 предшкольная подготовка Солнечный круг г.Буйнакск,107.0,,,
101,МБДОУ Детский сад № 3 Улыбка,321.0,,,
102,МБДОУ Детский сад №1 Родничок,186.0,,Муниципальная,186.0
103,МБДОУ Детский сад №2 Изюминка,180.0,,Муниципальная,180.0
104,МБДОУ детский сад №4 Соколенок,274.0,,,
105,МБДОУ ДС № 5 Дружба,215.0,,,
106,МБДОУ ДС №6 Орленок ,135.0,,,
107,МБДОУ № 31 Росинка ликвид.,95.0,,,
108,МБДОУ № 6 ликвид.,48.0,,,
109,МБДОУ № 1,126.0,,Муниципальная,126.0
110,МБДОУ № 10 Дюймовочка,203.0,,,
111,МБДОУ № 12 Теремок,164.0,,,
112,МБДОУ № 16 Чебурашка,167.0,,,
113,МБДОУ № 17,39.0,,Муниципальная,39.0
114,МБДОУ № 19 Паровозик,159.0,,,
115,МБДОУ № 21 Аленький цветок,372.0,,,
116,МБДОУ № 23,255.0,,Муниципальная,255.0
117,МБДОУ № 25 Золушка,190.0,,,
118,МБДОУ № 29 Колокольчик,127.0,,,
119,МБДОУ № 3,90.0,,Муниципальная,90.0
120,МБДОУ № 5 Надежда,99.0,,,
121,МБДОУ № 7 Улдуз,142.0,,,
122,МБДОУ № 8 Радуга,130.0,,,
123,МБДОУ № 9 Счастливое детство,176.0,,,
124,МБДОУ №13 Незабудка ,168.0,,,
125,МБДОУ ДС №24 Пчелка рон Аэропорт ,62.0,,,
126,МБДОУ Прогимназия №15,168.0,,Муниципальная,168.0
127,МБДОУ Прогимназия №18,117.0,,Муниципальная,117.0
128,МБДОУ ЦРР № 11 Петушок,253.0,,,
129,МБДОУ ЦРР № 14 Ласточка,344.0,,,
130,МБДОУ ЦРР № 2 Горяночка,93.0,,,
131,МБДОУ ЦРР № 20 Аленушка,338.0,,,
132,МБДОУ ЦРР № 22,141.0,,Муниципальная,141.0
133,МБДОУ ЦРР № 28,318.0,,Муниципальная,318.0
134,МБДОУ ЦРР № 30 Улыбка,483.0,,,
135,МБДОУ ЦРР № 33 Русалочка,172.0,,,
136,МБДОУ ЦРР № 4 Василек,136.0,,,
137,МКОУ СОШ №10 гкп деят. приост.,0.0,,,
138,МКОУ СОШ №12 гкп  деят. приост.,0.0,,,
139,МКОУ СОШ №2 гкп деят. приост.,0.0,,,
140,МКДОУ Детский сад №1,140.0,,Муниципальная,140.0
141,МКДОУ Детский сад №10,479.0,,Муниципальная,479.0
142,МКДОУ Детский сад №13,120.0,,Муниципальная,120.0
143,МКДОУ Детский сад №14,111.0,,Муниципальная,111.0
144,МКДОУ Детский сад №2,139.0,,Муниципальная,139.0
145,МКДОУ Детский сад №3,95.0,,Муниципальная,95.0
146,МКДОУ Детский сад №4,132.0,,Муниципальная,132.0
147,МКДОУ Детский сад №6,206.0,,Муниципальная,206.0
148,МКДОУ ЦРРДетский сад №11,439.0,,,
149,МКДОУ ЦРРДетский сад №12 Пчелка,409.0,,,
150,МКДОУ ЦРРДетский сад №8,376.0,,,
151,МБДОУ №33 Юбилейный,432.0,,,
152,МБДОУ ДС № 16 Чебурашка,195.0,,,
153,МБДОУ ДС № 17 Буратино,386.0,,,
154,МБДОУ ДС № 21 Радуга,154.0,,,
155,МБДОУ ДС № 24 Ромашка,370.0,,,
156,МБДОУ ДС № 26 Родничок,465.0,,,
157,МБДОУ ДС №3 Аленушка,277.0,,,
158,МБДОУ ДС №30 Звздочка,158.0,,,
159,МБДОУ ДС №31 Улыбка,446.0,,,
160,МБДОУ ДС №8 Дюймовочка,162.0,,,
161,МБДОУ ДС №32 Соколенок  зд Дагдизель,125.0,,,
162,МБДОУ ЦРРДС  № 1  Василек,164.0,,,
163,МБДОУ ЦРРДС  № 10 Ивушка,393.0,,,
164,МБДОУ ЦРРДС № 11 Светлячок,375.0,,,
165,МБДОУ ЦРРДС № 14 Журавленок,387.0,,,
166,МБДОУ ЦРРДС № 15 Незабудка,398.0,,,
167,МБДОУ ЦРРДС № 23 Лесная сказка,233.0,,,
168,МБДОУ ЦРРДС № 25 Джейран,407.0,,,
169,МБДОУ ЦРРДС № 28 Якорк,217.0,,,
170,МБДОУ ЦРРДС № 29 Дельфинчик,460.0,,,
171,МБДОУ ЦРРДС № 5 Гусельки,437.0,,,
172,МБДОУ ЦРРДС № 7 Ласточка,393.0,,,
173,МКДОУ ДС № 12 Юлдуз,203.0,,,
174,МКДОУ ДС № 22 Солнышко,121.0,,,
175,МКОУ Гимназия №1 гкп деят.приост.,37.0,,,
176,МКОУ Гимназия №5 гкп деят.приост.,25.0,,,
177,МКОУ СОШ №2 гкп деят.приост.,15.0,,,
178,МКОУ СОШ №3 гкп деят. приостан.,0.0,,,
179,МКОУ СОШ №4 гкп деят.приост.,12.0,,,
180,МКОУ СОШ №7 гкп деят.приост.,36.0,,,
181,МКОУ СОШ №8 гкп деят.приост.,30.0,,,
182,МКОУ СОШ №9 гкп деят.приост.,18.0,,,
183,МКДОУ Дс №1 Солнышко,163.0,,,
184,МКДОУ дс №10 №Энергетик,125.0,,,
185,МКДОУ Дс №2 Ласточка,160.0,,,
186,МКДОУ дс №5 Теремок,277.0,,,
187,МКДОУ Дс №7 Красная шапочка,70.0,,,
188,МКДОУ дс №9 Колосок,123.0,,,
189,МКДОУ ДС №11 Колокольчик ,204.0,,,
190,МКДОУ ЦРР дс №3 Дюймовочка,111.0,,,
191,МКДОУ ЦРР дс №6 Чебурашка,405.0,,,
192,МКДОУ ЦРР дс №8 Радуга,200.0,,,
193,МКДОУЦРР дс №4 Светлячок,351.0,,,
194,МКОУ Кизлярская гимназия №6 им. А.С.Пушкина гкп деят. приост.,0.0,,,
195,МКОУ МПЛ №2  им. С.М.Кирова гкп деят. приост.,0.0,,,
196,МКДОУ дс № 1 Синяя птица,172.0,,,
197,МКДОУ дс № 12,159.0,,,
198,МКДОУ дс № 2 Березка,86.0,,,
199,МКДОУ дс № 3 Тополк,165.0,,,
200,МКДОУ дс № 4 Крепыш,337.0,,,
201,МКДОУ дс № 8,101.0,,,
202,МКДОУ дс № 9 Красная шапочка,105.0,,,
203,МКДОУ дс №10,152.0,,,
204,МКДОУ дс №13 Светлячок,174.0,,,
205,МКДОУ дс №14 Радуга  мкр. Черемушки,334.0,,,
206,МКДОУ дс №7 Дюймовочка,147.0,,,
207,МКДОУ ЦРР  дс № 11 ,320.0,,,
208,МКДОУ ЦРР  дс №5,288.0,,,
209,МКДОУ ЦРРдс № 6,135.0,,,
210,МКОУ Прогимназия Ласточка,198.0,,Муниципальная,198.0
211,МБДОУ ДС № 67 Родничок ,227.0,,,
212,МБДОУ ДС №1,128.0,,Муниципальная,128.0
213,МБДОУ ДС №11,140.0,,Муниципальная,140.0
214,МБДОУ ДС №12,103.0,,Муниципальная,103.0
215,МБДОУ ДС №14,153.0,,Муниципальная,153.0
216,МБДОУ ДС №15,103.0,,Муниципальная,103.0
217,МБДОУ ДС №17,153.0,,Муниципальная,153.0
218,МБДОУ ДС №19,241.0,,Муниципальная,241.0
219,МБДОУ ДС №2,145.0,,Муниципальная,145.0
220,МБДОУ ДС №20 Соколенок ,422.0,,,
221,МБДОУ ДС №21,353.0,,Муниципальная,353.0
222,МБДОУ ДС №25 Лучик,465.0,,,
223,МБДОУ ДС №29,129.0,,Муниципальная,129.0
224,МБДОУ ДС №3,240.0,,Муниципальная,240.0
225,МБДОУ ДС №31,491.0,,Муниципальная,491.0
226,МБДОУ ДС №33,148.0,,Муниципальная,148.0
227,МБДОУ ДС №35,331.0,,Муниципальная,331.0
228,МБДОУ ДС №4,147.0,,Муниципальная,147.0
229,МБДОУ ДС №40,184.0,,Муниципальная,184.0
230,МБДОУ ДС №41,255.0,,Муниципальная,255.0
231,МБДОУ ДС №42,265.0,,Муниципальная,265.0
232,МБДОУ ДС №45 Островок,369.0,,,
233,МБДОУ ДС №47,400.0,,Муниципальная,400.0
234,МБДОУ ДС №53,289.0,,Муниципальная,289.0
235,МБДОУ ДС №56,268.0,,Муниципальная,268.0
236,МБДОУ ДС №6 Горянка,171.0,,,
237,МБДОУ ДС №60,232.0,,Муниципальная,232.0
238,МБДОУ ДС №63,448.0,,Муниципальная,448.0
239,МБДОУ ДС №65,248.0,,Муниципальная,248.0
240,МБДОУ ДС №72,347.0,,Муниципальная,347.0
241,МБДОУ ДС №73,238.0,,Муниципальная,238.0
242,МБДОУ ДС №75,242.0,,Муниципальная,242.0
243,МБДОУ ДС №76,295.0,,Муниципальная,295.0
244,МБДОУ ДС №77 Тюльпан МКР М5,411.0,,,
245,МБДОУ ДС №8,283.0,,Муниципальная,283.0
246,МБДОУ ДС №83,189.0,,Муниципальная,189.0
247,МБДОУ ДС №88,249.0,,Муниципальная,249.0
248,МБДОУ ДС №9,241.0,,Муниципальная,241.0
249,МБДОУ ДС №90,219.0,,Муниципальная,219.0
250,МБДОУ ДС №91,134.0,,Муниципальная,134.0
251,МБДОУ ДС №93,156.0,,Муниципальная,156.0
252,МБДОУ ДС №94,181.0,,Муниципальная,181.0
253,МБДОУ ДС №95,245.0,,Муниципальная,245.0
254,МБДОУ ДС №96,104.0,,Муниципальная,104.0
255,МБДОУ ЦРРДС №22,211.0,,,
256,МБДОУ ЦРРДС №30,197.0,,,
257,МБДОУ ЦРРДС №34,236.0,,,
258,МБДОУ ЦРРДС №37,448.0,,,
259,МБДОУ ЦРРДС №38,376.0,,,
260,МБДОУ ЦРРДС №39,374.0,,,
261,МБДОУ ЦРРДС №43,379.0,,,
262,МБДОУ ЦРРДС №44,290.0,,,
263,МБДОУ ЦРРДС №49,596.0,,,
264,МБДОУ ЦРРДС №50,427.0,,,
265,МБДОУ ЦРРДС №59,352.0,,,
266,МБДОУ ЦРРДС №62,365.0,,,
267,МБДОУ ЦРРДС №69,296.0,,,
268,МБДОУ ЦРРДС №7,526.0,,,
269,МБДОУ ЦРРДС №70,277.0,,,
270,МБДОУ ЦРРДС №81,461.0,,,
271,МБДОУ ЦРРДС №84,229.0,,,
272,МБДОУ ЦРРДС №85,332.0,,,
273,МБДОУ ЦРРДС №86,344.0,,,
274,МБДОУ ЦРРДС №87,452.0,,,
275,МБОУ Начальная школа  детский сад № 78,300.0,,,
276,МБОУ Начальная школа  детский сад №27,215.0,,,
277,МБОУ Начальная школа  детский сад №52,229.0,,,
278,МБОУ Начальная школадетский сад №71,468.0,,,
279,МБОУ Прогимназия №66,226.0,,Муниципальная,226.0
280,МБОУ Прогимназия №68,197.0,,Муниципальная,197.0
281,МБУ Специализированный центр для детей и подростков с компенсационными потребностями,,,,
282,МКОУ Гимназия № 2 им.А.Сайтиева ГКП деят.приост.,75.0,,,
283,МКОУ Гимназия № 3 ГКП деят.приост.,75.0,,,
284,МКОУ СОШ № 19 ГКП деят.приост.,80.0,,,
285,МКОУ СОШ № 2ГКП деят.приост.,16.0,,,
286,МКОУ СОШ № 7 им. Алибекова ГКП деят.приост.,0.0,,,
287,МКОУ СОШ № 9 ГКП деят.приост.,33.0,,,
288,МКОУ Гимназия им. М. Горького ГКП деят.приост.,8.0,,,
289,МКОУ СОШ № 10 им. Исмаилова ГКП деят.приост.,60.0,,,
290,МКОУ СОШ № 11  ГКП деят.приост.,50.0,,,
291,МКОУ СОШ № 12 им. Л.Толстого ГКП деят.приост.,60.0,,,
292,МКОУ СОШ № 14 ГКП деят. приост.,0.0,,,
293,МКОУ СОШ № 15 ГКП деят.приост.,0.0,,,
294,МКОУ СОШ № 17 ГКП деят.приост.,75.0,,,
295,МКОУ СОШ № 4 ГКП деят.приост.,0.0,,,
296,МКОУ СОШ № 5 ГКП деят. приост,0.0,,,
297,МКОУ СОШ № 8 ГКП деят.приост.,30.0,,,
298,МКДОУ ДС № 1 Теремок г.Хасавюрт,97.0,,,
299,МКДОУ ДС № 2 Колокольчик г.Хасавюрт,88.0,,,
300,МКДОУ ДС № 3 Берзка г.Хасавюрт,192.0,,,
301,МКДОУ ДС № 4 Звздочка г.Хасавюрт,357.0,,,
302,МКДОУ ДС № 5 Алнушка г.Хасавюрт,217.0,,,
303,МКДОУ ДС № 7 Улыбка ,323.0,,,
304,МКДОУ Прогимназия 9 Ручек,193.0,,,
305,МКДОУ ЦРР Детский сад № 8 Крепыш,225.0,,Муниципальная,225.0
306,МКОУ Детский сад №11 Светлячок пос. Бальюрт ,323.0,,,
307,МКОУ Прогимназия № 6 Ивушка,360.0,,,
308,МКОУ прогимназия №10 Сказка,244.0,,Муниципальная,244.0
309,МКУДО Детский сад №2 Ивушка г.ЮжноСухокумск,205.0,,,
310,МКУДО Детский сад №3 Ромашка г.ЮжноСухокумск,190.0,,,
311,МКУДО Детский сад №5 Солнышко г.ЮжноСухокумск,206.0,,,
312,МКОУ Чалдинская СОШ дошк. группы,11.0,,,
313,МКДОУ ДС Дюймовочка с. Кудутль,34.0,,,
314,МКДОУ ДС Ласточка с. Могох,32.0,,,
315,МКДОУ ДС Малыш с. Гергебиль,121.0,,,
316,МКДОУ ДС Нур с. Курми,67.0,,,
317,МКДОУ ДС Радуга с. Хвартикуни,26.0,,,
318,МКДОУ ДС Ромашка с.Кикуни,145.0,,,
319,МКДОУ ДС Солнышко с.Гергебиль ,320.0,,,
320,МКДОУ ДС Теремок с. Маали,45.0,,,
321,МКДОУ ДС Улыбка с.Кикуни,141.0,,,
322,МКДОУ ДС Чебурашка с.Аймаки,50.0,,,
323,МКДОУ Яслисад Пикачо с.Мурада,15.0,,,
324,МКОУ Данухская СОШ дошк. гр. деят. приост,0.0,,,
325,дс при МКОУ Аргванинская СОШ дошк. гр.,4.0,,,
326,МКОУ Арадирихская СОШ дошк. гр.,15.0,,,
327,МКОУ ВАрадерихская НОШ дошк. гр.,6.0,,,
328,МКОУ Верхнеинховская СОШ дошк. гр.,20.0,,,
329,МКОУ Ингишинская СОШ  дошк. гр.,17.0,,,
330,МКОУ Кунзахская ООШ дошк. гр.,17.0,,,
331,МКОУ Тантаринская НОШ дошк. гр.,15.0,,,
332,МКОУ Цанатлинская ООШ дошк. гр.,8.0,,,
333,МКДОУ Детский сад Колобок с.НовоАргвани,69.0,,,
334,МКДОУ Детский сад Ласточка с.Тлярата,28.0,,,
335,МКДОУ Детский сад Радуга с.Чирката,95.0,,,
336,МКДОУ Детский сад Ромашка с.Игали,112.0,,,
337,МКДОУ Детский сад Соколенок с.Цилитль,19.0,,,
338,МКДОУ Детский сад Солнышко с.Мехельта,140.0,,,
339,МКДОУ Детский сад Улыбка с.Н.Инхо,41.0,,,
340,МКДОУ Детский сад Чебурашка с. Килятль,49.0,,,
341,МКДОУ  Детский сад № 2 с. Бухты,23.0,,,
342,МКДОУ Детский сад № 3 с.Гуниб,92.0,,,
343,МКДОУ Детский сад №1 с.Бацада,46.0,,,
344,МКДОУ Детский сад №10 с.Мегеб,35.0,,,
345,МКДОУ Детский сад №12 с. Ругуджа,20.0,,,
346,МКДОУ Детский сад №13 с.Салта,11.0,,,
347,МКДОУ Детский сад №15 с.Согратль,37.0,,,
348,МКДОУ детский сад №16 с. Унты,15.0,,,
349,МКДОУ Детский сад №17 с. Хиндах,67.0,,,
350,МКДОУ Детский сад №18 с.Хоточ,61.0,,,
351,МКДОУ Детский сад №19 с. Чох,22.0,,,
352,МКДОУ Детский сад №20 с.ЧохКоммуна,33.0,,,
353,МКДОУ Детский сад №21 с. Шулани,21.0,,,
354,МКДОУ Детский сад №4 с. Гонода,30.0,,,
355,МКДОУ Детский сад №5 с. Кегер,18.0,,,
356,МКДОУ Детский сад №6 с.Корода,35.0,,,
357,МКДОУ Детский сад №7 с. Кудали,22.0,,,
358,МКДОУ Детский сад №8 с.Нижний Гуниб,35.0,,,
359,МКДОУ Детский сад №9 с.Нижний Кегер,15.0,,,
360, МКОУ Ирагинская  СОШ гкп,20.0,,,
361, МКОУ Калкнинская  СОШ гкп,20.0,,,
362, МКОУ Морская СОШ гкп,21.0,,,
363, МКОУ Дибгашинская СОШ гкп,14.0,,,
364, МКОУ Новоуркарахская СОШ гкп,16.0,,,
365, МКОУ Трисанчинская СОШ гкп,20.0,,,
366,МБДОУ Кищинский детский сад Радуга,70.0,,,
367,МБДОУ Меусишинская НОШ ДС,65.0,,,
368,МБДОУ ОВ  Детский сад  Солнышко,150.0,,,
369,МБДОУ ОВ Детский сад №1,52.0,,,
370,МБДОУ ОВ Детский сад №2,69.0,,,
371,МКДОУ Детский яслисад №2 с. Уркарах,69.0,,,
372,МКДОУ ДС №1 с. Уркарах,52.0,,Муниципальная,52.0
373,МКДОУ Кубачинская школасад НОШ пгт. Кубачи,40.0,,,
374,МКДОУ ОВ Детский сад Солнышко с. Уркарах ,150.0,,,
375,МКДОУ Олимп с.Меусеша  ,65.0,,,
376,МКДОУ Радуга с.Кища,70.0,,,
377,МКОУ Уркарахсая начальная школа  детский сад им. Р.Рамазанова ,62.0,,,
378,МБДОУ Детский сад Малыш с. Хазар,85.0,,,
379,МБДОУ ДС №1 с.Хазар,202.0,,Муниципальная,202.0
380,МБДОУ ДС Сказка пгт. Мамедкала 40 м. ,67.0,,,
381,МКДОУ Детский сад  с. Татляр,92.0,,Муниципальная,92.0
382,МКДОУ ДС  Юлдуз  пгт.Мамедкала,174.0,,,
383,МКДОУ ДС №1 Росинка с.Берикей,159.0,,,
384,МКДОУ ДС №1 Улыбка с.Геджух,193.0,,,
385,МКДОУ ДС №2 Ягодка с.Геджух,215.0,,,
386,МКДОУ ДС Айгюн с. Белиджи ,115.0,,,
387,МКДОУ ДС Ална пгт. Белиджи,52.0,,,
388,МКДОУ ДС Звездочка с. Сабнова ,101.0,,,
389,МКДОУ ДС им. Бабаева Г.О. с.Салик,158.0,,,
390,МКДОУ ДС Клубничка с.Уллутеркеме,76.0,,,
391,МКДОУ ДС Колосок с.Деличобан,91.0,,,
392,МКДОУ ДС Ласточка с.Джемикент,90.0,,,
393,МКДОУ ДС Ласточка с.Чинар,159.0,,,
394,МКДОУ ДС с. Великент,74.0,,Муниципальная,74.0
395,МКДОУ ДС Севиндж с.Падар ,92.0,,,
396,МКДОУ ДС Солнышко с.Кала,82.0,,,
397,МКДОУ ДС Чебурашка пгт. Белиджи,78.0,,,
398,МКОУ Школасад им.Курбанова С.Д с.Н.Джалган,84.0,,,
399,МКОУ Микрахказмалярская СОШ гкп деят. приост.,0.0,,,
400,МКДОУ Венера с.Микрах деят. приост.,0.0,,,
401,МКДОУ Звездочка с. Авадан  на кап. рем.,0.0,,,
402, МКОУ Аваданская СОШ гкп,51.0,,,
403, МКОУ Каракюринская СОШ гкп,11.0,,,
404, МКОУ Курушская СОШ гкп,13.0,,,
405,МКДОУ  Детский сад Аленушка с.Новокаракюре,79.0,,,
406,МКДОУ  Детский сад Бахча с. Килер,101.0,,,
407,МКДОУ Детский сад Солнышко с.Мискинджа,60.0,,,
408,МКДОУ Детский сад Ласточка с.Усухчай ,111.0,,,
409,МКОУ Гертминская СОШ им. Абдулмуслимова М.А. ГКП реконстр.,14.0,,,
410, МКОУ Калининаульская СОШ имени Героя России Гайирханова М.М. ГКП,34.0,,,
411, МКОУ Ленинаульская  СОШ №1  имени Героя СССР Х.Нурадилова гкп,34.0,,,
412, МКОУ Гимназия Культуры мира с.Гуни гкп,13.0,,,
413,МКДОУ Дс №1 Ромашка пгт.Дубки,160.0,,,
414,МКДОУ Дс №2 Солнышко пгт.Дубки,143.0,,,
415,МКДОУ Дс Колокольчик Калининаул,205.0,,,
416,МКДОУ Дс Ласточка с.Хубар,80.0,,,
417,МКДОУ Дс Лачен с.Гертма,80.0,,,
418,МКДОУ Дс общеразвивающего вида №2 Светлячок с.Дылым,166.0,,,
419,МКДОУ Дс Солнышко с.Инчха,135.0,,,
420,МКДОУ Дс Улыбка с.Гуни,143.0,,,
421,МКДОУ Дс Чебурашка с.Ленинаул,170.0,,,
422,МКДОУ Детский сад  Колобок с.Алмак,75.0,,,
423,МКДОУ Детский сад имени  Гаджи Махачева,70.0,,,
424,МКДОУ Детский сад Радуга с.Ленинаул ,255.0,,,
425,МКДОУ ЦРР  Дс №1 Сказка с.Дылым,292.0,,,
426,МКДОУ ЦРР Детский сад №3 Журавушка с.Дылым,292.0,,,
427,МКОУ Сурхачинская СОШ ГКП деят. приост.,0.0,,,
428,МКДОУ ДС №1  Улыбка с. Маджалис,119.0,,,
429,МКДОУ ДС №2 Родничок с.Маджалис,148.0,,,
430,МКДОУ ДС №3 Ручеек с.Маджалис,146.0,,,
431,МКДОУ ДС №4 Светлячок с. Янгикент,22.0,,,
432,МКДОУ ДС №5 Ромашка с.Маджалис ,132.0,,,
433,МКДОУ ДС №1 Солнышко с.Карабудахкент кап.рем.,19.0,,,
434,МБДОУ Детский сад №10 Чебурашка пгт.Манас,196.0,,,
435,МБДОУ Детский сад №11 Ласточка с.Манаскент,126.0,,,
436,МБДОУ Детский сад №18 Ясмина с. Н.Параул,120.0,,,
437,МБДОУ Детский сад №20 Счастливый малыш с.Агачаул,120.0,,,
438,МБДОУ Детский сад №22 Замок детства с.Гурбуки ,150.0,,,
439,МБДОУ Детский сад №23 Страна чудес с.Гурбуки ,150.0,,,
