Наименование;Юридическое наименование;ИНН;Телефон;Юридический адрес
"ГКОУ РД ""НОВОТАНУСИНСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОТАНУСИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ХУНЗАХСКОГО РАЙОНА""";0534029743;8 (928) 972-40-09;368025, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ХАСАВЮРТОВСКИЙ, СЕЛО ПЯТИЛЕТКА
"ГКОУ РД ""СОГРАТЛИНСКАЯ СОШ ГУНИБСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""СОГРАТЛИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГУНИБСКОГО РАЙОНА""";0510009025;8 (888) 888-88-88;368354, ДАГЕСТАН РЕСП, ГУНИБСКИЙ, С СОГРАТЛЬ, Д
"ГКОУ РД ""КРАСНОСЕЛЬСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КРАСНОСЕЛЬСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ХУНЗАХСКОГО РАЙОНА""";0516008469;8 (928) 502-01-01;368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, Г.ЦАДАСА УЛ, 4, А
"ГКОУ РД ""АХТИНИНСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""АХТИНИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ХУНЗАХСКОГО РАЙОНА""";0516008476;8 (928) 059-77-71;368110, ДАГЕСТАН РЕСП, КИЗИЛЮРТОВСКИЙ , С АКНАДА, Д
"ГКОУ РД ""САМИЛАХСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""САМИЛАХСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ХУНЗАХСКОГО РАЙОНА""";0516008490;8 (928) 579-08-29;368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, Г.ЦАДАСА УЛ, ДОМ 14
"ГКОУ РД ""АРАДИНСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА ИМ. ГАЛБАЦОВА Г.К.""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""АРАДИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ХУНЗАХСКОГО РАЙОНА ИМ. ГАЛБАЦОВА Г.К.""";0516008525;8 (928) 571-29-20;368083, ДАГЕСТАН РЕСП, КУМТОРКАЛИНСКИЙ Р-Н, АДЖИДАДА С, ШКОЛЬНАЯ УЛ, ДОМ 1
"ГКОУ РД ""ДАРАДА-МУРАДИНСКИЙ ЛИЦЕЙ ГЕРГЕБИЛЬСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ДАРАДА-МУРАДИНСКИЙ ЛИЦЕЙ ГЕРГЕБИЛЬСКОГО РАЙОНА""";0552004438;8 (928) 680-28-18;368083, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН КУМТОРКАЛИНСКИЙ, СЕЛО АДЖИДАДА
"ГКОУ РД ""КАЗИЮРТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА АХВАХСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КАЗИЮРТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА АХВАХСКОГО РАЙОНА""";0503005870;8 (929) 865-02-88;368990, ДАГЕСТАН РЕСП, АХВАХСКИЙ Р-Н, КАРАТА С, БОКОХИНСКАЯ УЛ, ДОМ 35
"ГКОУ РД ""ПЕРВОМАЙСКАЯ СОШ ГУМБЕТОВСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ПЕРВОМАЙСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГУМБЕТОВСКОГО РАЙОНА""";0505008210;8 (928) 961-94-49;368930, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, ШАБДУХ С, ЦЕНТРАЛЬНАЯ УЛ, ДОМ 35
"ГКОУ РД ""ТЕЛЬМАНСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ТЕЛЬМАНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""";0505008266;8 (928) 831-92-00;368424, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ГАГАР, УЛИЦА ГАГАРСКАЯ, ДОМ 1
"ГКОУ РД ""УЧТЮБИНСКАЯ ООШ КАЗБЕКОВСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""УЧТЮБИНСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА КАЗБЕКОВСКОГО РАЙОНА""";0505007921;8 (928) 500-82-92;368146, ДАГЕСТАН РЕСП, КАЗБЕКОВСКИЙ , С БУРТУНАЙ, Д
"ГКОУ РД ""ИНДИРАНСКАЯ СОШ АХВАХСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ИНДИРАНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА АХВАХСКОГО РАЙОНА""";0505008153;8 (928) 961-62-04;368995, ДАГЕСТАН РЕСП, АХВАХСКИЙ Р-Н, АНЧИХ С, АНЧИХСКАЯ УЛ, ДОМ 2
"ГКОУ РД ""ХАМЗАЮРТОВСКИЙ ЛИЦЕЙ КАЗБЕКОВСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ХАМЗАЮРТОВСКИЙ ЛИЦЕЙ КАЗБЕКОВСКОГО РАЙОНА""";0505007872;8 (888) 888-88-87;368146, ДАГЕСТАН РЕСП, КАЗБЕКОВСКИЙ Р-Н, БУРТУНАЙ С, ул
"ГКОУ РД ""ДЖУРМУТСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ДЖУРМУТСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""";0532140993;8 (967) 939-00-20;368425, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ГЕРЕЛЬ
"ГКОУ РД ""ДАХАДАЕВСКАЯ ООШ ТЛЯРАТИНСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ДАХАДАЕВСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""";0532140961;8 (928) 563-11-06;368425, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, ЧОРОДА С, АБДУСАЛАМА МАГОМЕДОВА УЛ, ДОМ 13
"ГКОУ РД ""ОРДЖОНИКИДЗЕВСКАЯ ООШ ТЛЯРАТИНСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ОРДЖОНИКИДЗЕВСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""";0532141122;8 (988) 799-88-23;368420, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, ГВЕДЫШ С, Т. РАМАЗАНОВА УЛ, ДОМ 75
"ГКОУ РД ""АКАРИНСКАЯ ООШ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""АКАРИНСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ХУНЗАХСКОГО РАЙОНА""";0516008606;8 (903) 427-03-64;368111, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН КИЗИЛЮРТОВСКИЙ, СЕЛО ЧОНТАУЛ
"ГКОУ РД ""САНГАРСКАЯ СОШ ЛАКСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""САНГАРСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ЛАКСКОГО РАЙОНА""";0505007914;8 (928) 520-58-35;368367, ДАГЕСТАН РЕСП, ЛАКСКИЙ Р-Н, КАМАХАЛ С, ул
"ГКОУ РД ""НОВОХЕЛЕТУРИНСКАЯ СОШ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОХЕЛЕТУРИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА БОТЛИХСКОГО РАЙОНА""";0505008410;8 (872) 267-84-50;368989, ДАГЕСТАН РЕСП, БОТЛИХСКИЙ Р-Н, ХЕЛЕТУРИ С, д
"ГКОУ РД ""НОВОБОРЧИНСКАЯ СОШ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОБОРЧИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА РУТУЛЬСКОГО РАЙОНА""";0505008114;8 (967) 406-33-12;368700, ДАГЕСТАН РЕСП, РУТУЛЬСКИЙ Р-Н, НОВЫЙ БОРЧ С, ДОМ ПЕРЕУЛОК ШКОЛЬНЫЙ 1
"ГКОУ РД ""КАЛЬЯЛСКАЯ СОШ РУТУЛЬСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КАЛЬЯЛСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА РУТУЛЬСКОГО РАЙОНА""";0505008121;;368700, ДАГЕСТАН РЕСП, РУТУЛЬСКИЙ Р-Н, КАЛЬЯЛ С, ДОМ ВЕРХНЯЯ 1
"ГКОУ РД ""КАРАТЮБИНСКАЯ ООШ ТЛЯРАТИНСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КАРАТЮБИНСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""";0505007992;8 (928) 978-97-06;368422, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, ХИНДАХ С, ИМАМА ШАМИЛЯ УЛ, ДОМ 60
"ГКОУ РД ""НОВОТИНДИНСКАЯ СОШ ЦУМАДИНСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОТИНДИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ЦУМАДИНСКОГО РАЙОНА""";0505008450;8 (965) 493-77-55;368067, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ЦУМАДИНСКИЙ, СЕЛО ШАВА
"ГКОУ РД ""КИРОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КИРОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ  ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""";0532140986;8 (963) 411-87-62;368425, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, ИБРАГИМОТАР НП, ГИНДИБСКАЯ УЛ, ДОМ 26
"ГКОУ РД ""СПОРТШКОЛА-ИНТЕРНАТ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""СПОРТШКОЛА-ИНТЕРНАТ""";0544002532;8 (988) 781-80-51;368000, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД ХАСАВЮРТ, Улица ВОЛЧАНОВСКИЙ САД, 1
"ГКОУ РД ""ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА-ИНТЕРНАТ С. БОТЛИХ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА-ИНТЕРНАТ С. БОТЛИХ""";0506064739;8 (988) 637-66-48;368971, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БОТЛИХСКИЙ, СЕЛО БОТЛИХ 1 (МИКРОРАЙОН), УЛИЦА ИМАМА ГАЗИМАГОМЕДА, ДОМ 89
"ГКОУ РД ""УМЦ по ГО и ЧС""";"Государственное казенное образовательное учреждение Республики Дагестан ""Учебно-методический центр по гражданской обороне и чрезвычайным ситуациям""";0562075893;8 (8722) 62-95-94;367020, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД МАХАЧКАЛА, МИКРОРАЙОН КАРАМАН-5
"ГКОУ РД ""МАЗАДИНСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ  РЕСПУБЛИКИ ДАГЕСТАН ""МАЗАДИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""";0532140873;8 (960) 409-64-71;368422, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО МАЗАДА
"ГКОУ РД ""РЦДОДИ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""РЕСПУБЛИКАНСКИЙ ЦЕНТР ДИСТАНЦИОННОГО ОБУЧЕНИЯ ДЕТЕЙ-ИНВАЛИДОВ""";0562076449;8 (8722) 67-40-88;367015, ДАГЕСТАН РЕСП, МАХАЧКАЛА Г, АСКЕРХАНОВА УЛ, 3
"ГКОУ РД ""НАНИБИКАНСКАЯ СОШ ГУМБЕТОВСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НАНИБИКАНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГУМБЕТОВСКОГО РАЙОНА""";0509105454;8 (929) 050-13-06;368921, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, НАНИБИКА С, д
"ГКОУ РД ""НОВОГАГАРСКАЯ ООШ ТЛЯРАТИНСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОГАГАРСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""";0532141130;;368424, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ГАГАР, УЛИЦА ГАГАРСКАЯ, ДОМ 1
"ГКОУ РД ""ООШ БОТЛИХСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ОСНОВНАЯ  ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА БОТЛИХСКОГО РАЙОНА""";0506063647;8 (928) 200-84-24;368984, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БОТЛИХСКИЙ, СЕЛО ГАГАТЛИ, 0
"ГКОУ РД ""ЛЬВОВСКАЯ НОШ АКУШИНСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ЛЬВОВСКАЯ НАЧАЛЬНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА АКУШИНСКОГО РАЙОНА""";0505008185;8 (928) 800-92-31;368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, Г.ЦАДАСА УЛ, 4
"ГКОУ РД ""НАРЫШСКАЯ ООШ ГУМБЕТОВСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НАРЫШСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГУМБЕТОВСКОГО РАЙОНА""";0509105510;8 (928) 545-95-44;368930, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, НАРЫШ С, ул
"ГКОУ РД ""НОВОДАНУХСКАЯ СОШ ГУМБЕТОВСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОДАНУХСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГУМБЕТОВСКОГО РАЙОНА";0509006774;8 (988) 645-98-88;368930, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, ДАНУХ С, д
"ГКОУ РД ""Ретлобская СОШ Цунтинского района""";"Государственное казенное общеобразовательное учреждение Республики Дагестан ""Ретлобская средняя общеобразовательная школа Цунтинского района""";0546023094;;368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, МАЛАГУСЕЙНОВА УЛ, ДОМ 72, КВАРТИРА КАБИНЕТ №4
"ГКОУ РД ""УРГУЛАЙСКАЯ ООШ ЦУМАДИНСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""УРГУЛАЙСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ЦУМАДИНСКОГО РАЙОНА""";0505007978;8 (909) 484-90-54;368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, МАЛАГУСЕЙНОВА УЛ, ДОМ 72
"ГКОУ РД ""ШАНГОДИНСКО-ШИТЛИБСКАЯ СОШ ГУНИБСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ШАНГОДИНСКО-ШИТЛИБСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГУНИБСКОГО РАЙОНА""";0510009554;8 (888) 888-88-88;368355, ДАГЕСТАН РЕСП, ГУНИБСКИЙ Р-Н, ШАНГОДА С, Д
"ГКОУ РД ""АРКИДИНСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ  РЕСПУБЛИКИ ДАГЕСТАН ""АРКИДИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ХУНЗАХСКОГО РАЙОНА""";0534034052;8 (964) 052-79-92;368015, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ХАСАВЮРТОВСКИЙ, СЕЛО КАЗМААУЛ, УЛИЦА МОЛОЧНАЯ, ДОМ 4
