Наименование ДОО;Январь;Итог
 МКОУ 'Икринская СОШ-интернат им. З.Л.Батманова'(ГКП);;
 МКОУ 'Моллакентская СОШ' (ГКП);10;
 МКОУ 'Усугская СОШ' (ГКП);7;
 МКОУ 'Хпеджская СОШ (гкп) ;;
 МКОУ 'Хпюкская СОШ' (гкп);15;
МКДОУ Аладашский детский сад Аленушка;30;
МКДОУ Ашарская СОШ - детский сад Радуга;14;
МКДОУ Гельхенская СОШ - детский сад 'Родничок';15;
МКДОУ Икринский детский сад Мечта;45;
МКДОУ Кабирский детский сад Улыбка;39;
МКДОУ Кумукская СОШ- детский сад 'Кард';27;
МКДОУ 'Курахская СОШ №1-детский сад 'Гияр' (№3);35;
МКДОУ Курахский детский сад №1 Солнышко;70;
МКДОУ Курахский детский сад №2 Аленушка;70;
МКДОУ Кучхюрская СОШ - детский сад 'Заря';23;
МКДОУ Моллакентский детский сад Ласточка;45;
МКДОУ Хвереджская СОШ - детский сад 'Сказка';9;
МКДОУ Шимихюрская СОШ- детский сад 'Орленок';30;
МКОУ Уринская ООШ» (ГКП) деят. приост;0;
 МКОУ «Кубинская ООШ» (ГКП);8;
 МКОУ «Курклинская СОШ» (ГКП);6;
 МКОУ «Унчукатлинская СОШ» (гкп);8;
 МКОУ «Хурхинская СОШ» (ГКП);13;
 МКОУ «Чуртахская ООШ» (ГКП);8;
 МКОУ «Шаринская СОШ» (ГКП);8;
МКДОУ 'Детский сад 'Солнышко' с.Кумух (60 м.) ;60;
МКДОУ Кумухский д/сад;109;
МКДОУ 'Детский сад 'Львенок', с.Кутиша;79;
МКДОУ ДС  'Журавлик', с. Карлабко;45;
МКДОУ ДС ' Золотой луг', с.Леваши ;90;
МКДОУ ДС  'Ласточка', с.Н.Чугли (60 м.)  ;40;
МКДОУ ДС  'Ручеек', с.Хахита ;55;
МКДОУ ДС №1 'Солнышко', с.Леваши;265;
МКДОУ ДС №2 'Радуга',  с.Леваши;162;
МКДОУ ДС №3 'Сказка', с.Леваши ;55;
МКДОУ ДС №4 'Снежинка', с.Леваши ;64;
МКДОУ ДС 'Березка', с.Арада-Чугли;69;
МКДОУ ДС 'Дубурлан', с.В.Лабкомахи (40 м.) ;42;
МКДОУ ДС 'Звездочка', с.Урма-;80;
МКДОУ ДС 'Ласточка с.Мекеги  + (120 м.) ;121;
МКДОУ ДС 'Непоседа', с. Джангамахи (40 м.) ;39;
МКДОУ ДС 'Орленок', с. Урма;80;
МКДОУ ДС 'Радость', с.Урма ;77;
МКДОУ ДС 'Райские птички', с. Хахита ;74;
МКДОУ ДС 'Родничок, с.Куппа (40 м.) ;40;
МКДОУ ДС 'Ромашка', с.Какамахи;60;
МКДОУ ДС 'Соколенок', с.Кулецма;80;
МКДОУ ДС 'Теремок', с.Кутиша;65;
МКДОУ ДС 'Улыбка', с. Хаджалмахи ;157;
МКДОУ ДС 'Чебурашка, с.Карекадани (40 м.) ;35;
МКОУ 'Аялакабская СОШ-сад', с. Аялакаб;17;
МКОУ 'Азадоглынская СОШ' (ГКП) деят.приост.;18;
МКОУ 'Гарахская ООШ' (ГКП) деят.приост;0;
МКОУ 'Картасказмалярская СОШ' (ГКП) деят.приост.;19;
МКОУ 'Киркинская СОШ им. Аликберова Г.А.' (ГКП) деят.приост.;8;
МКОУ 'Мугерганская СОШ' (ГКП) деят.приост.;9;
МКОУ 'Оружбинская СОШ' (ГКП) деят.приост.;24;
МКОУ 'Приморская ООШ' (ГКП)  деят. приост.;0;
МКОУ 'Советская СОШ' (ГКП) деят.приост.;30;
МКОУ 'Тагиркентская ООШ' (ГКП) деят.приост.;7;
МКОУ 'Хорельская СОШ' (ГКП) деят.приост.;10;
МКОУ 'Целегюнская СОШ' (ГКП) деят.приост.;11;
 МКОУ  'Гапцахская СОШ им. Т.Н.Нагиева' (ГКП);23;
 МКОУ 'Билбильская СОШ им. М.Абдуллаева' (ГКП);28;
 МКОУ 'Бут-Казмалярская СОШ' (ГКП);32;
 МКОУ 'Гильярская СОШ' (ГКП);21;
 МКОУ 'Джепельская ООШ' (ГКП);9;
 МКОУ 'Капирказмалярская СОШ' (ГКП);32;
 МКОУ 'Кличханская ООШ' (ГКП);4;
 МКОУ 'Куйсунская СОШ' (ГКП);28;
 МКОУ 'Кчунказмалярская СОШ' (ГКП);15;
 МКОУ 'Магарамкентская СОШ №1 им. М.Гаджиева' (гкп);44;
 МКОУ 'Магарамкентская СОШ №2' (ГКП);14;
 МКОУ 'Новоаульская СОШ им. Исмаилова Т.' (ГКП);34;
 МКОУ 'Самурская СОШ' (ГКП);45;
 МКОУ 'Тагиркент-казмалярская СОШ' (ГКП);28;
 МКОУ 'Филялинская СОШ' (ГКП);21;
 МКОУ 'Ходжаказмалярская СОШ им. М.К.Казиева' (ГКП);7;
 МКОУ 'Хутунказмалярская ООШ' (ГКП);24;
 МКОУ 'Чахчах-Казмалярская СОШ им. М.М.Мерзаметова' (ГКП);28;
 МКОУ 'Ярагказмалярская СОШ им. М.Ярагского' (ГКП);42;
 МКОУ 'Ярукваларская основная общеобразовательная школа' (ГКП);6;
МКДОУ ДС 'Алёнушка', с.Филя;91;
МКДОУ ДС 'Билбил', с.Билбиль;43;
МКДОУ ДС 'Буратино, с.Куйсун;60;
МКДОУ ДС 'Дюймовочка', с.Картасказмаляр;50;
МКДОУ ДС 'Звездочка', с.Тагиркент-Казмаляр;20;
МКДОУ ДС 'Золушка', с.Бут;65;
МКДОУ ДС 'Колобок', с.Кирка;61;
МКДОУ ДС 'Красная шапочка', с.Советское;65;
МКДОУ ДС 'Ласточка', с.Советское;113;
МКДОУ ДС 'Лесная', с.Самур;20;
МКДОУ ДС 'Радуга', с.Гильяр;60;
МКДОУ ДС 'Родничок', с.Азадоглы;25;
МКДОУ ДС 'Ромашка', с.Новый Аул;26;
МКДОУ ДС 'Русалочка', с.Приморское ;44;
МКДОУ ДС 'Сказка', с.Гапцах;117;
МКДОУ ДС 'Соколенок', с.Тагиркент-Казмаляр;70;
МКДОУ ДС 'Солнышко', с.Магарамкент;251;
МКДОУ ДС 'Теремок', с.Магарамкент;83;
МКДОУ ДС 'Улыбка', с.Ярагказмаляр;134;
МКДОУ ДС 'Чебурашка', с.Оружба;62;
МКОУ «Тухчарская СОШ №1» (ГКП) деят. приост.;0;
 МКОУ «Банайюртовская СОШ» (ГКП);21;
 МКОУ «Барчхойотарская СОШ» (ГКП);28;
 МКОУ «Гамияхская СОШ №2» (ГКП);16;
 МКОУ «Гамияхская СОШ» (ГКП);4;
 МКОУ «Дучинская СОШ № 2» (ГКП);10;
 МКОУ «Новокулинская СОШ №2» им Аметхана Султана (ГКП);46;
 МКОУ «Новолакская СОШ №1» (гкп);15;
 МКОУ «Новомехельтинская СОШ» (ГКП);1;
 МКОУ «Новочуртахская СОШ №1» (ГКП);14;
 МКОУ «Новочуртахская СОШ №2» (ГКП);24;
 МКОУ «Тухчарская ООШ» (ГКП);27;
 МКОУ «Чапаевская СОШ №1» (ГКП);9;
 МКОУ «Чаравалинская СОШ» (ГКП);18;
 МКОУ «Шушинская СОШ» (ГКП);8;
 МКОУ «Ямансуйская СОШ» (ГКП);30;
 МКОУ 'Ахарская СОШ' (ГКП);7;
 МКОУ 'Гамияхская СОШ №1' (ГКП);18;
 МКОУ 'Новокулинская СОШ №1' (гкп);13;
 МКОУ 'Тухчарская СОШ' (ГКП);5;
~МКДОУ Детский сад 'Дюймовочка', с. Новокули (дошк. гр. при  МОУ Новокули СОШ №1);54;
МБДОУ Детский сад 'Буратино', с.Новолакское;215;
МКДОУ 'Детский сад 'Радуга №1', с.Новочуртах (Новострой) ;115;
МКДОУ Детский сад 'Радуга', с.Новочуртах;85;
МКДОУ 'Детский сад 'Сказка' с.Новолакское ;165;
МКДОУ Детский сад 'Солнышко', с.Чапаево +;195;
МКДОУ ДС «Айсылув», с.Терекли-Мектеб;98;
МКДОУ ДС «Алтын Кус», с.Карагас;78;
МКДОУ ДС «Алтынай», с.Кумли ;39;
МКДОУ ДС «Карлыгашлар», с.Кунбатар;81;
МКДОУ ДС «Куьпелек», с.Боранчи;24;
МКДОУ ДС «Кызыл Гуьль», с. Червленные Буруны;73;
МКДОУ ДС «Лашын» с.Батыр-Мурза;18;
МКДОУ ДС «Ногай Эл», с.Терекли-Мектеб ;398;
МКДОУ ДС «Шолпан», с.Нариман;76;
МКДОУ ДС «Юлдуз»,  с. Ортатюбе;42;
МКДОУ ДС «Юлдыз», с.Терекли-Мектеб;250;
 МКОУ 'Амсарская СОШ' (гкп);4;
 МКОУ 'Аракульская СОШ' (гкп);6;
 МКОУ 'Аранская СОШ' (гкп);23;
 МКОУ 'Верхне-Катрухская СОШ' (гкп);5;
 МКОУ 'Гельмецкая СОШ' (гкп);17;
 МКОУ 'Дженыхская СОШ' (гкп);8;
 МКОУ 'Джилихурская СОШ' (гкп);18;
 МКОУ 'Ихрекская ООШ' (гкп);0;
 МКОУ 'Ихрекская СОШ' (гкп).;22;
 МКОУ 'Калинская СОШ' (гкп);20;
 МКОУ 'Кининская СОШ' (гкп);19;
 МКОУ 'Кичинская СОШ' (гкп);13;
 МКОУ 'Курдульская ООШ' (гкп);5;
 МКОУ 'Куфинская СОШ' (гкп);15;
 МКОУ 'Лучекская СОШ' (гкп);9;
 МКОУ 'Микикская СОШ' (гкп);4;
 МКОУ 'Мишлешская СОШ' (гкп);55;
 МКОУ 'Муслахская СОШ' (гкп);12;
 МКОУ 'Нижне-Катрухская СОШ' (гкп);6;
 МКОУ 'Рутульская СОШ №1 им.Гусейнова' (гкп);39;
 МКОУ 'Рутульская СОШ №2 им. Мирзоева' (гкп);6;
 МКОУ 'Хлютская СОШ' (гкп);28;
 МКОУ 'Цахурская СОШ' (гкп);10;
 МКОУ 'Цудикская СОШ' (гкп);9;
 МКОУ 'Шиназская СОШ' (гкп);19;
МКДОУ ДС «Настенька», с.Мишлеш;40;
МКДОУ ДС «Орленок», с.Ихрек;45;
МКДОУ ДС «Радость», с.Рутул;74;
МКДОУ ДС «Солнышко», с.Хлют;30;
МКДОУ ДС «Улыбка», с.Рутул;105;
МКОУ Мюрегинская СОШ (гкп) - деят. приост.;0;
МКДОУ ' Детский сад с. Ванашимахи' (на реконстр);22;
МКДОУ ' Детский сад с. Кадиркент' (на реконстр);23;
МКДОУ ' Детский сад №1 с.Сергокала';127;
МКДОУ ' Детский сад №2 с.Сергокала';69;
МКДОУ ' Детский сад №3 с.Сергокала';116;
МКДОУ ' Детский сад №4 с.Сергокала';93;
МКДОУ ' Детский сад с. Бурдеки';31;
МКДОУ ' Детский сад с. Дегва';17;
МКДОУ ' Детский сад с. Миглакасимахи';20;
МКДОУ ' Детский сад с. Нижнемахарги';23;
МКДОУ  'Детский сад 'Теремок' с. Новое Мугри';20;
МКДОУ 'Детский сад 'Олимпийский', с.Сергокала ;204;
МКДОУ 'Детский сад с. Аялизимахи';23;
МКДОУ 'Детский сад с. Кичигамри';50;
МКДОУ 'Детский сад с. Краснопартизанск';30;
МКДОУ 'Детский сад с. Маммаул';30;
МКДОУ 'Детский сад с. Мюрего';123;
МКДОУ 'Детский сад с. Урахи';28;
МКДОУ 'Детский сад с.Мургук' ;93;
МКДОУ  Ортастальский детский сад;78;
МКДОУ Ашагастальский детский сад;62;
МКДОУ Герейхановский детский сад;104;
МКДОУ ДС 'Чубарук', с.Ашага-Стал-Казмаляр +;148;
МКДОУ Карчагский детский сад;61;
МКДОУ Касумкентский детский сад №1;91;
МКДОУ Касумкентский детский сад №2;264;
МКДОУ Касумкентский детский сад №3;97;
МКДОУ Куркентский детский сад;69;
МКДОУ Новомакинский детский сад;119;
МКДОУ Нютюгский детский сад;62;
МКДОУ Сардаркентский детский сад «Аманат» ;48;
МКДОУ Юхаристальский детский сад;82;
МКДОУ «Бурганкентский детский сад «Радуга» на кап.рем.;0;
МБДОУ 'Урзигский детский сад 'Орленок' ;25;
МКДОУ «Аркитский детский сад «Улдуз»»;50;
МКДОУ «Гасикский детский сад «Жемчужина»;25;
МКДОУ «Гелинбатанский детский сад «Рассвет»»;26;
МКДОУ «Гурикский детский сад «Солнышко»»;50;
МКДОУ «Гурхунский детский сад «Радуга»;25;
МКДОУ «Гюхрягский детский сад «Чебурашка»»;25;
МКДОУ «Дагнинский детский сад «Заря»»;24;
МКДОУ «Дарвагский детский сад «Улыбка»» ;150;
МКДОУ «Джулджагский детский сад «Радость»»;76;
МКДОУ «Дюбекский детский сад «Колокольчик»»;50;
МКДОУ «Ерсинский детский сад «Улдуз»»;50;
МКДОУ «Кужникский детский сад «Чебурашка»»;50;
МКДОУ «Кюрягский детский сад «Русалочка»»;25;
МКДОУ «Марагинский детский сад «Радуга»»;50;
МКДОУ «Новолиджинский детский сад «Солнышко»»;25;
МКДОУ «Пилигский детский сад «Ласточка»»;50;
МКДОУ «Сиртичский детский сад «Солнышко»»;100;
МКДОУ «Татилский детский сад «Радуга»»;75;
МКДОУ «Тинитский детский сад «Ручеёк»»;50;
МКДОУ «Турагский детский сад «Радуга»»;50;
МКДОУ «Улузский детский сад «Звезда»»;25;
МКДОУ «Фиргильский детский сад «Новичок»»;24;
МКДОУ «Халагский детский сад «Солнышко»»;50;
МКДОУ «Ханагский детский сад «Рубас»;50;
МКДОУ «Хапильский детский сад «Улыбка»;25;
МКДОУ «Хили-пенджикский детский сад «Ласточка»»;50;
МКДОУ «Хурикский детский сад «Радуга»»;98;
МКДОУ «Цалакский детский сад «Теремок»;50;
МКДОУ «Цанакский детский сад «Улыбка»»;25;
МКДОУ «Чурдафский детский сад «Ласточка»»;25;
МКДОУ «Шиленский детский сад «Радуга»»;25;
МКДОУ «Ягдыгский детский сад «Алёнка»»;49;
МКДОУ 'Джугдильский детский сад 'Ласточка' ;50;
МКДОУ 'Чулатский детский сад 'Огонек' ;50;
МКОУ «Гимназия Табасаранского района», с. Хучни;318;
МКДОУ 'Ново-Романовский д/с 'Колокольчик' на кап. рем.;0;
МКДОУ 'Александро-Невский д/с 'Колокольчик';45;
МКДОУ 'Калиновский д/с 'Теремок';21;
МКДОУ 'Карабаглинский д/с' Радуга';20;
МКДОУ 'Кочубейский д/с 'Чебурашка';75;
МКДОУ 'Кочубейский д/с'Солнышко';75;
МКДОУ 'Ново-Георгиевский д/с' Аленка';26;
МКДОУ 'Ново-Дмитриевский д/с 'Солнышко';40;
МКДОУ 'Раздольевский д/с' Аленушка';23;
МКДОУ 'Рассветовский д/с 'Гнездышко';24;
МКДОУ 'Таловский д/с'Ивушка';23;
МКДОУ 'Тарумовский д/с 'Тополек';203;
МКОУ 'Коктюбейская ООШ' (д/с' Золотая рыбка');16;
МКДОУ «Анцухский детский сад» Тляратинского района;15;
МКДОУ «Бетельдинский детский сад» Тляратинского района;15;
МКДОУ «Гведышинский детский сад» Тляратинского района;15;
МКДОУ «Генеколобский детский сад» Тляратинского района;15;
МКДОУ «Гиндибский детский сад» Тляратинского района;15;
МКДОУ «Гиндухский детский сад» Тляратинского района;15;
МКДОУ «Жажадинский детский сад» Тляратинского района;15;
МКДОУ «Камилюхский детский сад» Тляратинского района;15;
МКДОУ «Кардибский детский сад» Тляратинского района;15;
МКДОУ «Кособский детский сад» Тляратинского района;15;
МКДОУ «Кутлабский детский сад» Тляратинского района;30;
МКДОУ «Ландинский детский сад» Тляратинского района;15;
МКДОУ «Мазадинский детский сад» Тляратинского района;15;
МКДОУ «Никарский детский сад» Тляратинского района;15;
МКДОУ «Нитиицухский детский сад» Тляратинского района ;15;
МКДОУ «Нурухский детский сад» Тляратинского района ;15;
МКДОУ «Роснобский детский сад» Тляратинского района ;30;
МКДОУ «Саниортинский детский сад» Тляратинского района;15;
МКДОУ «Талцухский детский сад» Тляратинского района;15;
МКДОУ «Тлянадинский детский сад» Тляратинского района;14;
МКДОУ «Тляратинский ясли-сад » Тляратинского района, 'Джурмут' ;140;
МКДОУ «Тох-ординский ясли-сад» Тляратинского района;25;
МКДОУ «Тохотинский детский сад» Тляратинского района;15;
МКДОУ «Укальский ясли-сад» Тляратинского района;55;
МКДОУ «Хадияльский детский сад» Тляратинского района;14;
МКДОУ «Хидибский детский сад» Тляратинского района;15;
МКДОУ «Хиндахский детский сад» Тляратинского района;15;
МКДОУ «Цумилюхский детский сад» Тляратинского района;15;
МКДОУ «Чадаколобский детский сад» Тляратинского района;30;
МКДОУ «Чилдинский детский сад» Тляратинского района;12;
МКДОУ «Чородинский детский сад» Тляратинского района;15;
МКДОУ  ДС №8 'Солнышко', пгт.Шамилькала;141;
МКДОУ ДС №1 'Ромашка', с.Унцукуль;150;
МКДОУ ДС №10 'Снежинка', с.Кахабросо;50;
МКДОУ ДС №11 'Сосна', с.Ашильта;67;
МКДОУ ДС №12 'Чебурашка', с.Цатаних;34;
МКДОУ ДС №13 'Колобок', с. Гимры ;90;
МКДОУ ДС №2 Ласточка, с. Унцукуль;232;
МКДОУ ДС №3 'Фиалка', с.Ирганай;109;
МКДОУ ДС №4 'Теремок', с. Гимры;192;
МКДОУ ДС №5 'Соколенок', с.Майданское;117;
МКДОУ ДС №6 'Звездочка', с.Балахани;50;
МКДОУ ДС №7 'Улыбка', с.Аракани;49;
МКДОУ ДС №9 'Сказка', пгт. Шамилькала ;289;
 МКОУ «Аджимажагатюртовская СОШ» (ГКП);10;
 МКОУ «Адильотарская СОШ» (ГКП);32;
 МКОУ «Акбулатюртовская СОШ» (ГКП);11;
 МКОУ «Аксайская СОШ № 1 им. З.Н.Батырмурзаева» (ГКП);31;
 МКОУ «Аксайская СОШ № 2 им. Х.Г.Магидова» (ГКП);14;
 МКОУ «Байрамаульская СОШ» (ГКП);47;
 МКОУ «Бамматюртовская СОШ» (ГКП);10;
 МКОУ «Борагангечувская СОШ» (ГКП);24;
 МКОУ «Боташюртовская СОШ им.Б.Т.Ахаева» (ГКП);51;
 МКОУ «Ботаюртовская СОШ им. Н.П.Жердева» (ГКП);34;
 МКОУ «Генжеаульская СОШ им. М.М.Зумаева» (ГКП);18;
 МКОУ «Гимназия Культуры мира им. А.Д.Адилсолтанова» (ГКП);53;
 МКОУ «Гоксувотарская СОШ» (ГКП);15;
 МКОУ «Дзержинская СОШ» (ГКП);19;
 МКОУ «Ичичалинская СОШ им. Б.Г.Битарова» (ГКП);15;
 МКОУ «Кадыротарская СОШ» (ГКП);8;
 МКОУ «Казмааульская СОШ» (ГКП);29;
 МКОУ «Кандаураульская СОШ им. О.К.Кандаурова» (ГКП);25;
 МКОУ «Карланюртовская СОШ им. А.Д.Шихалиева» (ГКП);60;
 МКОУ «Кемсиюртовская СОШ» (ГКП);20;
 МКОУ «Кокрекская СОШ» (ГКП);28;
 МКОУ «Костекская СОШ им. Б.Ш.Бакиева» (ГКП);3;
 МКОУ «Курушская СОШ № 1 им. А.Б.Айдунова» (ГКП);47;
 МКОУ «Курушская СОШ № 2 им. Я.С.Аскандарова» (ГКП);22;
 МКОУ «Могилевская СОШ им. Н.У.Азизова» (ГКП);55;
 МКОУ «Моксобская СОШ им. О-Г.М.Шахтаманова» (ГКП);7;
 МКОУ «Муцалаульская СОШ № 1 им.А.Я.Абдуллаева» (гкп);90;
 МКОУ «Муцалаульская СОШ № 2» (ГКП);38;
 МКОУ «Новогагатлинская СОШ им. Х.С.Салимова» (ГКП);59;
 МКОУ «Новокостекская СОШ» (ГКП);75;
 МКОУ «Новосаситлинская СОШ» (ГКП);18;
 МКОУ «Новосельская СОШ» (ГКП);33;
 МКОУ «Октябрьская СОШ» (ГКП);33;
 МКОУ «Османюртовская СОШ» (ГКП);50;
 МКОУ «Первомайская СОШ им.И.Г.Исакова» (ГКП);30;
 МКОУ «Петраковская СОШ» (ГКП);37;
 МКОУ «Покровская СОШ» (ГКП);60;
 МКОУ «Пятилеткинская СОШ» (ГКП);21;
 МКОУ «Садовая СОШ» (ГКП);13;
 МКОУ «Сивухская СОШ» (ГКП);84;
 МКОУ «Советская СОШ им. Ш.Т.Амичева» (ГКП);21;
 МКОУ «Солнечная СОШ» (ГКП);48;
 МКОУ «Ст.Карланюртовская СОШ» (ГКП);22;
 МКОУ «Сулевкентская СОШ им.С.А.Абдулаева» (ГКП);31;
 МКОУ «Темираульская СОШ им. Б.Ш.Баймурзаева» (ГКП);50;
 МКОУ «Теречная СОШ» (ГКП);30;
 МКОУ «Тукитинская СОШ» (ГКП);9;
 МКОУ «Хамавюртовская СОШ им.А.М.Аджиева» (ГКП);72;
 МКОУ «Чагаротарская СОШ им.А.И.Исмаилова» (ГКП);54;
 МКОУ «Шагадинская СОШ» (ГКП);25;
 МКОУ «Эндирейская СОШ № 1» (ГКП);36;
 МКОУ «Эндирейская СОШ № 2» (ГКП);7;
 МКОУ Тотурбийкалинская СОШ (гкп) ;18;
МБДОУ ДС 'Восточное', с. Восточный г.Хасавюрт;260;
МБДОУ ДС 'Звездочка', с.Новый Костек ;142;
МБДОУ ДС 'Ивушка', с.Аксай;165;
МБДОУ ДС 'Ласточка', с.Эндирей ;184;
МБДОУ ДС 'Радуга', с.Новогагатли;171;
МБДОУ ДС Родничок с.Новосельское;139;
МБДОУ ДС 'Ромашка', с.Костек;130;
МБДОУ ДС 'Салам', с.Новосасетли;120;
МБДОУ ДС 'Седа', с.Солнечное;287;
МБДОУ ДС 'Сказка', с.Бамматюрт;185;
МБДОУ ДС 'Солнышко', г.Хасавюрт;429;
МБДОУ ДС 'Теремок', с.Тотурбийкала ;180;
МБДОУ ДС 'Улыбка', с.Кокрек;297;
МКДОУ 'Хореджский детсад 'Дюймовочка' (на реконстр.);0;
МКДОУ 'Архитский детский сад 'Улыбка' ;55;
МКДОУ 'Захитский детсад 'Ягодка';64;
МКДОУ 'Кандикский детсад 'Чебурашка';44;
МКДОУ 'Ляхлинский детсад 'Тюльпан';19;
МКДОУ 'Межгюльский детсад 'Родничок';28;
МКДОУ 'Фригский детсад 'Ласточка';46;
МКДОУ 'Хивский д.с. №2 'Ромашка', с.Хив ;98;
МКДОУ 'Хивский детсад №1 'Солнышко';160;
МКДОУ 'Яракский детсад 'Радуга';21;
МКДОО «Детский сад «Огонек», с.Ках ;14;
МКДОО 'Детский сад 'Колосок', с. Мочох ;17;
МКДОУ  Детский сад Колокольчик, с.Чондотль  (15 мест);10;
МКДОУ Детский сад №1 Аленушка с. Гоцатль;48;
МКДОУ Детский сад №1 Малыш с.Хунзах;113;
МКДОУ Детский сад №2 Ивушка с. Гоцатль;66;
МКДОУ Детский сад №2 ЦРР Солнышко с. Хунзах;97;
МКДОУ Детский сад №3 Ласточка с. Хунзах;60;
МКДОУ Детский сад Березка с.Арани;64;
МКДОУ Детский сад Буратино с. Мущули;17;
МКДОУ Детский сад Елочка с. Тлайлух;27;
МКДОУ Детский сад Жаворонок с. Буцра;28;
МКДОУ Детский сад Журавленок с. Цада;47;
МКДОУ Детский сад Журавушка с. Хариколо;13;
МКДОУ Детский сад Зайчонок с. Заиб;13;
МКДОУ Детский сад Звездочка с. Хиндах;11;
МКДОУ Детский сад Золушка с.Байтль;7;
МКДОУ Детский сад им. Фазу Алиевой с. Гиничутль;12;
МКДОУ Детский сад Имама Шамиля с. Амущи;57;
МКДОУ Детский сад Капелька с. Малый Гоцатль;51;
МКДОУ Детский сад Ласточка с.Батлаич;46;
МКДОУ Детский сад Лягушонок с. Гонох;16;
МКДОУ Детский сад Огонек с. Очло;14;
МКДОУ Детский сад Олененок с. Харахи;56;
МКДОУ Детский сад Орленок с. Уздалросо;52;
МКДОУ Детский сад Павлин с.Гоцалух;32;
МКДОУ Детский сад Радость с.Хини;7;
МКДОУ Детский сад Родничок с. Новобуцра;40;
МКДОУ Детский сад Ромашка с. Обода;113;
МКДОУ Детский сад Росинка с. Тануси;55;
МКДОУ Детский сад Ручеек с. Гортколо;7;
МКДОУ Детский сад Сказка с. Цельмес;16;
МКДОУ Детский сад Соколенок с. Сиух;6;
МКДОУ Детский сад Теремок с.Ахалчи;51;
МКДОУ Детский сад Улыбка с. Шотода;16;
МКДОУ Детский сад Фиалка с. Орота;37;
МКДОУ Детский сад Чебурашка с. Тагада;46;
МКДОУ Школа - сад Орешек (НОШ) с. Коло;31;
 МКОУ «Агвалинская СОШ» (ГКП);44;
 МКОУ 'Гигатли-Урухская ООШ'  (ГКП);10;
 МКОУ 'Саситлинская СОШ' (ГКП) ;8;
МБДОУ Агвалинский детский сад № 2;158;
МБДОУ Агвалинский детский сад №1;95;
МБДОУ Гигатлинский сад;45;
МКДОУ Агвалинский детский сад № 2;158;
МКДОУ Агвалинский детский сад №1;95;
МКДОУ Гигатлинский сад;45;
МКДОУ Кванадинский детский сад;38;
МКДОУ Кочалинский детский сад;32;
МКДОУ Тиндинский детский сад;45;
МКОУ Верхнегакваринская школа-сад;35;
МКОУ Гадиринская ООШ-сад;13;
МКОУ 'Кединская  СОШ-сад'  ;31;
МКОУ 'Метрадинская СОШ-сад' ;30;
МКОУ Нижнегакваринская школа-сад;31;
МКОУ 'Нижнеинхокваринская СОШ-сад'  ;30;
МКОУ 'Тисси-Ахитлинская СОШ-детский сад';30;
МКОУ 'Хонохская СОШ-сад' ;30;
МКОУ Хуштадинская школа-сад;30;
МКОУ Эчединская школа-сад;31;
МКОУ «Хибиятлинская СОШ» (гкп), с.Хибиятли деят.приост.;10;
 МКОУ «Асахская СОШ» (гкп), с.Удок;9;
 МКОУ «Гутатлинская СОШ» (гкп), с.Гутатли;12;
 МКОУ «Зехидинская ООШ» (гкп);11;
 МКОУ «Сагадинская СОШ» (гкп);6;
 МКОУ «Хупринская  СОШ» (гкп);5;
 МКОУ «Цебаринская СОШ» (гкп);6;
 МКОУ 'Балакуринская СОШ', Бежтинский участок (ГКП);33;
 МКОУ Бежтинская СОШ, Бежтинский участок (гкп);41;
 МКОУ 'Гарбутлинская СОШ', Бежтинский участок (ГКП);7;
 МКОУ 'Гунзибская ООШ', Бежтинский участок (ГКП);3;
 МКОУ 'Нахадинская СОШ', Бежтинский участок (ГКП);16;
 МКОУ 'Тлядльская СОШ', Бежтинский участок (ГКП);10;
ДС №1 Березка при МКОУ 'Генухская СОШ';16;
ДС №13 'Патриотка' при МКОУ Хутрахская СОШ;16;
ДС №14 'Волна' при МКОУ 'Междуреченская СОШ', с. Китлярата;16;
ДС №15 'Перевал' при МКОУ Хуприская СОШ;16;
ДС №16 'Роза' при МКОУ Шапихская СОШ;16;
ДС №18 'Звездочка' при МКОУ Китуринская СОШ;16;
ДС №2 'Солнышко' при МКОУ Кидеринская СОШ;32;
ДС №5 'Сосна' при МКОУ Шаитлинская СОШ;16;
ДС №7 'Олень' при МКОУ Шауринская СОШ;16;
ДС №8 'Ветер' при МКОУ Хебатлинская СОШ;16;
ДС №9 'Южанка' при МКОУ Мококская СОШ;16;
ДС 'Улыбка' при МКОУ 'Хашархотинская СОШ', Бежтинский участок;19;
МКДОУ Бежтинский детский ясли-сад №1;90;
МКДОУ 'Детский сад №2 'Надежда', с. Бежта ;110;
МКДОУ ДС №4 'Ласточка', с.Цунта;32;
МКОУ Махалатлинаская СОШ (ДС №12 'Высота'), с.Махалатли;21;
МКОУ Ретлобская СОШ (ДС №11 'Заря'), с.Ретлоб;34;
МКОУ Гилибская СОШ  Детский сад с.Гилиб;76;
МКОУ Гочобская СОШ Детский сад с.Гочоб;24;
МКОУ Ирибская СОШ  Детский сад. с.Ириб;30;
МКОУ Магарская СОШ Детский сад с.Магар;20;
МКОУ Тлярошская СОШ Детский сад с.Тлярош;38;
МКОУ Цулдинская ООШ Детский сад с.Цулда;25;
МКОУ Цурибская СОШ Детский сад 'Радуга' с.Цуриб;228;
МКДОУ Андыхский детский сад;31;
МКДОУ Ассабский детский сад;26;
МКДОУ Батлухский детский сад;50;
МКДОУ Верхнебатлухский детский сад;25;
МКДОУ Гентинский детский сад;18;
