Наименование ДОО;Январь;Итог
МБДОУ № 19 «Паровозик»;159;
МБДОУ № 21 «Аленький цветок»;372;
МБДОУ № 23;255;
МБДОУ № 25 «Золушка»;190;
МБДОУ № 29 «Колокольчик»;127;
МБДОУ № 3;90;
МБДОУ № 5 «Надежда»;99;
МБДОУ № 7 «Улдуз»;142;
МБДОУ № 8 «Радуга»;130;
МБДОУ № 9 «Счастливое детство»;176;
МБДОУ №13 'Незабудка' ;168;
МБДОУ ДС №24 'Пчелка' (р-он Аэропорт) ;62;
МБДОУ Прогимназия №15;168;
МБДОУ Прогимназия №18;117;
МБДОУ ЦРР № 11 «Петушок»;253;
МБДОУ ЦРР № 14 «Ласточка»;344;
МБДОУ ЦРР № 2 «Горяночка»;93;
МБДОУ ЦРР № 20 'Аленушка';338;
МБДОУ ЦРР № 22;141;
МБДОУ ЦРР № 28;318;
МБДОУ ЦРР № 30 «Улыбка»;483;
МБДОУ ЦРР № 33 «Русалочка»;172;
МБДОУ ЦРР № 4 «Василек»;136;
МКОУ СОШ №10 (гкп)- деят. приост.;0;
МКОУ 'СОШ №12' (гкп) - деят. приост.;0;
МКОУ СОШ №2 (гкп)- деят. приост.;0;
МКДОУ Детский сад №1;140;
МКДОУ Детский сад №10;479;
МКДОУ Детский сад №13;120;
МКДОУ Детский сад №14;111;
МКДОУ Детский сад №2;139;
МКДОУ Детский сад №3;95;
МКДОУ Детский сад №4;132;
МКДОУ Детский сад №6;206;
МКДОУ ЦРР-Детский сад №11;439;
МКДОУ ЦРР-Детский сад №12 Пчелка;409;
МКДОУ ЦРР-Детский сад №8;376;
МБДОУ №33 'Юбилейный';432;
МБДОУ Д/С № 16 'Чебурашка';195;
МБДОУ Д/С № 17 'Буратино';386;
МБДОУ Д/С № 21 'Радуга';154;
МБДОУ Д/С № 24 'Ромашка';370;
МБДОУ Д/С № 26 'Родничок';465;
МБДОУ Д/С №3 'Аленушка';277;
МБДОУ Д/С №30 'Звёздочка';158;
МБДОУ Д/С №31 'Улыбка';446;
МБДОУ Д/С №8 'Дюймовочка';162;
МБДОУ ДС №32 'Соколенок'  (з-д 'Дагдизель');125;
МБДОУ ЦРР-ДС  № 1 ' Василек';164;
МБДОУ ЦРР-ДС  № 10 'Ивушка';393;
МБДОУ ЦРР-ДС № 11 'Светлячок';375;
МБДОУ ЦРР-ДС № 14 'Журавленок';387;
МБДОУ ЦРР-ДС № 15 'Незабудка';398;
МБДОУ ЦРР-ДС № 23 'Лесная сказка';233;
МБДОУ ЦРР-ДС № 25 'Джейран';407;
МБДОУ ЦРР-ДС № 28 'Якорёк';217;
МБДОУ ЦРР-ДС № 29 'Дельфинчик';460;
МБДОУ ЦРР-ДС № 5 'Гусельки';437;
МБДОУ ЦРР-ДС № 7 'Ласточка';393;
МКДОУ Д/С № 12 'Юлдуз';203;
МКДОУ Д/С № 22 'Солнышко';121;
МКОУ 'Гимназия №1' (гкп) деят.приост.;37;
МКОУ 'Гимназия №5' (гкп) деят.приост.;25;
МКОУ 'СОШ №2' (гкп) деят.приост.;15;
МКОУ 'СОШ №3' (гкп) деят. приостан.;0;
МКОУ 'СОШ №4' (гкп) деят.приост.;12;
МКОУ 'СОШ №7' (гкп) деят.приост.;36;
МКОУ 'СОШ №8' (гкп) деят.приост.;30;
МКОУ 'СОШ №9' (гкп) деят.приост.;18;
МКДОУ Д/с №1 Солнышко;163;
МКДОУ д/с №10 №Энергетик;125;
МКДОУ Д/с №2 Ласточка;160;
МКДОУ д/с №5 Теремок;277;
МКДОУ Д/с №7 Красная шапочка;70;
МКДОУ д/с №9 Колосок;123;
МКДОУ ДС №11 'Колокольчик' ;204;
МКДОУ ЦРР д/с №3 «Дюймовочка»;111;
МКДОУ ЦРР д/с №6 Чебурашка;405;
МКДОУ ЦРР д/с №8 Радуга;200;
МКДОУ-ЦРР д/с №4 Светлячок;351;
МКОУ 'Кизлярская гимназия №6 им. А.С.Пушкина' (гкп) деят. приост.;0;
МКОУ 'МПЛ №2  им. С.М.Кирова' (гкп) деят. приост.;0;
МКДОУ д/с № 1 'Синяя птица';172;
МКДОУ д/с № 12;159;
МКДОУ д/с № 2 'Березка';86;
МКДОУ д/с № 3 Тополёк;165;
МКДОУ д/с № 4 Крепыш;337;
МКДОУ д/с № 8;101;
МКДОУ д/с № 9 'Красная шапочка';105;
МКДОУ д/с №10;152;
МКДОУ д/с №13 'Светлячок';174;
МКДОУ д/с №14 Радуга  (мкр. Черемушки);334;
МКДОУ д/с №7 'Дюймовочка';147;
МКДОУ ЦРР - д/с № 11 ;320;
МКДОУ ЦРР – д/с №5;288;
МКДОУ ЦРР-д/с № 6;135;
МКОУ Прогимназия Ласточка;198;
МБДОУ ДС № 67 'Родничок' ;227;
МБДОУ ДС №1;128;
МБДОУ ДС №11;140;
МБДОУ ДС №12;103;
МБДОУ ДС №14;153;
МБДОУ ДС №15;103;
МБДОУ ДС №17;153;
МБДОУ ДС №19;241;
МБДОУ ДС №2;145;
МБДОУ ДС №20 'Соколенок' ;422;
МБДОУ ДС №21;353;
МБДОУ ДС №25 'Лучик';465;
МБДОУ ДС №29;129;
МБДОУ ДС №3;240;
МБДОУ ДС №31;491;
МБДОУ ДС №33;148;
МБДОУ ДС №35;331;
МБДОУ ДС №4;147;
МБДОУ ДС №40;184;
МБДОУ ДС №41;255;
МБДОУ ДС №42;265;
МБДОУ ДС №45 'Островок';369;
МБДОУ ДС №47;400;
МБДОУ ДС №53;289;
МБДОУ ДС №56;268;
МБДОУ ДС №6 'Горянка';171;
МБДОУ ДС №60;232;
МБДОУ ДС №63;448;
МБДОУ ДС №65;248;
МБДОУ ДС №72;347;
МБДОУ ДС №73;238;
МБДОУ ДС №75;242;
МБДОУ ДС №76;295;
МБДОУ ДС №77 'Тюльпан' (МКР М-5);411;
МБДОУ ДС №8;283;
МБДОУ ДС №83;189;
МБДОУ ДС №88;249;
МБДОУ ДС №9;241;
МБДОУ ДС №90;219;
МБДОУ ДС №91;134;
МБДОУ ДС №93;156;
МБДОУ ДС №94;181;
МБДОУ ДС №95;245;
МБДОУ ДС №96;104;
МБДОУ ЦРР-ДС №22;211;
МБДОУ ЦРР-ДС №30;197;
МБДОУ ЦРР-ДС №34;236;
МБДОУ ЦРР-ДС №37;448;
МБДОУ ЦРР-ДС №38;376;
МБДОУ ЦРР-ДС №39;374;
МБДОУ ЦРР-ДС №43;379;
МБДОУ ЦРР-ДС №44;290;
МБДОУ ЦРР-ДС №49;596;
МБДОУ ЦРР-ДС №50;427;
МБДОУ ЦРР-ДС №59;352;
МБДОУ ЦРР-ДС №62;365;
МБДОУ ЦРР-ДС №69;296;
МБДОУ ЦРР-ДС №7;526;
МБДОУ ЦРР-ДС №70;277;
МБДОУ ЦРР-ДС №81;461;
МБДОУ ЦРР-ДС №84;229;
МБДОУ ЦРР-ДС №85;332;
МБДОУ' ЦРР-ДС №86';344;
МБДОУ ЦРР-ДС №87;452;
МБОУ 'Начальная школа - детский сад № 78';300;
МБОУ 'Начальная школа - детский сад №27';215;
МБОУ 'Начальная школа - детский сад №52';229;
МБОУ Начальная школа-детский сад №71;468;
МБОУ Прогимназия №66;226;
МБОУ Прогимназия №68;197;
МБУ 'Специализированный центр для детей и подростков с компенсационными потребностями';;
МКОУ «Гимназия № 2 им.А.Сайтиева» (ГКП) деят.приост.;75;
МКОУ «Гимназия № 3» (ГКП) деят.приост.;75;
МКОУ «СОШ № 19» (ГКП) деят.приост.;80;
МКОУ «СОШ № 2»(ГКП) деят.приост.;16;
МКОУ «СОШ № 7 им. Алибекова» (ГКП) деят.приост.;0;
МКОУ «СОШ № 9» (ГКП) деят.приост.;33;
МКОУ 'Гимназия им. М. Горького' (ГКП) деят.приост.;8;
МКОУ 'СОШ № 10 им. Исмаилова' (ГКП) деят.приост.;60;
МКОУ 'СОШ № 11'  (ГКП) деят.приост.;50;
МКОУ 'СОШ № 12 им. Л.Толстого' (ГКП) деят.приост.;60;
МКОУ 'СОШ № 14' (ГКП) деят. приост.;0;
МКОУ 'СОШ № 15' (ГКП) деят.приост.;0;
МКОУ 'СОШ № 17' (ГКП) деят.приост.;75;
МКОУ 'СОШ № 4' (ГКП) деят.приост.;0;
МКОУ 'СОШ № 5' (ГКП) деят. приост;0;
МКОУ 'СОШ № 8' (ГКП) деят.приост.;30;
МКДОУ Д/С № 1 «Теремок» г.Хасавюрт;97;
МКДОУ Д/С № 2 «Колокольчик» г.Хасавюрт;88;
МКДОУ Д/С № 3 «Берёзка» г.Хасавюрт;192;
МКДОУ Д/С № 4 «Звёздочка» г.Хасавюрт;357;
МКДОУ Д/С № 5 «Алёнушка» г.Хасавюрт;217;
МКДОУ Д/С № 7 «Улыбка» ;323;
МКДОУ Прогимназия 9 Ручеёк;193;
МКДОУ ЦРР Детский сад № 8 Крепыш;225;
МКОУ Детский сад №11 'Светлячок' (пос. Бальюрт) ;323;
МКОУ 'Прогимназия № 6 'Ивушка';360;
МКОУ прогимназия №10 Сказка;244;
МКУДО 'Детский сад №2 'Ивушка' г.Южно-Сухокумск';205;
МКУДО 'Детский сад №3 'Ромашка' г.Южно-Сухокумск';190;
МКУДО 'Детский сад №5 'Солнышко' г.Южно-Сухокумск';206;
~МКОУ 'Чалдинская СОШ' (дошк. группы);11;
МКДОУ ДС 'Дюймовочка', с. Кудутль;34;
МКДОУ ДС 'Ласточка', с. Могох;32;
МКДОУ ДС 'Малыш', с. Гергебиль;121;
МКДОУ ДС 'Нур', с. Курми;67;
